Code,BOROUGH,Area,Popdensity,Population,Populationper,DEM,DistancetoLondon,EconomicallyInactivePercent,IMDAveragescore ,IMD Average rank ,Income Average rank,Income Scale,Employment Average rank,Employment Scale,"Education, Skills and Training Average rank",Health Deprivation and Disability Average rank,Crime - Average rank,Barriers to Housing and Services - Average rank,Living Environment - Average rank
E09000002,Barking and Dagenham,37.8,5.5209,"218,900",2.49%,7.56,16,31.5,32.77,25551.9,25142.7,39254,21951.1,14074.8,21696.4,19499.7,23668.3,31669.7,23068.5
E09000003,Barnet,86.75,4.8332,"389,300",4.42%,80.53,13.94,24.6,16.15,13803.4,16104.1,41746,13169.1,16661,7894.6,5011.8,17479.5,25355.6,20275.3
E09000004,Bexley,64.29,3.8623,"246,500",2.80%,30.4,17.36,21.5,16.27,13529.7,14732.3,25467,13522.2,10756,16899.3,9446.2,14596.5,20691,16997
E09000005,Brent,43.23,8.2396,"339,800",3.86%,43.68,13.12,24,25.56,21083,21445.3,50137,17690.6,19894.8,14477.3,10642.8,21996.4,30661.4,22811.3
E09000006,Bromley,150.14,2.1359,"330,000",3.75%,101.25,18.74,14.5,14.16,11297.5,12232.8,29540,11414.4,12757.5,9841.2,6522.5,15906.4,22995.1,15733
E09000007,Camden,21.79,11.4044,"210,100",2.39%,46.83,5.74,25.1,20.13,16763.3,18655.6,34330,15925.9,14945.5,10337.7,10894.3,20400.7,17780.1,24878.5
E09000008,Croydon,86.49,4.3509,"390,800",4.44%,105.98,17.7,21.4,22.48,18371.2,18584.2,51702,16769.5,20961.3,14304.1,14352.6,20068.8,27123.4,20381
E09000009,Ealing,55.54,6.6916,"367,100",4.17%,29.04,16.58,19.2,22.71,18991.7,19531.3,48235,16590.7,19506.8,12144.4,12374.1,19489.7,28039.4,23725.1
E09000010,Enfield,82.2,4.5538,"330,000",3.75%,40.3,15.2,26.1,25.78,20418.7,21937.5,56010,18498.5,20119.5,16856,9915.4,19084.4,29478.9,21993.3
E09000011,Greenwich,50.44,6.4597,"289,100",3.29%,40.35,11.2,17.4,24.46,20383.8,21413.4,43334,18637.7,17715.5,14736.5,16405.4,22514.7,26085.3,20159.7
E09000012,HackneyandCityofLondon,22.2,9.37605,"267,800",3.04%,22.78,4.67,13.8,23.625,18866.55,16357.35,26452,14501.3,10626,9509.55,15198.1,12742.65,29638.8,26234.8
E09000013,Hammersmith and Fulham,17.15,12.2251,"183,200",2.08%,8.86,9.17,19.3,22.27,18643.5,19094.3,25704,16749.6,11701.8,8311.5,16097.8,21048.9,23737.6,26012.4
E09000014,Haringey,29.6,10.3039,"264,200",3.00%,35.73,8.51,20.1,27.96,21887.6,21844.2,45603,18938.8,18886.8,15035.5,15020,25422.8,28056.1,25874.1
E09000015,Harrow,50.46,5.871,"261,300",2.97%,67.67,19.59,19.6,15.03,13071.3,16269.8,26735,12069.1,9792,8315.4,4760,14342.3,27314.5,16503.9
E09000016,Havering,114.46,2.3103,"262,000",2.98%,25.38,22.37,14.2,16.79,14036,15178.1,26766,14074.2,11171.3,19190.2,9832.9,18056.3,18308.7,14618.8
E09000017,Hillingdon,115.7,2.6606,"305,900",3.48%,41.8,24.69,20.2,18.22,15515,16509.2,33575,13767.7,13440.3,15003.8,11646.6,19392.7,23978.7,17275.2
E09000018,Hounslow,56.59,5.2902,"288,200",3.28%,18.83,19.68,21.2,21.49,18652.5,18673.2,34173,14821.5,13243.8,12471.6,12989.8,21438.9,27890.8,23240.4
E09000019,Islington,14.86,15.4246,"216,600",2.46%,31.5,3.99,21.5,27.54,22490.2,23301.6,40551,20245.8,18240.5,12332.8,20276.5,24433.6,24133.7,26061.4
E09000020,Kensington and Chelsea,12.38,13.7683,"143,400",1.63%,15.71,7.08,34.2,21.53,17177.5,13962.5,18502,12503.4,8196.5,5295.1,6985.2,20751.8,28557,28690.6
