BOROUGH,Code,Area,Popdensity,Population,Populationper,DEM,DistancetoLondon,EconomicallyInactivePercent,IMDAveragescore,IMD.Average.rank,Income.Average.rank,Income.Scale,Employment.Average.rank,Employment.Scale,Education..Skills.and.Training.Average.rank,Health.Deprivation.and.Disability.Average.rank,Crime...Average.rank,Barriers.to.Housing.and.Services...Average.rank,Living.Environment...Average.rank,year.x,CasesDateChange,CasesDateRollingRate,CasesDateRollingSum,year.y,new1stmean,new2ndmean,new3rdmean
Barking and Dagenham,E09000002,37.80 ,5.52 ,218900.00 ,0.02 ,7.56 ,16.00 ,31.50 ,32.77 ,25551.90 ,25142.70 ,39254.00 ,21951.10 ,14074.80 ,21696.40 ,19499.70 ,23668.30 ,31669.70 ,23068.50 ,2021.00 ,56.40 ,362.35 ,762.21 ,2021.00 ,347.45 ,312.48 ,NA
Barnet,E09000003,86.75 ,4.83 ,389300.00 ,0.04 ,80.53 ,13.94 ,24.60 ,16.15 ,13803.40 ,16104.10 ,41746.00 ,13169.10 ,16661.00 ,7894.60 ,5011.80 ,17479.50 ,25355.60 ,20275.30 ,2021.00 ,84.40 ,329.47 ,1277.87 ,2021.00 ,735.63 ,688.02 ,NA
Bexley,E09000004,64.29 ,3.86 ,246500.00 ,0.03 ,30.40 ,17.36 ,21.50 ,16.27 ,13529.70 ,14732.30 ,25467.00 ,13522.20 ,10756.00 ,16899.30 ,9446.20 ,14596.50 ,20691.00 ,16997.00 ,2021.00 ,59.92 ,358.12 ,867.60 ,2021.00 ,465.97 ,440.28 ,NA
Brent,E09000005,43.23 ,8.24 ,339800.00 ,0.04 ,43.68 ,13.12 ,24.00 ,25.56 ,21083.00 ,21445.30 ,50137.00 ,17690.60 ,19894.80 ,14477.30 ,10642.80 ,21996.40 ,30661.40 ,22811.30 ,2021.00 ,94.36 ,340.75 ,1093.38 ,2021.00 ,644.15 ,585.42 ,NA
Bromley,E09000006,150.14 ,2.14 ,330000.00 ,0.04 ,101.25 ,18.74 ,14.50 ,14.16 ,11297.50 ,12232.80 ,29540.00 ,11414.40 ,12757.50 ,9841.20 ,6522.50 ,15906.40 ,22995.10 ,15733.00 ,2021.00 ,85.13 ,348.40 ,1120.55 ,2021.00 ,657.82 ,626.68 ,NA
Camden,E09000007,21.79 ,11.40 ,210100.00 ,0.02 ,46.83 ,5.74 ,25.10 ,20.13 ,16763.30 ,18655.60 ,34330.00 ,15925.90 ,14945.50 ,10337.70 ,10894.30 ,20400.70 ,17780.10 ,24878.50 ,2021.00 ,48.51 ,269.07 ,733.53 ,2021.00 ,462.96 ,423.49 ,NA
Croydon,E09000008,86.49 ,4.35 ,390800.00 ,0.04 ,105.98 ,17.70 ,21.40 ,22.48 ,18371.20 ,18584.20 ,51702.00 ,16769.50 ,20961.30 ,14304.10 ,14352.60 ,20068.80 ,27123.40 ,20381.00 ,2021.00 ,111.21 ,359.87 ,1354.34 ,2021.00 ,698.08 ,647.68 ,15996.75 
Ealing,E09000009,55.54 ,6.69 ,367100.00 ,0.04 ,29.04 ,16.58 ,19.20 ,22.71 ,18991.70 ,19531.30 ,48235.00 ,16590.70 ,19506.80 ,12144.40 ,12374.10 ,19489.70 ,28039.40 ,23725.10 ,2021.00 ,93.89 ,370.79 ,1231.58 ,2021.00 ,720.77 ,655.91 ,14971.78 
Enfield,E09000010,82.20 ,4.55 ,330000.00 ,0.04 ,40.30 ,15.20 ,26.10 ,25.78 ,20418.70 ,21937.50 ,56010.00 ,18498.50 ,20119.50 ,16856.00 ,9915.40 ,19084.40 ,29478.90 ,21993.30 ,2021.00 ,67.36 ,317.54 ,1019.11 ,2021.00 ,562.32 ,530.46 ,NA
Greenwich,E09000011,50.44 ,6.46 ,289100.00 ,0.03 ,40.35 ,11.20 ,17.40 ,24.46 ,20383.80 ,21413.40 ,43334.00 ,18637.70 ,17715.50 ,14736.50 ,16405.40 ,22514.70 ,26085.30 ,20159.70 ,2021.00 ,80.64 ,350.47 ,988.53 ,2021.00 ,524.89 ,480.72 ,NA
