areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Barking and Dagenham,E09000002,2022/8/30,7,134826,15,124383,10,73996
ltla,Barking and Dagenham,E09000002,2022/8/29,0,134819,0,124368,0,73986
ltla,Barking and Dagenham,E09000002,2022/8/28,0,134819,14,124368,5,73986
ltla,Barking and Dagenham,E09000002,2022/8/27,4,134819,15,124354,11,73981
ltla,Barking and Dagenham,E09000002,2022/8/26,4,134815,13,124339,11,73970
ltla,Barking and Dagenham,E09000002,2022/8/25,4,134811,15,124326,8,73959
ltla,Barking and Dagenham,E09000002,2022/8/24,6,134807,7,124311,7,73951
ltla,Barking and Dagenham,E09000002,2022/8/23,5,134801,11,124304,15,73944
ltla,Barking and Dagenham,E09000002,2022/8/22,1,134796,5,124293,6,73929
ltla,Barking and Dagenham,E09000002,2022/8/21,4,134795,7,124288,10,73923
ltla,Barking and Dagenham,E09000002,2022/8/20,3,134791,9,124281,11,73913
ltla,Barking and Dagenham,E09000002,2022/8/19,9,134788,10,124272,12,73902
ltla,Barking and Dagenham,E09000002,2022/8/18,2,134779,5,124262,12,73890
ltla,Barking and Dagenham,E09000002,2022/8/17,5,134777,15,124257,14,73878
ltla,Barking and Dagenham,E09000002,2022/8/16,5,134772,11,124242,20,73864
ltla,Barking and Dagenham,E09000002,2022/8/15,6,134767,7,124231,9,73844
ltla,Barking and Dagenham,E09000002,2022/8/14,2,134761,6,124224,4,73835
ltla,Barking and Dagenham,E09000002,2022/8/13,11,134759,12,124218,12,73831
ltla,Barking and Dagenham,E09000002,2022/8/12,6,134748,15,124206,9,73819
ltla,Barking and Dagenham,E09000002,2022/8/11,4,134742,19,124191,11,73810
ltla,Barking and Dagenham,E09000002,2022/8/10,5,134738,21,124172,8,73799
ltla,Barking and Dagenham,E09000002,2022/8/9,6,134733,14,124151,22,73791
ltla,Barking and Dagenham,E09000002,2022/8/8,4,134727,8,124137,14,73769
ltla,Barking and Dagenham,E09000002,2022/8/7,2,134723,6,124129,6,73755
ltla,Barking and Dagenham,E09000002,2022/8/6,2,134721,17,124123,18,73749
ltla,Barking and Dagenham,E09000002,2022/8/5,6,134719,16,124106,13,73731
ltla,Barking and Dagenham,E09000002,2022/8/4,3,134713,10,124090,14,73718
ltla,Barking and Dagenham,E09000002,2022/8/3,6,134710,27,124080,17,73704
ltla,Barking and Dagenham,E09000002,2022/8/2,14,134704,35,124053,32,73687
ltla,Barking and Dagenham,E09000002,2022/8/1,7,134690,9,124018,11,73655
ltla,Barking and Dagenham,E09000002,2022/7/31,4,134683,15,124009,14,73644
ltla,Barking and Dagenham,E09000002,2022/7/30,14,134679,22,123994,20,73630
ltla,Barking and Dagenham,E09000002,2022/7/29,7,134665,32,123972,24,73610
ltla,Barking and Dagenham,E09000002,2022/7/28,7,134658,14,123940,17,73586
ltla,Barking and Dagenham,E09000002,2022/7/27,8,134651,13,123926,19,73569
ltla,Barking and Dagenham,E09000002,2022/7/26,5,134643,30,123913,27,73550
ltla,Barking and Dagenham,E09000002,2022/7/25,5,134638,17,123883,16,73523
ltla,Barking and Dagenham,E09000002,2022/7/24,1,134633,19,123866,9,73507
ltla,Barking and Dagenham,E09000002,2022/7/23,6,134632,44,123847,31,73498
ltla,Barking and Dagenham,E09000002,2022/7/22,5,134626,18,123803,18,73467
ltla,Barking and Dagenham,E09000002,2022/7/21,6,134621,17,123785,16,73449
ltla,Barking and Dagenham,E09000002,2022/7/20,3,134615,16,123768,17,73433
ltla,Barking and Dagenham,E09000002,2022/7/19,9,134612,25,123752,33,73416
ltla,Barking and Dagenham,E09000002,2022/7/18,5,134603,10,123727,17,73383
ltla,Barking and Dagenham,E09000002,2022/7/17,9,134598,22,123717,14,73366
ltla,Barking and Dagenham,E09000002,2022/7/16,12,134589,59,123695,30,73352
ltla,Barking and Dagenham,E09000002,2022/7/15,4,134577,26,123636,27,73322
ltla,Barking and Dagenham,E09000002,2022/7/14,2,134573,10,123610,20,73295
ltla,Barking and Dagenham,E09000002,2022/7/13,6,134571,24,123600,18,73275
ltla,Barking and Dagenham,E09000002,2022/7/12,12,134565,26,123576,27,73257
ltla,Barking and Dagenham,E09000002,2022/7/11,2,134553,22,123550,25,73230
ltla,Barking and Dagenham,E09000002,2022/7/10,2,134551,22,123528,22,73205
ltla,Barking and Dagenham,E09000002,2022/7/9,7,134549,59,123506,38,73183
ltla,Barking and Dagenham,E09000002,2022/7/8,4,134542,29,123447,18,73145
ltla,Barking and Dagenham,E09000002,2022/7/7,3,134538,9,123418,14,73127
ltla,Barking and Dagenham,E09000002,2022/7/6,9,134535,28,123409,18,73113
ltla,Barking and Dagenham,E09000002,2022/7/5,9,134526,27,123381,32,73095
ltla,Barking and Dagenham,E09000002,2022/7/4,4,134517,13,123354,9,73063
ltla,Barking and Dagenham,E09000002,2022/7/3,5,134513,39,123341,20,73054
ltla,Barking and Dagenham,E09000002,2022/7/2,15,134508,59,123302,53,73034
ltla,Barking and Dagenham,E09000002,2022/7/1,2,134493,30,123243,16,72981
ltla,Barking and Dagenham,E09000002,2022/6/30,3,134491,22,123213,22,72965
ltla,Barking and Dagenham,E09000002,2022/6/29,3,134488,9,123191,20,72943
ltla,Barking and Dagenham,E09000002,2022/6/28,7,134485,30,123182,28,72923
ltla,Barking and Dagenham,E09000002,2022/6/27,2,134478,14,123152,21,72895
ltla,Barking and Dagenham,E09000002,2022/6/26,11,134476,19,123138,21,72874
ltla,Barking and Dagenham,E09000002,2022/6/25,17,134465,59,123119,33,72853
ltla,Barking and Dagenham,E09000002,2022/6/24,8,134448,19,123060,16,72820
ltla,Barking and Dagenham,E09000002,2022/6/23,3,134440,18,123041,28,72804
ltla,Barking and Dagenham,E09000002,2022/6/22,8,134437,29,123023,26,72776
ltla,Barking and Dagenham,E09000002,2022/6/21,5,134429,23,122994,24,72750
ltla,Barking and Dagenham,E09000002,2022/6/20,6,134424,11,122971,14,72726
ltla,Barking and Dagenham,E09000002,2022/6/19,5,134418,13,122960,16,72712
ltla,Barking and Dagenham,E09000002,2022/6/18,11,134413,37,122947,39,72696
ltla,Barking and Dagenham,E09000002,2022/6/17,8,134402,20,122910,13,72657
ltla,Barking and Dagenham,E09000002,2022/6/16,6,134394,15,122890,38,72644
ltla,Barking and Dagenham,E09000002,2022/6/15,7,134388,29,122875,26,72606
ltla,Barking and Dagenham,E09000002,2022/6/14,3,134381,6,122846,19,72580
ltla,Barking and Dagenham,E09000002,2022/6/13,1,134378,7,122840,14,72561
ltla,Barking and Dagenham,E09000002,2022/6/12,2,134377,21,122833,17,72547
ltla,Barking and Dagenham,E09000002,2022/6/11,15,134375,48,122812,28,72530
ltla,Barking and Dagenham,E09000002,2022/6/10,5,134360,25,122764,17,72502
ltla,Barking and Dagenham,E09000002,2022/6/9,2,134355,9,122739,31,72485
ltla,Barking and Dagenham,E09000002,2022/6/8,9,134353,15,122730,36,72454
ltla,Barking and Dagenham,E09000002,2022/6/7,2,134344,15,122715,23,72418
ltla,Barking and Dagenham,E09000002,2022/6/6,9,134342,10,122700,15,72395
ltla,Barking and Dagenham,E09000002,2022/6/5,1,134333,23,122690,11,72380
ltla,Barking and Dagenham,E09000002,2022/6/4,13,134332,44,122667,44,72369
ltla,Barking and Dagenham,E09000002,2022/6/3,2,134319,5,122623,7,72325
ltla,Barking and Dagenham,E09000002,2022/6/2,0,134317,0,122618,0,72318
ltla,Barking and Dagenham,E09000002,2022/6/1,12,134317,30,122618,24,72318
ltla,Barking and Dagenham,E09000002,2022/5/31,16,134305,38,122588,23,72294
ltla,Barking and Dagenham,E09000002,2022/5/30,3,134289,18,122550,21,72271
ltla,Barking and Dagenham,E09000002,2022/5/29,10,134286,34,122532,18,72250
ltla,Barking and Dagenham,E09000002,2022/5/28,13,134276,39,122498,40,72232
ltla,Barking and Dagenham,E09000002,2022/5/27,7,134263,13,122459,23,72192
ltla,Barking and Dagenham,E09000002,2022/5/26,7,134256,22,122446,33,72169
ltla,Barking and Dagenham,E09000002,2022/5/25,8,134249,12,122424,38,72136
ltla,Barking and Dagenham,E09000002,2022/5/24,2,134241,24,122412,26,72098
ltla,Barking and Dagenham,E09000002,2022/5/23,7,134239,11,122388,19,72072
ltla,Barking and Dagenham,E09000002,2022/5/22,10,134232,15,122377,16,72053
ltla,Barking and Dagenham,E09000002,2022/5/21,26,134222,53,122362,55,72037
ltla,Barking and Dagenham,E09000002,2022/5/20,16,134196,22,122309,42,71982
ltla,Barking and Dagenham,E09000002,2022/5/19,13,134180,13,122287,28,71940
ltla,Barking and Dagenham,E09000002,2022/5/18,9,134167,13,122274,30,71912
ltla,Barking and Dagenham,E09000002,2022/5/17,4,134158,16,122261,24,71882
ltla,Barking and Dagenham,E09000002,2022/5/16,12,134154,7,122245,20,71858
ltla,Barking and Dagenham,E09000002,2022/5/15,12,134142,9,122238,23,71838
ltla,Barking and Dagenham,E09000002,2022/5/14,29,134130,51,122229,62,71815
ltla,Barking and Dagenham,E09000002,2022/5/13,17,134101,48,122178,49,71753
ltla,Barking and Dagenham,E09000002,2022/5/12,8,134084,23,122130,34,71704
ltla,Barking and Dagenham,E09000002,2022/5/11,9,134076,26,122107,39,71670
ltla,Barking and Dagenham,E09000002,2022/5/10,8,134067,24,122081,29,71631
ltla,Barking and Dagenham,E09000002,2022/5/9,6,134059,6,122057,19,71602
ltla,Barking and Dagenham,E09000002,2022/5/8,5,134053,24,122051,13,71583
ltla,Barking and Dagenham,E09000002,2022/5/7,47,134048,74,122027,67,71570
ltla,Barking and Dagenham,E09000002,2022/5/6,21,134001,23,121953,44,71503
ltla,Barking and Dagenham,E09000002,2022/5/5,13,133980,25,121930,38,71459
ltla,Barking and Dagenham,E09000002,2022/5/4,17,133967,14,121905,40,71421
ltla,Barking and Dagenham,E09000002,2022/5/3,13,133950,25,121891,29,71381
ltla,Barking and Dagenham,E09000002,2022/5/2,4,133937,5,121866,8,71352
ltla,Barking and Dagenham,E09000002,2022/5/1,5,133933,7,121861,21,71344
ltla,Barking and Dagenham,E09000002,2022/4/30,28,133928,61,121854,60,71323
ltla,Barking and Dagenham,E09000002,2022/4/29,19,133900,38,121793,47,71263
ltla,Barking and Dagenham,E09000002,2022/4/28,6,133881,24,121755,26,71216
ltla,Barking and Dagenham,E09000002,2022/4/27,15,133875,16,121731,19,71190
ltla,Barking and Dagenham,E09000002,2022/4/26,6,133860,23,121715,20,71171
ltla,Barking and Dagenham,E09000002,2022/4/25,10,133854,10,121692,21,71151
ltla,Barking and Dagenham,E09000002,2022/4/24,11,133844,22,121682,12,71130
