areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Barnet,E09000003,2022-08-30,6,283877,11,269487,21,201758
ltla,Barnet,E09000003,2022-08-29,0,283871,1,269476,2,201737
ltla,Barnet,E09000003,2022-08-28,2,283871,3,269475,5,201735
ltla,Barnet,E09000003,2022-08-27,5,283869,8,269472,17,201730
ltla,Barnet,E09000003,2022-08-26,11,283864,12,269464,20,201713
ltla,Barnet,E09000003,2022-08-25,14,283853,16,269452,22,201693
ltla,Barnet,E09000003,2022-08-24,4,283839,16,269436,14,201671
ltla,Barnet,E09000003,2022-08-23,5,283835,8,269420,20,201657
ltla,Barnet,E09000003,2022-08-22,7,283830,15,269412,25,201637
ltla,Barnet,E09000003,2022-08-21,1,283823,3,269397,4,201612
ltla,Barnet,E09000003,2022-08-20,4,283822,9,269394,12,201608
ltla,Barnet,E09000003,2022-08-19,12,283818,15,269385,11,201596
ltla,Barnet,E09000003,2022-08-18,5,283806,13,269370,18,201585
ltla,Barnet,E09000003,2022-08-17,13,283801,16,269357,22,201567
ltla,Barnet,E09000003,2022-08-16,4,283788,10,269341,25,201545
ltla,Barnet,E09000003,2022-08-15,4,283784,6,269331,20,201520
ltla,Barnet,E09000003,2022-08-14,2,283780,8,269325,8,201500
ltla,Barnet,E09000003,2022-08-13,9,283778,12,269317,20,201492
ltla,Barnet,E09000003,2022-08-12,5,283769,21,269305,31,201472
ltla,Barnet,E09000003,2022-08-11,5,283764,16,269284,24,201441
ltla,Barnet,E09000003,2022-08-10,9,283759,15,269268,35,201417
ltla,Barnet,E09000003,2022-08-09,7,283750,21,269253,18,201382
ltla,Barnet,E09000003,2022-08-08,9,283743,22,269232,32,201364
ltla,Barnet,E09000003,2022-08-07,1,283734,8,269210,4,201332
ltla,Barnet,E09000003,2022-08-06,11,283733,18,269202,28,201328
ltla,Barnet,E09000003,2022-08-05,6,283722,24,269184,33,201300
ltla,Barnet,E09000003,2022-08-04,14,283716,9,269160,37,201267
ltla,Barnet,E09000003,2022-08-03,8,283702,21,269151,24,201230
ltla,Barnet,E09000003,2022-08-02,5,283694,11,269130,30,201206
ltla,Barnet,E09000003,2022-08-01,7,283689,23,269119,41,201176
ltla,Barnet,E09000003,2022-07-31,8,283682,16,269096,7,201135
ltla,Barnet,E09000003,2022-07-30,8,283674,29,269080,24,201128
ltla,Barnet,E09000003,2022-07-29,11,283666,29,269051,39,201104
ltla,Barnet,E09000003,2022-07-28,6,283655,31,269022,45,201065
ltla,Barnet,E09000003,2022-07-27,10,283649,17,268991,42,201020
ltla,Barnet,E09000003,2022-07-26,10,283639,29,268974,39,200978
ltla,Barnet,E09000003,2022-07-25,16,283629,43,268945,49,200939
ltla,Barnet,E09000003,2022-07-24,5,283613,22,268902,8,200890
ltla,Barnet,E09000003,2022-07-23,12,283608,28,268880,44,200882
ltla,Barnet,E09000003,2022-07-22,12,283596,59,268852,42,200838
ltla,Barnet,E09000003,2022-07-21,12,283584,18,268793,28,200796
ltla,Barnet,E09000003,2022-07-20,13,283572,26,268775,47,200768
ltla,Barnet,E09000003,2022-07-19,7,283559,17,268749,39,200721
ltla,Barnet,E09000003,2022-07-18,11,283552,23,268732,48,200682
ltla,Barnet,E09000003,2022-07-17,5,283541,23,268709,16,200634
ltla,Barnet,E09000003,2022-07-16,11,283536,60,268686,44,200618
ltla,Barnet,E09000003,2022-07-15,16,283525,44,268626,58,200574
ltla,Barnet,E09000003,2022-07-14,10,283509,34,268582,43,200516
ltla,Barnet,E09000003,2022-07-13,6,283499,30,268548,47,200473
ltla,Barnet,E09000003,2022-07-12,11,283493,29,268518,53,200426
ltla,Barnet,E09000003,2022-07-11,15,283482,39,268489,53,200373
ltla,Barnet,E09000003,2022-07-10,5,283467,40,268450,13,200320
ltla,Barnet,E09000003,2022-07-09,11,283462,75,268410,29,200307
ltla,Barnet,E09000003,2022-07-08,12,283451,47,268335,74,200278
ltla,Barnet,E09000003,2022-07-07,18,283439,46,268288,62,200204
ltla,Barnet,E09000003,2022-07-06,12,283421,40,268242,52,200142
ltla,Barnet,E09000003,2022-07-05,3,283409,57,268202,38,200090
ltla,Barnet,E09000003,2022-07-04,6,283406,38,268145,43,200052
ltla,Barnet,E09000003,2022-07-03,3,283400,29,268107,20,200009
ltla,Barnet,E09000003,2022-07-02,15,283397,74,268078,50,199989
ltla,Barnet,E09000003,2022-07-01,14,283382,47,268004,54,199939
ltla,Barnet,E09000003,2022-06-30,10,283368,38,267957,60,199885
ltla,Barnet,E09000003,2022-06-29,6,283358,47,267919,50,199825
ltla,Barnet,E09000003,2022-06-28,6,283352,22,267872,28,199775
ltla,Barnet,E09000003,2022-06-27,12,283346,36,267850,67,199747
ltla,Barnet,E09000003,2022-06-26,14,283334,20,267814,28,199680
ltla,Barnet,E09000003,2022-06-25,18,283320,41,267794,36,199652
ltla,Barnet,E09000003,2022-06-24,14,283302,36,267753,54,199616
ltla,Barnet,E09000003,2022-06-23,7,283288,36,267717,52,199562
ltla,Barnet,E09000003,2022-06-22,10,283281,26,267681,34,199510
ltla,Barnet,E09000003,2022-06-21,15,283271,18,267655,31,199476
ltla,Barnet,E09000003,2022-06-20,9,283256,21,267637,50,199445
ltla,Barnet,E09000003,2022-06-19,7,283247,17,267616,8,199395
ltla,Barnet,E09000003,2022-06-18,20,283240,54,267599,45,199387
ltla,Barnet,E09000003,2022-06-17,20,283220,53,267545,42,199342
ltla,Barnet,E09000003,2022-06-16,5,283200,29,267492,40,199300
