areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Bexley,E09000004,2022-08-30,3,179774,11,171993,21,131974
ltla,Bexley,E09000004,2022-08-29,0,179771,0,171982,1,131953
ltla,Bexley,E09000004,2022-08-28,0,179771,2,171982,1,131952
ltla,Bexley,E09000004,2022-08-27,3,179771,9,171980,14,131951
ltla,Bexley,E09000004,2022-08-26,5,179768,15,171971,20,131937
ltla,Bexley,E09000004,2022-08-25,2,179763,7,171956,7,131917
ltla,Bexley,E09000004,2022-08-24,3,179761,6,171949,14,131910
ltla,Bexley,E09000004,2022-08-23,5,179758,3,171943,14,131896
ltla,Bexley,E09000004,2022-08-22,6,179753,10,171940,19,131882
ltla,Bexley,E09000004,2022-08-21,0,179747,4,171930,3,131863
ltla,Bexley,E09000004,2022-08-20,7,179747,11,171926,16,131860
ltla,Bexley,E09000004,2022-08-19,2,179740,8,171915,17,131844
ltla,Bexley,E09000004,2022-08-18,9,179738,15,171907,24,131827
ltla,Bexley,E09000004,2022-08-17,5,179729,6,171892,16,131803
ltla,Bexley,E09000004,2022-08-16,5,179724,5,171886,20,131787
ltla,Bexley,E09000004,2022-08-15,1,179719,9,171881,16,131767
ltla,Bexley,E09000004,2022-08-14,1,179718,2,171872,12,131751
ltla,Bexley,E09000004,2022-08-13,2,179717,13,171870,10,131739
ltla,Bexley,E09000004,2022-08-12,6,179715,10,171857,16,131729
ltla,Bexley,E09000004,2022-08-11,5,179709,18,171847,13,131713
ltla,Bexley,E09000004,2022-08-10,4,179704,4,171829,12,131700
ltla,Bexley,E09000004,2022-08-09,9,179700,10,171825,26,131688
ltla,Bexley,E09000004,2022-08-08,6,179691,11,171815,29,131662
ltla,Bexley,E09000004,2022-08-07,4,179685,7,171804,3,131633
ltla,Bexley,E09000004,2022-08-06,6,179681,16,171797,20,131630
ltla,Bexley,E09000004,2022-08-05,2,179675,19,171781,22,131610
ltla,Bexley,E09000004,2022-08-04,0,179673,10,171762,20,131588
ltla,Bexley,E09000004,2022-08-03,4,179673,13,171752,19,131568
ltla,Bexley,E09000004,2022-08-02,2,179669,18,171739,19,131549
ltla,Bexley,E09000004,2022-08-01,7,179667,17,171721,44,131530
ltla,Bexley,E09000004,2022-07-31,2,179660,15,171704,16,131486
ltla,Bexley,E09000004,2022-07-30,4,179658,23,171689,26,131470
ltla,Bexley,E09000004,2022-07-29,0,179654,16,171666,25,131444
ltla,Bexley,E09000004,2022-07-28,6,179654,11,171650,24,131419
ltla,Bexley,E09000004,2022-07-27,7,179648,25,171639,38,131395
ltla,Bexley,E09000004,2022-07-26,6,179641,28,171614,38,131357
ltla,Bexley,E09000004,2022-07-25,6,179635,21,171586,38,131319
ltla,Bexley,E09000004,2022-07-24,1,179629,11,171565,12,131281
ltla,Bexley,E09000004,2022-07-23,6,179628,24,171554,35,131269
ltla,Bexley,E09000004,2022-07-22,7,179622,35,171530,28,131234
ltla,Bexley,E09000004,2022-07-21,7,179615,22,171495,22,131206
ltla,Bexley,E09000004,2022-07-20,5,179608,18,171473,24,131184
ltla,Bexley,E09000004,2022-07-19,2,179603,14,171455,24,131160
ltla,Bexley,E09000004,2022-07-18,7,179601,25,171441,47,131136
ltla,Bexley,E09000004,2022-07-17,2,179594,18,171416,8,131089
ltla,Bexley,E09000004,2022-07-16,13,179592,77,171398,33,131081
ltla,Bexley,E09000004,2022-07-15,16,179579,26,171321,28,131048
ltla,Bexley,E09000004,2022-07-14,6,179563,12,171295,32,131020
ltla,Bexley,E09000004,2022-07-13,8,179557,35,171283,40,130988
ltla,Bexley,E09000004,2022-07-12,7,179549,35,171248,28,130948
ltla,Bexley,E09000004,2022-07-11,7,179542,20,171213,38,130920
ltla,Bexley,E09000004,2022-07-10,0,179535,15,171193,9,130882
ltla,Bexley,E09000004,2022-07-09,6,179535,51,171178,40,130873
ltla,Bexley,E09000004,2022-07-08,8,179529,21,171127,27,130833
ltla,Bexley,E09000004,2022-07-07,5,179521,33,171106,36,130806
ltla,Bexley,E09000004,2022-07-06,5,179516,48,171073,29,130770
ltla,Bexley,E09000004,2022-07-05,6,179511,26,171025,38,130741
ltla,Bexley,E09000004,2022-07-04,6,179505,24,170999,37,130703
ltla,Bexley,E09000004,2022-07-03,7,179499,22,170975,21,130666
ltla,Bexley,E09000004,2022-07-02,12,179492,57,170953,33,130645
ltla,Bexley,E09000004,2022-07-01,4,179480,34,170896,22,130612
ltla,Bexley,E09000004,2022-06-30,2,179476,27,170862,27,130590
ltla,Bexley,E09000004,2022-06-29,6,179474,24,170835,28,130563
ltla,Bexley,E09000004,2022-06-28,7,179468,26,170811,31,130535
ltla,Bexley,E09000004,2022-06-27,12,179461,34,170785,36,130504
ltla,Bexley,E09000004,2022-06-26,4,179449,7,170751,11,130468
ltla,Bexley,E09000004,2022-06-25,12,179445,55,170744,30,130457
ltla,Bexley,E09000004,2022-06-24,4,179433,32,170689,30,130427
ltla,Bexley,E09000004,2022-06-23,1,179429,23,170657,33,130397
ltla,Bexley,E09000004,2022-06-22,7,179428,17,170634,29,130364
