areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Bromley,E09000006,2022-08-30,2,251993,5,243194,17,198240
ltla,Bromley,E09000006,2022-08-29,0,251991,1,243189,2,198223
ltla,Bromley,E09000006,2022-08-28,0,251991,2,243188,8,198221
ltla,Bromley,E09000006,2022-08-27,6,251991,18,243186,25,198213
ltla,Bromley,E09000006,2022-08-26,3,251985,3,243168,10,198188
ltla,Bromley,E09000006,2022-08-25,3,251982,7,243165,16,198178
ltla,Bromley,E09000006,2022-08-24,3,251979,9,243158,16,198162
ltla,Bromley,E09000006,2022-08-23,2,251976,12,243149,24,198146
ltla,Bromley,E09000006,2022-08-22,4,251974,7,243137,14,198122
ltla,Bromley,E09000006,2022-08-21,0,251970,7,243130,6,198108
ltla,Bromley,E09000006,2022-08-20,8,251970,19,243123,38,198102
ltla,Bromley,E09000006,2022-08-19,3,251962,3,243104,15,198064
ltla,Bromley,E09000006,2022-08-18,2,251959,14,243101,23,198049
ltla,Bromley,E09000006,2022-08-17,8,251957,15,243087,19,198026
ltla,Bromley,E09000006,2022-08-16,5,251949,16,243072,25,198007
ltla,Bromley,E09000006,2022-08-15,6,251944,8,243056,12,197982
ltla,Bromley,E09000006,2022-08-14,1,251938,8,243048,5,197970
ltla,Bromley,E09000006,2022-08-13,9,251937,15,243040,28,197965
ltla,Bromley,E09000006,2022-08-12,6,251928,6,243025,8,197937
ltla,Bromley,E09000006,2022-08-11,2,251922,16,243019,18,197929
ltla,Bromley,E09000006,2022-08-10,7,251920,26,243003,21,197911
ltla,Bromley,E09000006,2022-08-09,6,251913,10,242977,33,197890
ltla,Bromley,E09000006,2022-08-08,0,251907,9,242967,22,197857
ltla,Bromley,E09000006,2022-08-07,2,251907,3,242958,4,197835
ltla,Bromley,E09000006,2022-08-06,14,251905,35,242955,34,197831
ltla,Bromley,E09000006,2022-08-05,2,251891,6,242920,18,197797
ltla,Bromley,E09000006,2022-08-04,3,251889,11,242914,18,197779
ltla,Bromley,E09000006,2022-08-03,2,251886,23,242903,25,197761
ltla,Bromley,E09000006,2022-08-02,3,251884,20,242880,34,197736
ltla,Bromley,E09000006,2022-08-01,4,251881,9,242860,10,197702
ltla,Bromley,E09000006,2022-07-31,3,251877,9,242851,7,197692
ltla,Bromley,E09000006,2022-07-30,22,251874,57,242842,54,197685
ltla,Bromley,E09000006,2022-07-29,6,251852,13,242785,22,197631
ltla,Bromley,E09000006,2022-07-28,5,251846,28,242772,20,197609
ltla,Bromley,E09000006,2022-07-27,3,251841,26,242744,32,197589
ltla,Bromley,E09000006,2022-07-26,5,251838,22,242718,38,197557
ltla,Bromley,E09000006,2022-07-25,5,251833,35,242696,35,197519
ltla,Bromley,E09000006,2022-07-24,2,251828,7,242661,7,197484
ltla,Bromley,E09000006,2022-07-23,8,251826,56,242654,45,197477
ltla,Bromley,E09000006,2022-07-22,4,251818,20,242598,24,197432
ltla,Bromley,E09000006,2022-07-21,1,251814,21,242578,16,197408
ltla,Bromley,E09000006,2022-07-20,3,251813,16,242557,40,197392
ltla,Bromley,E09000006,2022-07-19,2,251810,30,242541,34,197352
ltla,Bromley,E09000006,2022-07-18,3,251808,11,242511,19,197318
ltla,Bromley,E09000006,2022-07-17,1,251805,12,242500,4,197299
ltla,Bromley,E09000006,2022-07-16,10,251804,107,242488,73,197295
ltla,Bromley,E09000006,2022-07-15,9,251794,13,242381,32,197222
ltla,Bromley,E09000006,2022-07-14,5,251785,20,242368,30,197190
ltla,Bromley,E09000006,2022-07-13,5,251780,54,242348,44,197160
ltla,Bromley,E09000006,2022-07-12,15,251775,37,242294,51,197116
ltla,Bromley,E09000006,2022-07-11,1,251760,17,242257,25,197065
ltla,Bromley,E09000006,2022-07-10,1,251759,13,242240,8,197040
ltla,Bromley,E09000006,2022-07-09,34,251758,131,242227,62,197032
ltla,Bromley,E09000006,2022-07-08,0,251724,23,242096,24,196970
ltla,Bromley,E09000006,2022-07-07,4,251724,31,242073,26,196946
ltla,Bromley,E09000006,2022-07-06,15,251720,49,242042,49,196920
ltla,Bromley,E09000006,2022-07-05,4,251705,30,241993,37,196871
ltla,Bromley,E09000006,2022-07-04,4,251701,10,241963,24,196834
ltla,Bromley,E09000006,2022-07-03,3,251697,14,241953,7,196810
ltla,Bromley,E09000006,2022-07-02,12,251694,114,241939,76,196803
ltla,Bromley,E09000006,2022-07-01,6,251682,22,241825,32,196727
ltla,Bromley,E09000006,2022-06-30,15,251676,29,241803,59,196695
ltla,Bromley,E09000006,2022-06-29,10,251661,33,241774,33,196636
ltla,Bromley,E09000006,2022-06-28,10,251651,37,241741,64,196603
ltla,Bromley,E09000006,2022-06-27,2,251641,32,241704,39,196539
ltla,Bromley,E09000006,2022-06-26,7,251639,10,241672,9,196500
ltla,Bromley,E09000006,2022-06-25,36,251632,117,241662,102,196491
ltla,Bromley,E09000006,2022-06-24,7,251596,36,241545,38,196389
ltla,Bromley,E09000006,2022-06-23,5,251589,23,241509,56,196351
ltla,Bromley,E09000006,2022-06-22,5,251584,29,241486,31,196295
ltla,Bromley,E09000006,2022-06-21,3,251579,17,241457,26,196264
ltla,Bromley,E09000006,2022-06-20,5,251576,14,241440,35,196238
ltla,Bromley,E09000006,2022-06-19,2,251571,9,241426,2,196203
ltla,Bromley,E09000006,2022-06-18,28,251569,83,241417,66,196201
ltla,Bromley,E09000006,2022-06-17,5,251541,16,241334,38,196135
ltla,Bromley,E09000006,2022-06-16,9,251536,26,241318,44,196097
ltla,Bromley,E09000006,2022-06-15,7,251527,30,241292,31,196053
ltla,Bromley,E09000006,2022-06-14,4,251520,31,241262,41,196022
ltla,Bromley,E09000006,2022-06-13,10,251516,24,241231,36,195981
ltla,Bromley,E09000006,2022-06-12,2,251506,9,241207,5,195945
ltla,Bromley,E09000006,2022-06-11,24,251504,72,241198,91,195940
ltla,Bromley,E09000006,2022-06-10,10,251480,24,241126,33,195849
ltla,Bromley,E09000006,2022-06-09,6,251470,19,241102,38,195816
ltla,Bromley,E09000006,2022-06-08,1,251464,22,241083,44,195778
ltla,Bromley,E09000006,2022-06-07,11,251463,14,241061,47,195734
ltla,Bromley,E09000006,2022-06-06,4,251452,11,241047,33,195687
ltla,Bromley,E09000006,2022-06-05,4,251448,5,241036,2,195654
ltla,Bromley,E09000006,2022-06-04,14,251444,39,241031,32,195652
ltla,Bromley,E09000006,2022-06-03,0,251430,0,240992,3,195620
ltla,Bromley,E09000006,2022-06-02,1,251430,1,240992,0,195617
ltla,Bromley,E09000006,2022-06-01,14,251429,37,240991,58,195617
ltla,Bromley,E09000006,2022-05-31,14,251415,45,240954,61,195559
ltla,Bromley,E09000006,2022-05-30,6,251401,21,240909,49,195498
ltla,Bromley,E09000006,2022-05-29,2,251395,6,240888,6,195449
ltla,Bromley,E09000006,2022-05-28,22,251393,73,240882,79,195443
ltla,Bromley,E09000006,2022-05-27,13,251371,20,240809,46,195364
ltla,Bromley,E09000006,2022-05-26,9,251358,19,240789,44,195318
ltla,Bromley,E09000006,2022-05-25,11,251349,23,240770,62,195274
ltla,Bromley,E09000006,2022-05-24,10,251338,34,240747,63,195212
ltla,Bromley,E09000006,2022-05-23,8,251328,18,240713,69,195149
ltla,Bromley,E09000006,2022-05-22,1,251320,9,240695,10,195080
ltla,Bromley,E09000006,2022-05-21,25,251319,74,240686,97,195070
ltla,Bromley,E09000006,2022-05-20,13,251294,24,240612,55,194973
ltla,Bromley,E09000006,2022-05-19,15,251281,29,240588,52,194918
ltla,Bromley,E09000006,2022-05-18,7,251266,25,240559,56,194866
ltla,Bromley,E09000006,2022-05-17,8,251259,26,240534,64,194810
ltla,Bromley,E09000006,2022-05-16,14,251251,24,240508,66,194746
ltla,Bromley,E09000006,2022-05-15,4,251237,5,240484,13,194680
ltla,Bromley,E09000006,2022-05-14,29,251233,83,240479,113,194667
ltla,Bromley,E09000006,2022-05-13,12,251204,19,240396,64,194554
ltla,Bromley,E09000006,2022-05-12,15,251192,35,240377,46,194490
ltla,Bromley,E09000006,2022-05-11,10,251177,41,240342,57,194444
ltla,Bromley,E09000006,2022-05-10,13,251167,41,240301,75,194387
ltla,Bromley,E09000006,2022-05-09,20,251154,38,240260,63,194312
ltla,Bromley,E09000006,2022-05-08,5,251134,6,240222,11,194249
ltla,Bromley,E09000006,2022-05-07,46,251129,99,240216,102,194238
ltla,Bromley,E09000006,2022-05-06,17,251083,23,240117,56,194136
ltla,Bromley,E09000006,2022-05-05,15,251066,47,240094,77,194080
ltla,Bromley,E09000006,2022-05-04,19,251051,36,240047,96,194003
ltla,Bromley,E09000006,2022-05-03,15,251032,39,240011,79,193907
ltla,Bromley,E09000006,2022-05-02,0,251017,1,239972,3,193828
ltla,Bromley,E09000006,2022-05-01,3,251017,8,239971,2,193825
ltla,Bromley,E09000006,2022-04-30,39,251014,87,239963,89,193823
ltla,Bromley,E09000006,2022-04-29,17,250975,39,239876,45,193734
ltla,Bromley,E09000006,2022-04-28,28,250958,38,239837,54,193689
ltla,Bromley,E09000006,2022-04-27,14,250930,28,239799,109,193635
ltla,Bromley,E09000006,2022-04-26,24,250916,37,239771,75,193526
ltla,Bromley,E09000006,2022-04-25,15,250892,46,239734,67,193451
ltla,Bromley,E09000006,2022-04-24,6,250877,13,239688,10,193384
ltla,Bromley,E09000006,2022-04-23,50,250871,99,239675,79,193374
ltla,Bromley,E09000006,2022-04-22,24,250821,49,239576,102,193295
ltla,Bromley,E09000006,2022-04-21,34,250797,35,239527,80,193193
ltla,Bromley,E09000006,2022-04-20,34,250763,78,239492,92,193113
ltla,Bromley,E09000006,2022-04-19,28,250729,62,239414,122,193021
ltla,Bromley,E09000006,2022-04-18,14,250701,5,239352,7,192899
ltla,Bromley,E09000006,2022-04-17,1,250687,8,239347,3,192892
ltla,Bromley,E09000006,2022-04-16,20,250686,80,239339,63,192889
ltla,Bromley,E09000006,2022-04-15,19,250666,42,239259,56,192826
ltla,Bromley,E09000006,2022-04-14,45,250647,72,239217,78,192770
ltla,Bromley,E09000006,2022-04-13,47,250602,88,239145,88,192692
ltla,Bromley,E09000006,2022-04-12,36,250555,80,239057,107,192604
ltla,Bromley,E09000006,2022-04-11,32,250519,36,238977,72,192497
ltla,Bromley,E09000006,2022-04-10,17,250487,16,238941,9,192425
ltla,Bromley,E09000006,2022-04-09,32,250470,62,238925,75,192416
ltla,Bromley,E09000006,2022-04-08,28,250438,58,238863,67,192341
ltla,Bromley,E09000006,2022-04-07,19,250410,45,238805,79,192274
ltla,Bromley,E09000006,2022-04-06,22,250391,47,238760,63,192195
ltla,Bromley,E09000006,2022-04-05,27,250369,67,238713,64,192132
ltla,Bromley,E09000006,2022-04-04,30,250342,47,238646,77,192068
ltla,Bromley,E09000006,2022-04-03,21,250312,38,238599,34,191991
ltla,Bromley,E09000006,2022-04-02,22,250291,94,238561,80,191957
ltla,Bromley,E09000006,2022-04-01,18,250269,73,238467,57,191877
ltla,Bromley,E09000006,2022-03-31,15,250251,47,238394,51,191820
ltla,Bromley,E09000006,2022-03-30,11,250236,65,238347,95,191769
ltla,Bromley,E09000006,2022-03-29,28,250225,116,238282,90,191674
ltla,Bromley,E09000006,2022-03-28,17,250197,68,238166,93,191584
ltla,Bromley,E09000006,2022-03-27,14,250180,35,238098,39,191491
ltla,Bromley,E09000006,2022-03-26,25,250166,119,238063,108,191452
ltla,Bromley,E09000006,2022-03-25,21,250141,58,237944,82,191344
ltla,Bromley,E09000006,2022-03-24,27,250120,78,237886,104,191262
ltla,Bromley,E09000006,2022-03-23,15,250093,56,237808,93,191158
ltla,Bromley,E09000006,2022-03-22,18,250078,63,237752,103,191065
ltla,Bromley,E09000006,2022-03-21,51,250060,97,237689,92,190962
ltla,Bromley,E09000006,2022-03-20,17,250009,56,237592,61,190870
