areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Camden,E09000007,2022-08-30,5,180337,5,165218,9,123723
ltla,Camden,E09000007,2022-08-29,0,180332,2,165213,1,123714
ltla,Camden,E09000007,2022-08-28,0,180332,2,165211,3,123713
ltla,Camden,E09000007,2022-08-27,3,180332,5,165209,10,123710
ltla,Camden,E09000007,2022-08-26,13,180329,5,165204,19,123700
ltla,Camden,E09000007,2022-08-25,0,180316,4,165199,17,123681
ltla,Camden,E09000007,2022-08-24,5,180316,4,165195,7,123664
ltla,Camden,E09000007,2022-08-23,7,180311,8,165191,8,123657
ltla,Camden,E09000007,2022-08-22,11,180304,7,165183,19,123649
ltla,Camden,E09000007,2022-08-21,0,180293,1,165176,3,123630
ltla,Camden,E09000007,2022-08-20,5,180293,4,165175,8,123627
ltla,Camden,E09000007,2022-08-19,9,180288,9,165171,19,123619
ltla,Camden,E09000007,2022-08-18,3,180279,7,165162,16,123600
ltla,Camden,E09000007,2022-08-17,4,180276,2,165155,11,123584
ltla,Camden,E09000007,2022-08-16,6,180272,4,165153,15,123573
ltla,Camden,E09000007,2022-08-15,3,180266,11,165149,16,123558
ltla,Camden,E09000007,2022-08-14,2,180263,2,165138,4,123542
ltla,Camden,E09000007,2022-08-13,5,180261,9,165136,9,123538
ltla,Camden,E09000007,2022-08-12,5,180256,9,165127,16,123529
ltla,Camden,E09000007,2022-08-11,4,180251,5,165118,17,123513
ltla,Camden,E09000007,2022-08-10,3,180247,11,165113,20,123496
ltla,Camden,E09000007,2022-08-09,9,180244,2,165102,11,123476
ltla,Camden,E09000007,2022-08-08,12,180235,19,165100,17,123465
ltla,Camden,E09000007,2022-08-07,2,180223,8,165081,9,123448
ltla,Camden,E09000007,2022-08-06,9,180221,6,165073,3,123439
ltla,Camden,E09000007,2022-08-05,6,180212,10,165067,35,123436
ltla,Camden,E09000007,2022-08-04,7,180206,10,165057,20,123401
ltla,Camden,E09000007,2022-08-03,5,180199,4,165047,22,123381
ltla,Camden,E09000007,2022-08-02,2,180194,6,165043,11,123359
ltla,Camden,E09000007,2022-08-01,4,180192,9,165037,22,123348
ltla,Camden,E09000007,2022-07-31,1,180188,7,165028,3,123326
ltla,Camden,E09000007,2022-07-30,8,180187,10,165021,12,123323
ltla,Camden,E09000007,2022-07-29,8,180179,14,165011,34,123311
ltla,Camden,E09000007,2022-07-28,6,180171,9,164997,23,123277
ltla,Camden,E09000007,2022-07-27,7,180165,5,164988,26,123254
ltla,Camden,E09000007,2022-07-26,4,180158,11,164983,18,123228
ltla,Camden,E09000007,2022-07-25,7,180154,17,164972,31,123210
