areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Croydon,E09000008,2022-08-30,2,269593,13,254042,16,180638
ltla,Croydon,E09000008,2022-08-29,1,269591,0,254029,1,180622
ltla,Croydon,E09000008,2022-08-28,4,269590,4,254029,10,180621
ltla,Croydon,E09000008,2022-08-27,10,269586,14,254025,24,180611
ltla,Croydon,E09000008,2022-08-26,12,269576,23,254011,27,180587
ltla,Croydon,E09000008,2022-08-25,7,269564,22,253988,21,180560
ltla,Croydon,E09000008,2022-08-24,4,269557,29,253966,34,180539
ltla,Croydon,E09000008,2022-08-23,7,269553,6,253937,20,180505
ltla,Croydon,E09000008,2022-08-22,6,269546,7,253931,4,180485
ltla,Croydon,E09000008,2022-08-21,2,269540,3,253924,3,180481
ltla,Croydon,E09000008,2022-08-20,5,269538,26,253921,28,180478
ltla,Croydon,E09000008,2022-08-19,6,269533,23,253895,22,180450
ltla,Croydon,E09000008,2022-08-18,7,269527,17,253872,33,180428
ltla,Croydon,E09000008,2022-08-17,9,269520,32,253855,35,180395
ltla,Croydon,E09000008,2022-08-16,2,269511,10,253823,25,180360
ltla,Croydon,E09000008,2022-08-15,4,269509,11,253813,13,180335
ltla,Croydon,E09000008,2022-08-14,0,269505,1,253802,0,180322
ltla,Croydon,E09000008,2022-08-13,11,269505,35,253801,38,180322
ltla,Croydon,E09000008,2022-08-12,8,269494,18,253766,37,180284
ltla,Croydon,E09000008,2022-08-11,6,269486,21,253748,19,180247
ltla,Croydon,E09000008,2022-08-10,15,269480,35,253727,34,180228
ltla,Croydon,E09000008,2022-08-09,2,269465,12,253692,18,180194
ltla,Croydon,E09000008,2022-08-08,3,269463,11,253680,19,180176
ltla,Croydon,E09000008,2022-08-07,2,269460,4,253669,4,180157
ltla,Croydon,E09000008,2022-08-06,12,269458,24,253665,43,180153
ltla,Croydon,E09000008,2022-08-05,13,269446,30,253641,30,180110
ltla,Croydon,E09000008,2022-08-04,10,269433,22,253611,18,180080
ltla,Croydon,E09000008,2022-08-03,14,269423,45,253589,52,180062
ltla,Croydon,E09000008,2022-08-02,5,269409,10,253544,29,180010
ltla,Croydon,E09000008,2022-08-01,5,269404,9,253534,27,179981
ltla,Croydon,E09000008,2022-07-31,4,269399,7,253525,3,179954
ltla,Croydon,E09000008,2022-07-30,24,269395,60,253518,45,179951
ltla,Croydon,E09000008,2022-07-29,14,269371,33,253458,36,179906
ltla,Croydon,E09000008,2022-07-28,7,269357,49,253425,36,179870
ltla,Croydon,E09000008,2022-07-27,29,269350,85,253376,56,179834
ltla,Croydon,E09000008,2022-07-26,2,269321,14,253291,26,179778
ltla,Croydon,E09000008,2022-07-25,9,269319,15,253277,33,179752
ltla,Croydon,E09000008,2022-07-24,3,269310,4,253262,6,179719
ltla,Croydon,E09000008,2022-07-23,15,269307,72,253258,55,179713
ltla,Croydon,E09000008,2022-07-22,5,269292,48,253186,39,179658
ltla,Croydon,E09000008,2022-07-21,14,269287,41,253138,47,179619
ltla,Croydon,E09000008,2022-07-20,18,269273,82,253097,55,179572
ltla,Croydon,E09000008,2022-07-19,4,269255,6,253015,18,179517
ltla,Croydon,E09000008,2022-07-18,3,269251,15,253009,18,179499
ltla,Croydon,E09000008,2022-07-17,0,269248,0,252994,2,179481
ltla,Croydon,E09000008,2022-07-16,15,269248,83,252994,70,179479
ltla,Croydon,E09000008,2022-07-15,11,269233,62,252911,34,179409
ltla,Croydon,E09000008,2022-07-14,8,269222,34,252849,51,179375
ltla,Croydon,E09000008,2022-07-13,20,269214,81,252815,68,179324
ltla,Croydon,E09000008,2022-07-12,2,269194,15,252734,16,179256
ltla,Croydon,E09000008,2022-07-11,8,269192,16,252719,22,179240
ltla,Croydon,E09000008,2022-07-10,2,269184,2,252703,8,179218
ltla,Croydon,E09000008,2022-07-09,11,269182,64,252701,61,179210
ltla,Croydon,E09000008,2022-07-08,14,269171,60,252637,55,179149
ltla,Croydon,E09000008,2022-07-07,21,269157,45,252577,62,179094
ltla,Croydon,E09000008,2022-07-06,22,269136,97,252532,58,179032
ltla,Croydon,E09000008,2022-07-05,3,269114,12,252435,21,178974
ltla,Croydon,E09000008,2022-07-04,5,269111,21,252423,30,178953
ltla,Croydon,E09000008,2022-07-03,0,269106,1,252402,5,178923
ltla,Croydon,E09000008,2022-07-02,15,269106,72,252401,51,178918
ltla,Croydon,E09000008,2022-07-01,14,269091,62,252329,39,178867
ltla,Croydon,E09000008,2022-06-30,10,269077,37,252267,43,178828
ltla,Croydon,E09000008,2022-06-29,13,269067,45,252230,44,178785
ltla,Croydon,E09000008,2022-06-28,6,269054,28,252185,48,178741
ltla,Croydon,E09000008,2022-06-27,20,269048,63,252157,67,178693
ltla,Croydon,E09000008,2022-06-26,3,269028,6,252094,3,178626
ltla,Croydon,E09000008,2022-06-25,28,269025,63,252088,60,178623
ltla,Croydon,E09000008,2022-06-24,15,268997,55,252025,64,178563
ltla,Croydon,E09000008,2022-06-23,9,268982,30,251970,31,178499
ltla,Croydon,E09000008,2022-06-22,28,268973,68,251940,49,178468
ltla,Croydon,E09000008,2022-06-21,5,268945,30,251872,44,178419
ltla,Croydon,E09000008,2022-06-20,8,268940,28,251842,58,178375
ltla,Croydon,E09000008,2022-06-19,0,268932,0,251814,2,178317
ltla,Croydon,E09000008,2022-06-18,18,268932,87,251814,71,178315
ltla,Croydon,E09000008,2022-06-17,17,268914,35,251727,43,178244
ltla,Croydon,E09000008,2022-06-16,2,268897,25,251692,26,178201
ltla,Croydon,E09000008,2022-06-15,13,268895,32,251667,39,178175
ltla,Croydon,E09000008,2022-06-14,11,268882,15,251635,45,178136
ltla,Croydon,E09000008,2022-06-13,16,268871,23,251620,57,178091
ltla,Croydon,E09000008,2022-06-12,3,268855,3,251597,7,178034
ltla,Croydon,E09000008,2022-06-11,22,268852,66,251594,78,178027
ltla,Croydon,E09000008,2022-06-10,11,268830,43,251528,41,177949
ltla,Croydon,E09000008,2022-06-09,12,268819,38,251485,35,177908
ltla,Croydon,E09000008,2022-06-08,15,268807,31,251447,69,177873
ltla,Croydon,E09000008,2022-06-07,11,268792,30,251416,34,177804
ltla,Croydon,E09000008,2022-06-06,6,268781,21,251386,62,177770
ltla,Croydon,E09000008,2022-06-05,1,268775,2,251365,2,177708
ltla,Croydon,E09000008,2022-06-04,17,268774,55,251363,31,177706
ltla,Croydon,E09000008,2022-06-03,1,268757,2,251308,5,177675
ltla,Croydon,E09000008,2022-06-02,11,268756,10,251306,26,177670
ltla,Croydon,E09000008,2022-06-01,14,268745,50,251296,72,177644
ltla,Croydon,E09000008,2022-05-31,7,268731,50,251246,42,177572
ltla,Croydon,E09000008,2022-05-30,22,268724,53,251196,67,177530
ltla,Croydon,E09000008,2022-05-29,10,268702,26,251143,32,177463
ltla,Croydon,E09000008,2022-05-28,28,268692,59,251117,54,177431
ltla,Croydon,E09000008,2022-05-27,10,268664,49,251058,58,177377
ltla,Croydon,E09000008,2022-05-26,15,268654,23,251009,48,177319
ltla,Croydon,E09000008,2022-05-25,27,268639,41,250986,80,177271
ltla,Croydon,E09000008,2022-05-24,14,268612,12,250945,62,177191
ltla,Croydon,E09000008,2022-05-23,13,268598,30,250933,35,177129
ltla,Croydon,E09000008,2022-05-22,13,268585,17,250903,30,177094
ltla,Croydon,E09000008,2022-05-21,22,268572,59,250886,56,177064
ltla,Croydon,E09000008,2022-05-20,16,268550,50,250827,54,177008
ltla,Croydon,E09000008,2022-05-19,16,268534,23,250777,67,176954
ltla,Croydon,E09000008,2022-05-18,25,268518,58,250754,97,176887
ltla,Croydon,E09000008,2022-05-17,18,268493,27,250696,72,176790
ltla,Croydon,E09000008,2022-05-16,16,268475,40,250669,67,176718
ltla,Croydon,E09000008,2022-05-15,8,268459,25,250629,22,176651
ltla,Croydon,E09000008,2022-05-14,32,268451,61,250604,52,176629
ltla,Croydon,E09000008,2022-05-13,16,268419,47,250543,78,176577
ltla,Croydon,E09000008,2022-05-12,23,268403,58,250496,73,176499
ltla,Croydon,E09000008,2022-05-11,25,268380,86,250438,90,176426
ltla,Croydon,E09000008,2022-05-10,15,268355,41,250352,84,176336
ltla,Croydon,E09000008,2022-05-09,20,268340,43,250311,62,176252
ltla,Croydon,E09000008,2022-05-08,19,268320,37,250268,42,176190
ltla,Croydon,E09000008,2022-05-07,27,268301,95,250231,80,176148
ltla,Croydon,E09000008,2022-05-06,32,268274,56,250136,70,176068
ltla,Croydon,E09000008,2022-05-05,14,268242,36,250080,84,175998
ltla,Croydon,E09000008,2022-05-04,28,268228,37,250044,111,175914
ltla,Croydon,E09000008,2022-05-03,29,268200,50,250007,80,175803
ltla,Croydon,E09000008,2022-05-02,10,268171,19,249957,30,175723
ltla,Croydon,E09000008,2022-05-01,13,268161,35,249938,30,175693
ltla,Croydon,E09000008,2022-04-30,33,268148,59,249903,71,175663
ltla,Croydon,E09000008,2022-04-29,20,268115,64,249844,76,175592
ltla,Croydon,E09000008,2022-04-28,32,268095,46,249780,76,175516
ltla,Croydon,E09000008,2022-04-27,32,268063,46,249734,96,175440
ltla,Croydon,E09000008,2022-04-26,18,268031,50,249688,71,175344
ltla,Croydon,E09000008,2022-04-25,21,268013,56,249638,75,175273
ltla,Croydon,E09000008,2022-04-24,19,267992,56,249582,32,175198
ltla,Croydon,E09000008,2022-04-23,41,267973,95,249526,72,175166
ltla,Croydon,E09000008,2022-04-22,39,267932,74,249431,70,175094
ltla,Croydon,E09000008,2022-04-21,38,267893,46,249357,86,175024
ltla,Croydon,E09000008,2022-04-20,40,267855,87,249311,101,174938
ltla,Croydon,E09000008,2022-04-19,50,267815,89,249224,123,174837
ltla,Croydon,E09000008,2022-04-18,15,267765,28,249135,17,174714
ltla,Croydon,E09000008,2022-04-17,1,267750,0,249107,2,174697
ltla,Croydon,E09000008,2022-04-16,45,267749,75,249107,57,174695
ltla,Croydon,E09000008,2022-04-15,21,267704,37,249032,34,174638
ltla,Croydon,E09000008,2022-04-14,48,267683,58,248995,100,174604
ltla,Croydon,E09000008,2022-04-13,41,267635,81,248937,85,174504
ltla,Croydon,E09000008,2022-04-12,35,267594,72,248856,119,174419
ltla,Croydon,E09000008,2022-04-11,51,267559,81,248784,85,174300
ltla,Croydon,E09000008,2022-04-10,20,267508,47,248703,45,174215
ltla,Croydon,E09000008,2022-04-09,50,267488,106,248656,86,174170
ltla,Croydon,E09000008,2022-04-08,52,267438,101,248550,116,174084
ltla,Croydon,E09000008,2022-04-07,23,267386,52,248449,79,173968
