areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Ealing,E09000009,2022-08-30,10,275355,11,258429,17,178024
ltla,Ealing,E09000009,2022-08-29,0,275345,0,258418,1,178007
ltla,Ealing,E09000009,2022-08-28,3,275345,10,258418,5,178006
ltla,Ealing,E09000009,2022-08-27,10,275342,22,258408,33,178001
ltla,Ealing,E09000009,2022-08-26,4,275332,9,258386,21,177968
ltla,Ealing,E09000009,2022-08-25,6,275328,4,258377,16,177947
ltla,Ealing,E09000009,2022-08-24,4,275322,13,258373,17,177931
ltla,Ealing,E09000009,2022-08-23,3,275318,28,258360,13,177914
ltla,Ealing,E09000009,2022-08-22,7,275315,7,258332,12,177901
ltla,Ealing,E09000009,2022-08-21,3,275308,10,258325,15,177889
ltla,Ealing,E09000009,2022-08-20,12,275305,34,258315,35,177874
ltla,Ealing,E09000009,2022-08-19,3,275293,13,258281,32,177839
ltla,Ealing,E09000009,2022-08-18,4,275290,13,258268,14,177807
ltla,Ealing,E09000009,2022-08-17,7,275286,7,258255,22,177793
ltla,Ealing,E09000009,2022-08-16,5,275279,17,258248,24,177771
ltla,Ealing,E09000009,2022-08-15,5,275274,12,258231,13,177747
ltla,Ealing,E09000009,2022-08-14,4,275269,9,258219,14,177734
ltla,Ealing,E09000009,2022-08-13,8,275265,16,258210,27,177720
ltla,Ealing,E09000009,2022-08-12,9,275257,19,258194,15,177693
ltla,Ealing,E09000009,2022-08-11,4,275248,4,258175,23,177678
ltla,Ealing,E09000009,2022-08-10,7,275244,10,258171,20,177655
ltla,Ealing,E09000009,2022-08-09,6,275237,15,258161,16,177635
ltla,Ealing,E09000009,2022-08-08,2,275231,15,258146,17,177619
ltla,Ealing,E09000009,2022-08-07,2,275229,7,258131,9,177602
ltla,Ealing,E09000009,2022-08-06,17,275227,44,258124,46,177593
ltla,Ealing,E09000009,2022-08-05,8,275210,20,258080,31,177547
ltla,Ealing,E09000009,2022-08-04,6,275202,16,258060,22,177516
ltla,Ealing,E09000009,2022-08-03,5,275196,13,258044,18,177494
ltla,Ealing,E09000009,2022-08-02,6,275191,32,258031,25,177476
ltla,Ealing,E09000009,2022-08-01,6,275185,14,257999,32,177451
ltla,Ealing,E09000009,2022-07-31,7,275179,26,257985,19,177419
ltla,Ealing,E09000009,2022-07-30,16,275172,35,257959,48,177400
ltla,Ealing,E09000009,2022-07-29,9,275156,21,257924,31,177352
ltla,Ealing,E09000009,2022-07-28,7,275147,27,257903,25,177321
ltla,Ealing,E09000009,2022-07-27,8,275140,23,257876,24,177296
ltla,Ealing,E09000009,2022-07-26,11,275132,41,257853,35,177272
ltla,Ealing,E09000009,2022-07-25,4,275121,31,257812,39,177237
ltla,Ealing,E09000009,2022-07-24,6,275117,11,257781,28,177198
ltla,Ealing,E09000009,2022-07-23,12,275111,69,257770,65,177170
ltla,Ealing,E09000009,2022-07-22,13,275099,34,257701,31,177105
ltla,Ealing,E09000009,2022-07-21,7,275086,22,257667,43,177074
ltla,Ealing,E09000009,2022-07-20,10,275079,24,257645,23,177031
ltla,Ealing,E09000009,2022-07-19,22,275069,50,257621,39,177008
ltla,Ealing,E09000009,2022-07-18,3,275047,9,257571,26,176969
