areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Enfield,E09000010,2022-08-30,,218734,4,206432,2,144874
ltla,Enfield,E09000010,2022-08-29,7,218734,8,206428,6,144872
ltla,Enfield,E09000010,2022-08-28,4,218727,6,206420,4,144866
ltla,Enfield,E09000010,2022-08-27,4,218723,6,206414,6,144862
ltla,Enfield,E09000010,2022-08-26,9,218719,14,206408,19,144856
ltla,Enfield,E09000010,2022-08-25,5,218710,4,206394,7,144837
ltla,Enfield,E09000010,2022-08-24,1,218705,7,206390,9,144830
ltla,Enfield,E09000010,2022-08-23,5,218704,14,206383,11,144821
ltla,Enfield,E09000010,2022-08-22,5,218699,9,206369,5,144810
ltla,Enfield,E09000010,2022-08-21,2,218694,2,206360,8,144805
ltla,Enfield,E09000010,2022-08-20,2,218692,8,206358,7,144797
ltla,Enfield,E09000010,2022-08-19,14,218690,19,206350,21,144790
ltla,Enfield,E09000010,2022-08-18,5,218676,6,206331,13,144769
ltla,Enfield,E09000010,2022-08-17,2,218671,7,206325,6,144756
ltla,Enfield,E09000010,2022-08-16,2,218669,17,206318,11,144750
ltla,Enfield,E09000010,2022-08-15,2,218667,7,206301,17,144739
ltla,Enfield,E09000010,2022-08-14,0,218665,5,206294,6,144722
ltla,Enfield,E09000010,2022-08-13,0,218665,10,206289,5,144716
ltla,Enfield,E09000010,2022-08-12,11,218665,24,206279,26,144711
ltla,Enfield,E09000010,2022-08-11,10,218654,23,206255,14,144685
ltla,Enfield,E09000010,2022-08-10,1,218644,5,206232,11,144671
ltla,Enfield,E09000010,2022-08-09,0,218643,12,206227,7,144660
ltla,Enfield,E09000010,2022-08-08,4,218643,9,206215,17,144653
ltla,Enfield,E09000010,2022-08-07,2,218639,6,206206,8,144636
ltla,Enfield,E09000010,2022-08-06,1,218637,15,206200,11,144628
ltla,Enfield,E09000010,2022-08-05,5,218636,25,206185,25,144617
ltla,Enfield,E09000010,2022-08-04,9,218631,18,206160,18,144592
ltla,Enfield,E09000010,2022-08-03,0,218622,9,206142,10,144574
ltla,Enfield,E09000010,2022-08-02,2,218622,11,206133,20,144564
ltla,Enfield,E09000010,2022-08-01,3,218620,14,206122,21,144544
ltla,Enfield,E09000010,2022-07-31,2,218617,13,206108,9,144523
ltla,Enfield,E09000010,2022-07-30,4,218615,8,206095,21,144514
ltla,Enfield,E09000010,2022-07-29,7,218611,20,206087,15,144493
ltla,Enfield,E09000010,2022-07-28,11,218604,18,206067,19,144478
ltla,Enfield,E09000010,2022-07-27,4,218593,22,206049,23,144459
ltla,Enfield,E09000010,2022-07-26,4,218589,48,206027,37,144436
ltla,Enfield,E09000010,2022-07-25,5,218585,20,205979,21,144399
ltla,Enfield,E09000010,2022-07-24,3,218580,7,205959,14,144378
ltla,Enfield,E09000010,2022-07-23,12,218577,14,205952,25,144364
ltla,Enfield,E09000010,2022-07-22,4,218565,31,205938,21,144339
ltla,Enfield,E09000010,2022-07-21,11,218561,36,205907,36,144318
ltla,Enfield,E09000010,2022-07-20,2,218550,21,205871,20,144282
ltla,Enfield,E09000010,2022-07-19,7,218548,34,205850,28,144262
ltla,Enfield,E09000010,2022-07-18,3,218541,18,205816,16,144234
ltla,Enfield,E09000010,2022-07-17,1,218538,11,205798,13,144218
ltla,Enfield,E09000010,2022-07-16,3,218537,28,205787,16,144205
ltla,Enfield,E09000010,2022-07-15,6,218534,31,205759,30,144189
ltla,Enfield,E09000010,2022-07-14,6,218528,30,205728,31,144159
ltla,Enfield,E09000010,2022-07-13,3,218522,21,205698,20,144128
ltla,Enfield,E09000010,2022-07-12,13,218519,37,205677,44,144108
ltla,Enfield,E09000010,2022-07-11,4,218506,16,205640,23,144064
ltla,Enfield,E09000010,2022-07-10,2,218502,20,205624,14,144041
ltla,Enfield,E09000010,2022-07-09,11,218500,74,205604,36,144027
ltla,Enfield,E09000010,2022-07-08,6,218489,39,205530,28,143991
ltla,Enfield,E09000010,2022-07-07,11,218483,40,205491,34,143963
ltla,Enfield,E09000010,2022-07-06,7,218472,18,205451,25,143929
ltla,Enfield,E09000010,2022-07-05,13,218465,64,205433,61,143904
ltla,Enfield,E09000010,2022-07-04,6,218452,16,205369,25,143843
ltla,Enfield,E09000010,2022-07-03,2,218446,16,205353,14,143818
ltla,Enfield,E09000010,2022-07-02,12,218444,60,205337,30,143804
ltla,Enfield,E09000010,2022-07-01,11,218432,42,205277,37,143774
ltla,Enfield,E09000010,2022-06-30,5,218421,25,205235,41,143737
ltla,Enfield,E09000010,2022-06-29,6,218416,16,205210,23,143696
ltla,Enfield,E09000010,2022-06-28,8,218410,42,205194,33,143673
ltla,Enfield,E09000010,2022-06-27,4,218402,22,205152,27,143640
ltla,Enfield,E09000010,2022-06-26,6,218398,20,205130,16,143613
ltla,Enfield,E09000010,2022-06-25,18,218392,55,205110,36,143597
ltla,Enfield,E09000010,2022-06-24,7,218374,31,205055,31,143561
ltla,Enfield,E09000010,2022-06-23,22,218367,29,205024,24,143530
ltla,Enfield,E09000010,2022-06-22,2,218345,20,204995,21,143506
ltla,Enfield,E09000010,2022-06-21,8,218343,35,204975,25,143485
ltla,Enfield,E09000010,2022-06-20,3,218335,20,204940,21,143460
ltla,Enfield,E09000010,2022-06-19,2,218332,10,204920,8,143439
ltla,Enfield,E09000010,2022-06-18,6,218330,46,204910,37,143431
ltla,Enfield,E09000010,2022-06-17,8,218324,26,204864,22,143394
ltla,Enfield,E09000010,2022-06-16,5,218316,35,204838,26,143372
ltla,Enfield,E09000010,2022-06-15,3,218311,12,204803,19,143346
ltla,Enfield,E09000010,2022-06-14,15,218308,29,204791,34,143327
ltla,Enfield,E09000010,2022-06-13,3,218293,12,204762,24,143293
ltla,Enfield,E09000010,2022-06-12,3,218290,13,204750,9,143269
ltla,Enfield,E09000010,2022-06-11,13,218287,39,204737,51,143260
ltla,Enfield,E09000010,2022-06-10,10,218274,15,204698,36,143209
ltla,Enfield,E09000010,2022-06-09,16,218264,33,204683,31,143173
ltla,Enfield,E09000010,2022-06-08,4,218248,22,204650,26,143142
ltla,Enfield,E09000010,2022-06-07,17,218244,45,204628,41,143116
ltla,Enfield,E09000010,2022-06-06,4,218227,12,204583,30,143075
ltla,Enfield,E09000010,2022-06-05,4,218223,4,204571,6,143045
ltla,Enfield,E09000010,2022-06-04,6,218219,27,204567,17,143039
ltla,Enfield,E09000010,2022-06-03,3,218213,1,204540,3,143022
ltla,Enfield,E09000010,2022-06-02,0,218210,1,204539,9,143019
ltla,Enfield,E09000010,2022-06-01,11,218210,36,204538,30,143010
ltla,Enfield,E09000010,2022-05-31,16,218199,59,204502,59,142980
ltla,Enfield,E09000010,2022-05-30,9,218183,28,204443,47,142921
ltla,Enfield,E09000010,2022-05-29,7,218174,9,204415,22,142874
ltla,Enfield,E09000010,2022-05-28,14,218167,47,204406,40,142852
ltla,Enfield,E09000010,2022-05-27,8,218153,27,204359,33,142812
ltla,Enfield,E09000010,2022-05-26,10,218145,30,204332,26,142779
ltla,Enfield,E09000010,2022-05-25,5,218135,9,204302,25,142753
ltla,Enfield,E09000010,2022-05-24,11,218130,36,204293,43,142728
ltla,Enfield,E09000010,2022-05-23,4,218119,15,204257,27,142685
ltla,Enfield,E09000010,2022-05-22,8,218115,16,204242,16,142658
ltla,Enfield,E09000010,2022-05-21,19,218107,35,204226,49,142642
ltla,Enfield,E09000010,2022-05-20,18,218088,27,204191,47,142593
ltla,Enfield,E09000010,2022-05-19,21,218070,36,204164,49,142546
ltla,Enfield,E09000010,2022-05-18,11,218049,20,204128,45,142497
ltla,Enfield,E09000010,2022-05-17,22,218038,38,204108,48,142452
ltla,Enfield,E09000010,2022-05-16,11,218016,19,204070,29,142404
ltla,Enfield,E09000010,2022-05-15,5,218005,6,204051,12,142375
ltla,Enfield,E09000010,2022-05-14,27,218000,46,204045,49,142363
ltla,Enfield,E09000010,2022-05-13,9,217973,30,203999,46,142314
ltla,Enfield,E09000010,2022-05-12,25,217964,34,203969,52,142268
ltla,Enfield,E09000010,2022-05-11,3,217939,18,203935,33,142216
ltla,Enfield,E09000010,2022-05-10,25,217936,40,203917,53,142183
ltla,Enfield,E09000010,2022-05-09,9,217911,35,203877,28,142130
ltla,Enfield,E09000010,2022-05-08,5,217902,28,203842,23,142102
ltla,Enfield,E09000010,2022-05-07,22,217897,83,203814,64,142079
ltla,Enfield,E09000010,2022-05-06,16,217875,32,203731,52,142015
ltla,Enfield,E09000010,2022-05-05,17,217859,49,203699,58,141963
ltla,Enfield,E09000010,2022-05-04,15,217842,20,203650,55,141905
ltla,Enfield,E09000010,2022-05-03,16,217827,26,203630,65,141850
ltla,Enfield,E09000010,2022-05-02,3,217811,10,203604,15,141785
ltla,Enfield,E09000010,2022-05-01,6,217808,17,203594,10,141770
ltla,Enfield,E09000010,2022-04-30,30,217802,58,203577,67,141760
ltla,Enfield,E09000010,2022-04-29,14,217772,29,203519,44,141693
ltla,Enfield,E09000010,2022-04-28,21,217758,41,203490,55,141649
ltla,Enfield,E09000010,2022-04-27,15,217737,22,203449,36,141594
ltla,Enfield,E09000010,2022-04-26,23,217722,38,203427,70,141558
ltla,Enfield,E09000010,2022-04-25,12,217699,22,203389,36,141488
ltla,Enfield,E09000010,2022-04-24,5,217687,16,203367,22,141452
ltla,Enfield,E09000010,2022-04-23,31,217682,61,203351,53,141430
ltla,Enfield,E09000010,2022-04-22,38,217651,58,203290,78,141377
ltla,Enfield,E09000010,2022-04-21,24,217613,45,203232,58,141299
ltla,Enfield,E09000010,2022-04-20,11,217589,22,203187,29,141241
ltla,Enfield,E09000010,2022-04-19,34,217578,42,203165,59,141212
ltla,Enfield,E09000010,2022-04-18,6,217544,16,203123,15,141153
ltla,Enfield,E09000010,2022-04-17,6,217538,16,203107,11,141138
ltla,Enfield,E09000010,2022-04-16,25,217532,56,203091,45,141127
ltla,Enfield,E09000010,2022-04-15,8,217507,18,203035,26,141082
ltla,Enfield,E09000010,2022-04-14,57,217499,80,203017,73,141056
ltla,Enfield,E09000010,2022-04-13,22,217442,36,202937,34,140983
ltla,Enfield,E09000010,2022-04-12,50,217420,98,202901,68,140949
ltla,Enfield,E09000010,2022-04-11,32,217370,34,202803,52,140881
ltla,Enfield,E09000010,2022-04-10,11,217338,17,202769,20,140829
ltla,Enfield,E09000010,2022-04-09,30,217327,84,202752,68,140809
ltla,Enfield,E09000010,2022-04-08,22,217297,58,202668,68,140741
ltla,Enfield,E09000010,2022-04-07,22,217275,48,202610,63,140673
ltla,Enfield,E09000010,2022-04-06,13,217253,25,202562,34,140610
ltla,Enfield,E09000010,2022-04-05,53,217240,81,202537,55,140576
ltla,Enfield,E09000010,2022-04-04,11,217187,28,202456,46,140521
ltla,Enfield,E09000010,2022-04-03,18,217176,31,202428,26,140475
ltla,Enfield,E09000010,2022-04-02,30,217158,79,202397,54,140449
ltla,Enfield,E09000010,2022-04-01,32,217128,49,202318,106,140395
ltla,Enfield,E09000010,2022-03-31,19,217096,57,202269,58,140289
ltla,Enfield,E09000010,2022-03-30,21,217077,61,202212,54,140231
ltla,Enfield,E09000010,2022-03-29,14,217056,31,202151,54,140177
ltla,Enfield,E09000010,2022-03-28,14,217042,51,202120,77,140123
ltla,Enfield,E09000010,2022-03-27,10,217028,41,202069,26,140046
ltla,Enfield,E09000010,2022-03-26,37,217018,88,202028,71,140020
ltla,Enfield,E09000010,2022-03-25,44,216981,104,201940,85,139949
ltla,Enfield,E09000010,2022-03-24,18,216937,78,201836,60,139864
ltla,Enfield,E09000010,2022-03-23,15,216919,50,201758,50,139804
ltla,Enfield,E09000010,2022-03-22,14,216904,77,201708,71,139754
ltla,Enfield,E09000010,2022-03-21,22,216890,55,201631,68,139683
ltla,Enfield,E09000010,2022-03-20,16,216868,47,201576,35,139615
ltla,Enfield,E09000010,2022-03-19,37,216852,100,201529,82,139580
ltla,Enfield,E09000010,2022-03-18,19,216815,104,201429,91,139498
ltla,Enfield,E09000010,2022-03-17,22,216796,82,201325,65,139407
ltla,Enfield,E09000010,2022-03-16,14,216774,73,201243,59,139342
ltla,Enfield,E09000010,2022-03-15,24,216760,72,201170,87,139283
ltla,Enfield,E09000010,2022-03-14,30,216736,61,201098,83,139196
ltla,Enfield,E09000010,2022-03-13,17,216706,58,201037,50,139113
ltla,Enfield,E09000010,2022-03-12,32,216689,123,200979,103,139063
ltla,Enfield,E09000010,2022-03-11,16,216657,72,200856,93,138960
ltla,Enfield,E09000010,2022-03-10,21,216641,78,200784,77,138867
ltla,Enfield,E09000010,2022-03-09,15,216620,53,200706,62,138790
ltla,Enfield,E09000010,2022-03-08,18,216605,56,200653,67,138728
ltla,Enfield,E09000010,2022-03-07,27,216587,85,200597,81,138661
ltla,Enfield,E09000010,2022-03-06,14,216560,49,200512,47,138580
ltla,Enfield,E09000010,2022-03-05,29,216546,90,200463,105,138533
ltla,Enfield,E09000010,2022-03-04,46,216517,79,200373,108,138428
ltla,Enfield,E09000010,2022-03-03,26,216471,56,200294,89,138320
ltla,Enfield,E09000010,2022-03-02,26,216445,52,200238,57,138231
ltla,Enfield,E09000010,2022-03-01,27,216419,62,200186,88,138174
ltla,Enfield,E09000010,2022-02-28,20,216392,66,200124,91,138086
ltla,Enfield,E09000010,2022-02-27,15,216372,47,200058,47,137995
ltla,Enfield,E09000010,2022-02-26,33,216357,99,200011,83,137948
ltla,Enfield,E09000010,2022-02-25,48,216324,86,199912,105,137865
ltla,Enfield,E09000010,2022-02-24,39,216276,85,199826,94,137760
ltla,Enfield,E09000010,2022-02-23,32,216237,103,199741,76,137666
ltla,Enfield,E09000010,2022-02-22,44,216205,81,199638,126,137590
ltla,Enfield,E09000010,2022-02-21,26,216161,50,199557,84,137464
ltla,Enfield,E09000010,2022-02-20,22,216135,56,199507,69,137380
ltla,Enfield,E09000010,2022-02-19,26,216113,80,199451,100,137311
ltla,Enfield,E09000010,2022-02-18,44,216087,66,199371,79,137211
ltla,Enfield,E09000010,2022-02-17,44,216043,84,199305,118,137132
ltla,Enfield,E09000010,2022-02-16,36,215999,84,199221,121,137014
ltla,Enfield,E09000010,2022-02-15,74,215963,110,199137,172,136893
ltla,Enfield,E09000010,2022-02-14,46,215889,71,199027,107,136721
ltla,Enfield,E09000010,2022-02-13,30,215843,50,198956,77,136614
ltla,Enfield,E09000010,2022-02-12,67,215813,126,198906,147,136537
ltla,Enfield,E09000010,2022-02-11,52,215746,124,198780,136,136390
ltla,Enfield,E09000010,2022-02-10,67,215694,167,198656,104,136254
ltla,Enfield,E09000010,2022-02-09,50,215627,115,198489,97,136150
ltla,Enfield,E09000010,2022-02-08,70,215577,130,198374,137,136053
ltla,Enfield,E09000010,2022-02-07,34,215507,89,198244,113,135916
ltla,Enfield,E09000010,2022-02-06,14,215473,35,198155,41,135803
ltla,Enfield,E09000010,2022-02-05,65,215459,122,198120,193,135762
ltla,Enfield,E09000010,2022-02-04,49,215394,96,197998,122,135569
ltla,Enfield,E09000010,2022-02-03,85,215345,114,197902,167,135447
ltla,Enfield,E09000010,2022-02-02,50,215260,86,197788,97,135280
ltla,Enfield,E09000010,2022-02-01,87,215210,142,197702,144,135183
ltla,Enfield,E09000010,2022-01-31,91,215123,131,197560,139,135039
ltla,Enfield,E09000010,2022-01-30,39,215032,48,197429,86,134900
ltla,Enfield,E09000010,2022-01-29,124,214993,160,197381,237,134814
ltla,Enfield,E09000010,2022-01-28,130,214869,198,197221,279,134577
ltla,Enfield,E09000010,2022-01-27,82,214739,120,197023,167,134298
