areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Greenwich,E09000011,2022-08-30,3,200596,9,187976,15,135996
ltla,Greenwich,E09000011,2022-08-29,2,200593,4,187967,5,135981
ltla,Greenwich,E09000011,2022-08-28,1,200591,1,187963,1,135976
ltla,Greenwich,E09000011,2022-08-27,4,200590,8,187962,12,135975
ltla,Greenwich,E09000011,2022-08-26,9,200586,25,187954,21,135963
ltla,Greenwich,E09000011,2022-08-25,0,200577,4,187929,9,135942
ltla,Greenwich,E09000011,2022-08-24,10,200577,3,187925,9,135933
ltla,Greenwich,E09000011,2022-08-23,5,200567,4,187922,12,135924
ltla,Greenwich,E09000011,2022-08-22,2,200562,20,187918,25,135912
ltla,Greenwich,E09000011,2022-08-21,2,200560,4,187898,6,135887
ltla,Greenwich,E09000011,2022-08-20,5,200558,18,187894,12,135881
ltla,Greenwich,E09000011,2022-08-19,11,200553,12,187876,31,135869
ltla,Greenwich,E09000011,2022-08-18,2,200542,14,187864,20,135838
ltla,Greenwich,E09000011,2022-08-17,5,200540,5,187850,17,135818
ltla,Greenwich,E09000011,2022-08-16,4,200535,10,187845,14,135801
ltla,Greenwich,E09000011,2022-08-15,0,200531,20,187835,22,135787
ltla,Greenwich,E09000011,2022-08-14,0,200531,0,187815,9,135765
ltla,Greenwich,E09000011,2022-08-13,5,200531,14,187815,17,135756
ltla,Greenwich,E09000011,2022-08-12,9,200526,17,187801,35,135739
ltla,Greenwich,E09000011,2022-08-11,4,200517,11,187784,14,135704
ltla,Greenwich,E09000011,2022-08-10,6,200513,14,187773,16,135690
ltla,Greenwich,E09000011,2022-08-09,4,200507,11,187759,16,135674
ltla,Greenwich,E09000011,2022-08-08,6,200503,13,187748,34,135658
ltla,Greenwich,E09000011,2022-08-07,1,200497,8,187735,4,135624
ltla,Greenwich,E09000011,2022-08-06,10,200496,22,187727,23,135620
ltla,Greenwich,E09000011,2022-08-05,12,200486,46,187705,37,135597
ltla,Greenwich,E09000011,2022-08-04,7,200474,20,187659,25,135560
ltla,Greenwich,E09000011,2022-08-03,6,200467,15,187639,15,135535
ltla,Greenwich,E09000011,2022-08-02,4,200461,13,187624,16,135520
ltla,Greenwich,E09000011,2022-08-01,11,200457,27,187611,35,135504
ltla,Greenwich,E09000011,2022-07-31,0,200446,5,187584,11,135469
