areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Hackney and City of London,E09000012,2022-08-30,2,194368,10,181292,11,126413
ltla,Hackney and City of London,E09000012,2022-08-29,0,194366,0,181282,1,126402
ltla,Hackney and City of London,E09000012,2022-08-28,1,194366,5,181282,2,126401
ltla,Hackney and City of London,E09000012,2022-08-27,2,194365,5,181277,7,126399
ltla,Hackney and City of London,E09000012,2022-08-26,5,194363,2,181272,21,126392
ltla,Hackney and City of London,E09000012,2022-08-25,0,194358,5,181270,10,126371
ltla,Hackney and City of London,E09000012,2022-08-24,9,194358,15,181265,33,126361
ltla,Hackney and City of London,E09000012,2022-08-23,11,194349,9,181250,23,126328
ltla,Hackney and City of London,E09000012,2022-08-22,4,194338,1,181241,10,126305
ltla,Hackney and City of London,E09000012,2022-08-21,2,194334,6,181240,4,126295
ltla,Hackney and City of London,E09000012,2022-08-20,1,194332,6,181234,5,126291
ltla,Hackney and City of London,E09000012,2022-08-19,5,194331,6,181228,16,126286
ltla,Hackney and City of London,E09000012,2022-08-18,1,194326,4,181222,19,126270
ltla,Hackney and City of London,E09000012,2022-08-17,3,194325,6,181218,18,126251
ltla,Hackney and City of London,E09000012,2022-08-16,13,194322,19,181212,23,126233
ltla,Hackney and City of London,E09000012,2022-08-15,11,194309,9,181193,25,126210
ltla,Hackney and City of London,E09000012,2022-08-14,2,194298,3,181184,3,126185
ltla,Hackney and City of London,E09000012,2022-08-13,2,194296,15,181181,11,126182
ltla,Hackney and City of London,E09000012,2022-08-12,5,194294,9,181166,15,126171
ltla,Hackney and City of London,E09000012,2022-08-11,8,194289,14,181157,13,126156
ltla,Hackney and City of London,E09000012,2022-08-10,5,194281,15,181143,26,126143
ltla,Hackney and City of London,E09000012,2022-08-09,2,194276,16,181128,28,126117
ltla,Hackney and City of London,E09000012,2022-08-08,7,194274,11,181112,24,126089
ltla,Hackney and City of London,E09000012,2022-08-07,3,194267,4,181101,13,126065
ltla,Hackney and City of London,E09000012,2022-08-06,8,194264,15,181097,22,126052
ltla,Hackney and City of London,E09000012,2022-08-05,2,194256,9,181082,24,126030
ltla,Hackney and City of London,E09000012,2022-08-04,2,194254,8,181073,21,126006
ltla,Hackney and City of London,E09000012,2022-08-03,14,194252,18,181065,39,125985
ltla,Hackney and City of London,E09000012,2022-08-02,10,194238,14,181047,27,125946
ltla,Hackney and City of London,E09000012,2022-08-01,5,194228,9,181033,22,125919
ltla,Hackney and City of London,E09000012,2022-07-31,2,194223,4,181024,12,125897
ltla,Hackney and City of London,E09000012,2022-07-30,6,194221,19,181020,18,125885
ltla,Hackney and City of London,E09000012,2022-07-29,5,194215,16,181001,21,125867
ltla,Hackney and City of London,E09000012,2022-07-28,4,194210,12,180985,29,125846
ltla,Hackney and City of London,E09000012,2022-07-27,6,194206,17,180973,39,125817
