areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Hammersmith and Fulham,E09000013,2022-08-30,3,144706,7,135793,18,100322
ltla,Hammersmith and Fulham,E09000013,2022-08-29,1,144703,0,135786,0,100304
ltla,Hammersmith and Fulham,E09000013,2022-08-28,1,144702,0,135786,2,100304
ltla,Hammersmith and Fulham,E09000013,2022-08-27,3,144701,4,135786,7,100302
ltla,Hammersmith and Fulham,E09000013,2022-08-26,1,144698,10,135782,8,100295
ltla,Hammersmith and Fulham,E09000013,2022-08-25,2,144697,1,135772,8,100287
ltla,Hammersmith and Fulham,E09000013,2022-08-24,5,144695,7,135771,13,100279
ltla,Hammersmith and Fulham,E09000013,2022-08-23,4,144690,4,135764,9,100266
ltla,Hammersmith and Fulham,E09000013,2022-08-22,5,144686,6,135760,10,100257
ltla,Hammersmith and Fulham,E09000013,2022-08-21,0,144681,2,135754,4,100247
ltla,Hammersmith and Fulham,E09000013,2022-08-20,4,144681,3,135752,6,100243
ltla,Hammersmith and Fulham,E09000013,2022-08-19,2,144677,10,135749,14,100237
ltla,Hammersmith and Fulham,E09000013,2022-08-18,5,144675,8,135739,18,100223
ltla,Hammersmith and Fulham,E09000013,2022-08-17,1,144670,2,135731,13,100205
ltla,Hammersmith and Fulham,E09000013,2022-08-16,5,144669,6,135729,10,100192
ltla,Hammersmith and Fulham,E09000013,2022-08-15,1,144664,8,135723,13,100182
ltla,Hammersmith and Fulham,E09000013,2022-08-14,0,144663,1,135715,2,100169
ltla,Hammersmith and Fulham,E09000013,2022-08-13,3,144663,1,135714,4,100167
ltla,Hammersmith and Fulham,E09000013,2022-08-12,2,144660,4,135713,14,100163
ltla,Hammersmith and Fulham,E09000013,2022-08-11,2,144658,8,135709,16,100149
ltla,Hammersmith and Fulham,E09000013,2022-08-10,6,144656,9,135701,13,100133
ltla,Hammersmith and Fulham,E09000013,2022-08-09,5,144650,6,135692,15,100120
ltla,Hammersmith and Fulham,E09000013,2022-08-08,3,144645,5,135686,25,100105
ltla,Hammersmith and Fulham,E09000013,2022-08-07,1,144642,2,135681,3,100080
ltla,Hammersmith and Fulham,E09000013,2022-08-06,3,144641,5,135679,13,100077
ltla,Hammersmith and Fulham,E09000013,2022-08-05,5,144638,13,135674,19,100064
ltla,Hammersmith and Fulham,E09000013,2022-08-04,4,144633,10,135661,19,100045
ltla,Hammersmith and Fulham,E09000013,2022-08-03,6,144629,8,135651,16,100026
ltla,Hammersmith and Fulham,E09000013,2022-08-02,6,144623,14,135643,15,100010
ltla,Hammersmith and Fulham,E09000013,2022-08-01,7,144617,9,135629,17,99995
ltla,Hammersmith and Fulham,E09000013,2022-07-31,0,144610,4,135620,7,99978
ltla,Hammersmith and Fulham,E09000013,2022-07-30,9,144610,12,135616,14,99971
ltla,Hammersmith and Fulham,E09000013,2022-07-29,7,144601,12,135604,26,99957
ltla,Hammersmith and Fulham,E09000013,2022-07-28,4,144594,13,135592,16,99931
ltla,Hammersmith and Fulham,E09000013,2022-07-27,5,144590,17,135579,25,99915
ltla,Hammersmith and Fulham,E09000013,2022-07-26,6,144585,10,135562,33,99890
ltla,Hammersmith and Fulham,E09000013,2022-07-25,2,144579,10,135552,20,99857
ltla,Hammersmith and Fulham,E09000013,2022-07-24,2,144577,7,135542,9,99837
ltla,Hammersmith and Fulham,E09000013,2022-07-23,1,144575,13,135535,12,99828
ltla,Hammersmith and Fulham,E09000013,2022-07-22,4,144574,16,135522,27,99816
ltla,Hammersmith and Fulham,E09000013,2022-07-21,1,144570,17,135506,23,99789
ltla,Hammersmith and Fulham,E09000013,2022-07-20,9,144569,10,135489,16,99766
ltla,Hammersmith and Fulham,E09000013,2022-07-19,0,144560,7,135479,9,99750
ltla,Hammersmith and Fulham,E09000013,2022-07-18,4,144560,9,135472,19,99741
ltla,Hammersmith and Fulham,E09000013,2022-07-17,0,144556,5,135463,5,99722
ltla,Hammersmith and Fulham,E09000013,2022-07-16,6,144556,13,135458,20,99717
ltla,Hammersmith and Fulham,E09000013,2022-07-15,3,144550,17,135445,22,99697
ltla,Hammersmith and Fulham,E09000013,2022-07-14,9,144547,13,135428,23,99675
ltla,Hammersmith and Fulham,E09000013,2022-07-13,5,144538,20,135415,32,99652
ltla,Hammersmith and Fulham,E09000013,2022-07-12,6,144533,18,135395,32,99620
ltla,Hammersmith and Fulham,E09000013,2022-07-11,14,144527,13,135377,22,99588
ltla,Hammersmith and Fulham,E09000013,2022-07-10,0,144513,7,135364,14,99566
ltla,Hammersmith and Fulham,E09000013,2022-07-09,5,144513,19,135357,22,99552
