areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Haringey,E09000014,2022-08-30,1,188473,,177473,8,125207
ltla,Haringey,E09000014,2022-08-29,0,188472,1,177473,0,125199
ltla,Haringey,E09000014,2022-08-28,0,188472,1,177472,0,125199
ltla,Haringey,E09000014,2022-08-27,3,188472,7,177471,6,125199
ltla,Haringey,E09000014,2022-08-26,4,188469,8,177464,13,125193
ltla,Haringey,E09000014,2022-08-25,3,188465,6,177456,4,125180
ltla,Haringey,E09000014,2022-08-24,3,188462,11,177450,25,125176
ltla,Haringey,E09000014,2022-08-23,0,188459,5,177439,6,125151
ltla,Haringey,E09000014,2022-08-22,7,188459,10,177434,16,125145
ltla,Haringey,E09000014,2022-08-21,4,188452,2,177424,7,125129
ltla,Haringey,E09000014,2022-08-20,0,188448,6,177422,10,125122
ltla,Haringey,E09000014,2022-08-19,3,188448,12,177416,20,125112
ltla,Haringey,E09000014,2022-08-18,3,188445,3,177404,10,125092
ltla,Haringey,E09000014,2022-08-17,2,188442,6,177401,19,125082
ltla,Haringey,E09000014,2022-08-16,3,188440,2,177395,9,125063
ltla,Haringey,E09000014,2022-08-15,13,188437,15,177393,28,125054
ltla,Haringey,E09000014,2022-08-14,1,188424,4,177378,8,125026
ltla,Haringey,E09000014,2022-08-13,1,188423,7,177374,5,125018
ltla,Haringey,E09000014,2022-08-12,2,188422,7,177367,13,125013
ltla,Haringey,E09000014,2022-08-11,2,188420,6,177360,13,125000
ltla,Haringey,E09000014,2022-08-10,4,188418,14,177354,19,124987
ltla,Haringey,E09000014,2022-08-09,0,188414,3,177340,9,124968
ltla,Haringey,E09000014,2022-08-08,9,188414,22,177337,26,124959
ltla,Haringey,E09000014,2022-08-07,7,188405,4,177315,11,124933
ltla,Haringey,E09000014,2022-08-06,3,188398,7,177311,20,124922
ltla,Haringey,E09000014,2022-08-05,1,188395,11,177304,17,124902
ltla,Haringey,E09000014,2022-08-04,3,188394,10,177293,16,124885
ltla,Haringey,E09000014,2022-08-03,6,188391,17,177283,21,124869
ltla,Haringey,E09000014,2022-08-02,1,188385,12,177266,13,124848
ltla,Haringey,E09000014,2022-08-01,10,188384,29,177254,26,124835
ltla,Haringey,E09000014,2022-07-31,0,188374,6,177225,10,124809
ltla,Haringey,E09000014,2022-07-30,2,188374,11,177219,14,124799
ltla,Haringey,E09000014,2022-07-29,3,188372,9,177208,22,124785
ltla,Haringey,E09000014,2022-07-28,4,188369,12,177199,18,124763
ltla,Haringey,E09000014,2022-07-27,5,188365,13,177187,41,124745
ltla,Haringey,E09000014,2022-07-26,5,188360,13,177174,15,124704
ltla,Haringey,E09000014,2022-07-25,11,188355,28,177161,29,124689
ltla,Haringey,E09000014,2022-07-24,5,188344,13,177133,22,124660
ltla,Haringey,E09000014,2022-07-23,6,188339,20,177120,23,124638
ltla,Haringey,E09000014,2022-07-22,5,188333,23,177100,33,124615
ltla,Haringey,E09000014,2022-07-21,4,188328,12,177077,28,124582
ltla,Haringey,E09000014,2022-07-20,4,188324,11,177065,22,124554
ltla,Haringey,E09000014,2022-07-19,6,188320,13,177054,21,124532
ltla,Haringey,E09000014,2022-07-18,9,188314,31,177041,29,124511
ltla,Haringey,E09000014,2022-07-17,0,188305,19,177010,7,124482
ltla,Haringey,E09000014,2022-07-16,4,188305,31,176991,34,124475
ltla,Haringey,E09000014,2022-07-15,10,188301,35,176960,38,124441
ltla,Haringey,E09000014,2022-07-14,4,188291,21,176925,16,124403
ltla,Haringey,E09000014,2022-07-13,9,188287,20,176904,39,124387
ltla,Haringey,E09000014,2022-07-12,8,188278,21,176884,7,124348
ltla,Haringey,E09000014,2022-07-11,10,188270,44,176863,31,124341
ltla,Haringey,E09000014,2022-07-10,3,188260,28,176819,14,124310
ltla,Haringey,E09000014,2022-07-09,9,188257,35,176791,22,124296
ltla,Haringey,E09000014,2022-07-08,2,188248,35,176756,28,124274
ltla,Haringey,E09000014,2022-07-07,10,188246,27,176721,24,124246
ltla,Haringey,E09000014,2022-07-06,5,188236,18,176694,36,124222
ltla,Haringey,E09000014,2022-07-05,10,188231,34,176676,32,124186
ltla,Haringey,E09000014,2022-07-04,9,188221,32,176642,42,124154
ltla,Haringey,E09000014,2022-07-03,3,188212,18,176610,19,124112
ltla,Haringey,E09000014,2022-07-02,8,188209,42,176592,37,124093
ltla,Haringey,E09000014,2022-07-01,5,188201,18,176550,36,124056
ltla,Haringey,E09000014,2022-06-30,7,188196,23,176532,28,124020
ltla,Haringey,E09000014,2022-06-29,5,188189,19,176509,24,123992
ltla,Haringey,E09000014,2022-06-28,3,188184,15,176490,22,123968
ltla,Haringey,E09000014,2022-06-27,4,188181,26,176475,45,123946
ltla,Haringey,E09000014,2022-06-26,6,188177,16,176449,12,123901
ltla,Haringey,E09000014,2022-06-25,10,188171,16,176433,26,123889
ltla,Haringey,E09000014,2022-06-24,2,188161,18,176417,47,123863
ltla,Haringey,E09000014,2022-06-23,10,188159,18,176399,38,123816
ltla,Haringey,E09000014,2022-06-22,9,188149,18,176381,28,123778
ltla,Haringey,E09000014,2022-06-21,5,188140,13,176363,14,123750
ltla,Haringey,E09000014,2022-06-20,4,188135,28,176350,47,123736
ltla,Haringey,E09000014,2022-06-19,1,188131,16,176322,10,123689
ltla,Haringey,E09000014,2022-06-18,10,188130,20,176306,26,123679
ltla,Haringey,E09000014,2022-06-17,5,188120,20,176286,33,123653
ltla,Haringey,E09000014,2022-06-16,4,188115,12,176266,29,123620
ltla,Haringey,E09000014,2022-06-15,3,188111,14,176254,26,123591
ltla,Haringey,E09000014,2022-06-14,5,188108,16,176240,20,123565
ltla,Haringey,E09000014,2022-06-13,8,188103,31,176224,62,123545
ltla,Haringey,E09000014,2022-06-12,7,188095,18,176193,20,123483
ltla,Haringey,E09000014,2022-06-11,8,188088,27,176175,39,123463
ltla,Haringey,E09000014,2022-06-10,6,188080,17,176148,49,123424
ltla,Haringey,E09000014,2022-06-09,8,188074,13,176131,18,123375
ltla,Haringey,E09000014,2022-06-08,10,188066,30,176118,35,123357
ltla,Haringey,E09000014,2022-06-07,5,188056,16,176088,29,123322
ltla,Haringey,E09000014,2022-06-06,9,188051,36,176072,59,123293
ltla,Haringey,E09000014,2022-06-05,4,188042,11,176036,8,123234
ltla,Haringey,E09000014,2022-06-04,2,188038,10,176025,25,123226
ltla,Haringey,E09000014,2022-06-03,0,188036,2,176015,1,123201
ltla,Haringey,E09000014,2022-06-02,2,188036,0,176013,1,123200
ltla,Haringey,E09000014,2022-06-01,4,188034,22,176013,26,123199
ltla,Haringey,E09000014,2022-05-31,10,188030,24,175991,37,123173
ltla,Haringey,E09000014,2022-05-30,14,188020,62,175967,79,123136
ltla,Haringey,E09000014,2022-05-29,6,188006,16,175905,16,123057
ltla,Haringey,E09000014,2022-05-28,14,188000,18,175889,28,123041
ltla,Haringey,E09000014,2022-05-27,6,187986,19,175871,44,123013
ltla,Haringey,E09000014,2022-05-26,5,187980,20,175852,30,122969
ltla,Haringey,E09000014,2022-05-25,2,187975,17,175832,20,122939
ltla,Haringey,E09000014,2022-05-24,3,187973,16,175815,24,122919
ltla,Haringey,E09000014,2022-05-23,6,187970,12,175799,47,122895
ltla,Haringey,E09000014,2022-05-22,10,187964,53,175787,37,122848
ltla,Haringey,E09000014,2022-05-21,11,187954,19,175734,32,122811
ltla,Haringey,E09000014,2022-05-20,11,187943,22,175715,48,122779
ltla,Haringey,E09000014,2022-05-19,11,187932,22,175693,52,122731
ltla,Haringey,E09000014,2022-05-18,12,187921,16,175671,27,122679
ltla,Haringey,E09000014,2022-05-17,14,187909,13,175655,36,122652
ltla,Haringey,E09000014,2022-05-16,16,187895,18,175642,49,122616
ltla,Haringey,E09000014,2022-05-15,3,187879,15,175624,15,122567
ltla,Haringey,E09000014,2022-05-14,24,187876,30,175609,38,122552
ltla,Haringey,E09000014,2022-05-13,15,187852,32,175579,56,122514
ltla,Haringey,E09000014,2022-05-12,12,187837,60,175547,67,122458
ltla,Haringey,E09000014,2022-05-11,7,187825,24,175487,28,122391
ltla,Haringey,E09000014,2022-05-10,17,187818,20,175463,26,122363
ltla,Haringey,E09000014,2022-05-09,19,187801,44,175443,62,122337
ltla,Haringey,E09000014,2022-05-08,15,187782,23,175399,19,122275
ltla,Haringey,E09000014,2022-05-07,18,187767,25,175376,27,122256
ltla,Haringey,E09000014,2022-05-06,16,187749,39,175351,58,122229
ltla,Haringey,E09000014,2022-05-05,29,187733,42,175312,66,122171
ltla,Haringey,E09000014,2022-05-04,12,187704,16,175270,49,122105
ltla,Haringey,E09000014,2022-05-03,5,187692,14,175254,36,122056
ltla,Haringey,E09000014,2022-05-02,7,187687,10,175240,16,122020
ltla,Haringey,E09000014,2022-05-01,12,187680,24,175230,26,122004
ltla,Haringey,E09000014,2022-04-30,19,187668,37,175206,41,121978
ltla,Haringey,E09000014,2022-04-29,20,187649,48,175169,89,121937
ltla,Haringey,E09000014,2022-04-28,20,187629,40,175121,79,121848
ltla,Haringey,E09000014,2022-04-27,10,187609,24,175081,40,121769
ltla,Haringey,E09000014,2022-04-26,14,187599,21,175057,40,121729
ltla,Haringey,E09000014,2022-04-25,21,187585,48,175036,75,121689
ltla,Haringey,E09000014,2022-04-24,4,187564,25,174988,20,121614
ltla,Haringey,E09000014,2022-04-23,15,187560,44,174963,35,121594
ltla,Haringey,E09000014,2022-04-22,23,187545,33,174919,82,121559
ltla,Haringey,E09000014,2022-04-21,29,187522,68,174886,91,121477
ltla,Haringey,E09000014,2022-04-20,18,187493,37,174818,49,121386
ltla,Haringey,E09000014,2022-04-19,14,187475,37,174781,43,121337
ltla,Haringey,E09000014,2022-04-18,10,187461,9,174744,15,121294
ltla,Haringey,E09000014,2022-04-17,2,187451,2,174735,4,121279
ltla,Haringey,E09000014,2022-04-16,15,187449,27,174733,31,121275
ltla,Haringey,E09000014,2022-04-15,5,187434,7,174706,13,121244
ltla,Haringey,E09000014,2022-04-14,57,187429,89,174699,116,121231
ltla,Haringey,E09000014,2022-04-13,26,187372,34,174610,50,121115
ltla,Haringey,E09000014,2022-04-12,19,187346,28,174576,50,121065
ltla,Haringey,E09000014,2022-04-11,54,187327,82,174548,100,121015
ltla,Haringey,E09000014,2022-04-10,11,187273,15,174466,41,120915
ltla,Haringey,E09000014,2022-04-09,13,187262,50,174451,52,120874
ltla,Haringey,E09000014,2022-04-08,36,187249,41,174401,97,120822
ltla,Haringey,E09000014,2022-04-07,26,187213,60,174360,68,120725
ltla,Haringey,E09000014,2022-04-06,20,187187,26,174300,45,120657
ltla,Haringey,E09000014,2022-04-05,29,187167,38,174274,61,120612
ltla,Haringey,E09000014,2022-04-04,31,187138,61,174236,63,120551
ltla,Haringey,E09000014,2022-04-03,11,187107,21,174175,19,120488
ltla,Haringey,E09000014,2022-04-02,17,187096,61,174154,53,120469
ltla,Haringey,E09000014,2022-04-01,25,187079,36,174093,95,120416
ltla,Haringey,E09000014,2022-03-31,38,187054,59,174057,94,120321
ltla,Haringey,E09000014,2022-03-30,15,187016,62,173998,78,120227
ltla,Haringey,E09000014,2022-03-29,7,187001,33,173936,45,120149
ltla,Haringey,E09000014,2022-03-28,24,186994,68,173903,100,120104
