areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Harrow,E09000015,2022-08-30,6,192152,18,181940,21,137888
ltla,Harrow,E09000015,2022-08-29,1,192146,0,181922,0,137867
ltla,Harrow,E09000015,2022-08-28,0,192145,4,181922,0,137867
ltla,Harrow,E09000015,2022-08-27,6,192145,11,181918,12,137867
ltla,Harrow,E09000015,2022-08-26,10,192139,10,181907,10,137855
ltla,Harrow,E09000015,2022-08-25,1,192129,12,181897,10,137845
ltla,Harrow,E09000015,2022-08-24,8,192128,8,181885,15,137835
ltla,Harrow,E09000015,2022-08-23,8,192120,9,181877,6,137820
ltla,Harrow,E09000015,2022-08-22,8,192112,10,181868,15,137814
ltla,Harrow,E09000015,2022-08-21,1,192104,4,181858,1,137799
ltla,Harrow,E09000015,2022-08-20,5,192103,12,181854,11,137798
ltla,Harrow,E09000015,2022-08-19,13,192098,16,181842,21,137787
ltla,Harrow,E09000015,2022-08-18,3,192085,8,181826,13,137766
ltla,Harrow,E09000015,2022-08-17,6,192082,8,181818,12,137753
ltla,Harrow,E09000015,2022-08-16,3,192076,11,181810,7,137741
ltla,Harrow,E09000015,2022-08-15,8,192073,10,181799,15,137734
ltla,Harrow,E09000015,2022-08-14,1,192065,2,181789,2,137719
ltla,Harrow,E09000015,2022-08-13,3,192064,10,181787,16,137717
ltla,Harrow,E09000015,2022-08-12,3,192061,13,181777,20,137701
ltla,Harrow,E09000015,2022-08-11,6,192058,8,181764,15,137681
ltla,Harrow,E09000015,2022-08-10,2,192052,17,181756,16,137666
ltla,Harrow,E09000015,2022-08-09,4,192050,15,181739,22,137650
ltla,Harrow,E09000015,2022-08-08,8,192046,14,181724,20,137628
ltla,Harrow,E09000015,2022-08-07,0,192038,2,181710,6,137608
ltla,Harrow,E09000015,2022-08-06,12,192038,20,181708,12,137602
ltla,Harrow,E09000015,2022-08-05,9,192026,19,181688,12,137590
ltla,Harrow,E09000015,2022-08-04,3,192017,13,181669,18,137578
ltla,Harrow,E09000015,2022-08-03,4,192014,13,181656,18,137560
ltla,Harrow,E09000015,2022-08-02,6,192010,18,181643,21,137542
ltla,Harrow,E09000015,2022-08-01,7,192004,12,181625,26,137521
ltla,Harrow,E09000015,2022-07-31,5,191997,9,181613,3,137495
ltla,Harrow,E09000015,2022-07-30,4,191992,25,181604,22,137492
ltla,Harrow,E09000015,2022-07-29,2,191988,15,181579,17,137470
