areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Havering,E09000016,2022-08-30,3,187090,4,179372,22,136862
ltla,Havering,E09000016,2022-08-29,0,187087,0,179368,0,136840
ltla,Havering,E09000016,2022-08-28,1,187087,1,179368,6,136840
ltla,Havering,E09000016,2022-08-27,5,187086,16,179367,28,136834
ltla,Havering,E09000016,2022-08-26,3,187081,6,179351,19,136806
ltla,Havering,E09000016,2022-08-25,9,187078,15,179345,12,136787
ltla,Havering,E09000016,2022-08-24,2,187069,2,179330,4,136775
ltla,Havering,E09000016,2022-08-23,7,187067,2,179328,25,136771
ltla,Havering,E09000016,2022-08-22,2,187060,7,179326,10,136746
ltla,Havering,E09000016,2022-08-21,0,187058,3,179319,4,136736
ltla,Havering,E09000016,2022-08-20,4,187058,32,179316,34,136732
ltla,Havering,E09000016,2022-08-19,2,187054,13,179284,23,136698
ltla,Havering,E09000016,2022-08-18,1,187052,7,179271,18,136675
ltla,Havering,E09000016,2022-08-17,0,187051,6,179264,5,136657
ltla,Havering,E09000016,2022-08-16,1,187051,8,179258,18,136652
ltla,Havering,E09000016,2022-08-15,5,187050,2,179250,27,136634
ltla,Havering,E09000016,2022-08-14,0,187045,2,179248,3,136607
ltla,Havering,E09000016,2022-08-13,10,187045,12,179246,29,136604
ltla,Havering,E09000016,2022-08-12,4,187035,11,179234,14,136575
ltla,Havering,E09000016,2022-08-11,1,187031,15,179223,29,136561
ltla,Havering,E09000016,2022-08-10,1,187030,10,179208,9,136532
ltla,Havering,E09000016,2022-08-09,1,187029,10,179198,15,136523
ltla,Havering,E09000016,2022-08-08,3,187028,6,179188,34,136508
ltla,Havering,E09000016,2022-08-07,0,187025,6,179182,6,136474
ltla,Havering,E09000016,2022-08-06,10,187025,30,179176,28,136468
ltla,Havering,E09000016,2022-08-05,2,187015,13,179146,27,136440
ltla,Havering,E09000016,2022-08-04,7,187013,35,179133,22,136413
ltla,Havering,E09000016,2022-08-03,0,187006,7,179098,15,136391
ltla,Havering,E09000016,2022-08-02,2,187006,14,179091,27,136376
ltla,Havering,E09000016,2022-08-01,2,187004,9,179077,19,136349
ltla,Havering,E09000016,2022-07-31,1,187002,2,179068,3,136330
ltla,Havering,E09000016,2022-07-30,15,187001,38,179066,37,136327
ltla,Havering,E09000016,2022-07-29,4,186986,8,179028,24,136290
ltla,Havering,E09000016,2022-07-28,6,186982,35,179020,23,136266
ltla,Havering,E09000016,2022-07-27,1,186976,3,178985,13,136243
ltla,Havering,E09000016,2022-07-26,0,186975,16,178982,30,136230
ltla,Havering,E09000016,2022-07-25,0,186975,17,178966,31,136200
ltla,Havering,E09000016,2022-07-24,0,186975,6,178949,11,136169
ltla,Havering,E09000016,2022-07-23,17,186975,79,178943,47,136158
ltla,Havering,E09000016,2022-07-22,6,186958,14,178864,30,136111
ltla,Havering,E09000016,2022-07-21,1,186952,13,178850,29,136081
ltla,Havering,E09000016,2022-07-20,0,186951,8,178837,12,136052
ltla,Havering,E09000016,2022-07-19,2,186951,25,178829,19,136040
