areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Hillingdon,E09000017,2022-08-30,14,228746,16,215391,30,155802
ltla,Hillingdon,E09000017,2022-08-29,1,228732,3,215375,6,155772
ltla,Hillingdon,E09000017,2022-08-28,0,228731,3,215372,3,155766
ltla,Hillingdon,E09000017,2022-08-27,11,228731,12,215369,24,155763
ltla,Hillingdon,E09000017,2022-08-26,12,228720,10,215357,16,155739
ltla,Hillingdon,E09000017,2022-08-25,3,228708,16,215347,10,155723
ltla,Hillingdon,E09000017,2022-08-24,6,228705,14,215331,13,155713
ltla,Hillingdon,E09000017,2022-08-23,3,228699,9,215317,12,155700
ltla,Hillingdon,E09000017,2022-08-22,7,228696,16,215308,33,155688
ltla,Hillingdon,E09000017,2022-08-21,2,228689,3,215292,6,155655
ltla,Hillingdon,E09000017,2022-08-20,16,228687,33,215289,27,155649
ltla,Hillingdon,E09000017,2022-08-19,6,228671,11,215256,21,155622
ltla,Hillingdon,E09000017,2022-08-18,4,228665,14,215245,19,155601
ltla,Hillingdon,E09000017,2022-08-17,2,228661,14,215231,16,155582
ltla,Hillingdon,E09000017,2022-08-16,7,228659,10,215217,9,155566
ltla,Hillingdon,E09000017,2022-08-15,9,228652,13,215207,12,155557
ltla,Hillingdon,E09000017,2022-08-14,2,228643,2,215194,2,155545
ltla,Hillingdon,E09000017,2022-08-13,10,228641,26,215192,27,155543
ltla,Hillingdon,E09000017,2022-08-12,11,228631,15,215166,28,155516
ltla,Hillingdon,E09000017,2022-08-11,9,228620,11,215151,12,155488
ltla,Hillingdon,E09000017,2022-08-10,12,228611,8,215140,15,155476
ltla,Hillingdon,E09000017,2022-08-09,9,228599,14,215132,12,155461
ltla,Hillingdon,E09000017,2022-08-08,3,228590,9,215118,21,155449
ltla,Hillingdon,E09000017,2022-08-07,1,228587,4,215109,4,155428
ltla,Hillingdon,E09000017,2022-08-06,13,228586,42,215105,44,155424
ltla,Hillingdon,E09000017,2022-08-05,6,228573,34,215063,31,155380
ltla,Hillingdon,E09000017,2022-08-04,6,228567,8,215029,15,155349
ltla,Hillingdon,E09000017,2022-08-03,2,228561,12,215021,29,155334
ltla,Hillingdon,E09000017,2022-08-02,8,228559,25,215009,19,155305
ltla,Hillingdon,E09000017,2022-08-01,4,228551,6,214984,20,155286
ltla,Hillingdon,E09000017,2022-07-31,1,228547,4,214978,6,155266
ltla,Hillingdon,E09000017,2022-07-30,9,228546,34,214974,35,155260
ltla,Hillingdon,E09000017,2022-07-29,12,228537,62,214940,54,155225
ltla,Hillingdon,E09000017,2022-07-28,9,228525,12,214878,20,155171
ltla,Hillingdon,E09000017,2022-07-27,20,228516,16,214866,19,155151
ltla,Hillingdon,E09000017,2022-07-26,5,228496,25,214850,25,155132
ltla,Hillingdon,E09000017,2022-07-25,7,228491,38,214825,41,155107
ltla,Hillingdon,E09000017,2022-07-24,1,228484,12,214787,6,155066
ltla,Hillingdon,E09000017,2022-07-23,8,228483,53,214775,51,155060
ltla,Hillingdon,E09000017,2022-07-22,15,228475,43,214722,46,155009
ltla,Hillingdon,E09000017,2022-07-21,2,228460,26,214679,9,154963
ltla,Hillingdon,E09000017,2022-07-20,11,228458,18,214653,20,154954
ltla,Hillingdon,E09000017,2022-07-19,7,228447,25,214635,16,154934
ltla,Hillingdon,E09000017,2022-07-18,1,228440,18,214610,26,154918
ltla,Hillingdon,E09000017,2022-07-17,1,228439,11,214592,4,154892
ltla,Hillingdon,E09000017,2022-07-16,18,228438,69,214581,44,154888
ltla,Hillingdon,E09000017,2022-07-15,11,228420,51,214512,40,154844
ltla,Hillingdon,E09000017,2022-07-14,10,228409,20,214461,19,154804
ltla,Hillingdon,E09000017,2022-07-13,5,228399,23,214441,32,154785
ltla,Hillingdon,E09000017,2022-07-12,6,228394,31,214418,24,154753
ltla,Hillingdon,E09000017,2022-07-11,7,228388,26,214387,37,154729
ltla,Hillingdon,E09000017,2022-07-10,1,228381,10,214361,7,154692
ltla,Hillingdon,E09000017,2022-07-09,24,228380,88,214351,63,154685
ltla,Hillingdon,E09000017,2022-07-08,15,228356,46,214263,45,154622
ltla,Hillingdon,E09000017,2022-07-07,3,228341,20,214217,26,154577
ltla,Hillingdon,E09000017,2022-07-06,5,228338,16,214197,20,154551
ltla,Hillingdon,E09000017,2022-07-05,3,228333,24,214181,21,154531
ltla,Hillingdon,E09000017,2022-07-04,0,228330,38,214157,34,154510
ltla,Hillingdon,E09000017,2022-07-03,3,228330,8,214119,2,154476
ltla,Hillingdon,E09000017,2022-07-02,36,228327,86,214111,55,154474
ltla,Hillingdon,E09000017,2022-07-01,16,228291,62,214025,46,154419
ltla,Hillingdon,E09000017,2022-06-30,7,228275,12,213963,17,154373
ltla,Hillingdon,E09000017,2022-06-29,7,228268,14,213951,22,154356
ltla,Hillingdon,E09000017,2022-06-28,12,228261,42,213937,45,154334
ltla,Hillingdon,E09000017,2022-06-27,4,228249,28,213895,33,154289
ltla,Hillingdon,E09000017,2022-06-26,6,228245,28,213867,27,154256
ltla,Hillingdon,E09000017,2022-06-25,21,228239,65,213839,52,154229
ltla,Hillingdon,E09000017,2022-06-24,14,228218,45,213774,52,154177
ltla,Hillingdon,E09000017,2022-06-23,7,228204,19,213729,38,154125
ltla,Hillingdon,E09000017,2022-06-22,6,228197,5,213710,25,154087
ltla,Hillingdon,E09000017,2022-06-21,5,228191,17,213705,34,154062
ltla,Hillingdon,E09000017,2022-06-20,6,228186,19,213688,28,154028
ltla,Hillingdon,E09000017,2022-06-19,9,228180,22,213669,18,154000
ltla,Hillingdon,E09000017,2022-06-18,13,228171,48,213647,43,153982
ltla,Hillingdon,E09000017,2022-06-17,13,228158,29,213599,32,153939
ltla,Hillingdon,E09000017,2022-06-16,4,228145,16,213570,19,153907
ltla,Hillingdon,E09000017,2022-06-15,8,228141,17,213554,47,153888
ltla,Hillingdon,E09000017,2022-06-14,3,228133,15,213537,11,153841
ltla,Hillingdon,E09000017,2022-06-13,13,228130,22,213522,47,153830
ltla,Hillingdon,E09000017,2022-06-12,1,228117,5,213500,3,153783
ltla,Hillingdon,E09000017,2022-06-11,17,228116,63,213495,74,153780
ltla,Hillingdon,E09000017,2022-06-10,16,228099,48,213432,50,153706
ltla,Hillingdon,E09000017,2022-06-09,8,228083,14,213384,32,153656
ltla,Hillingdon,E09000017,2022-06-08,5,228075,12,213370,44,153624
ltla,Hillingdon,E09000017,2022-06-07,4,228070,8,213358,30,153580
ltla,Hillingdon,E09000017,2022-06-06,8,228066,20,213350,44,153550
ltla,Hillingdon,E09000017,2022-06-05,1,228058,6,213330,11,153506
ltla,Hillingdon,E09000017,2022-06-04,19,228057,50,213324,58,153495
ltla,Hillingdon,E09000017,2022-06-03,5,228038,3,213274,7,153437
ltla,Hillingdon,E09000017,2022-06-02,1,228033,2,213271,11,153430
ltla,Hillingdon,E09000017,2022-06-01,18,228032,10,213269,53,153419
ltla,Hillingdon,E09000017,2022-05-31,10,228014,32,213259,29,153366
ltla,Hillingdon,E09000017,2022-05-30,18,228004,32,213227,49,153337
ltla,Hillingdon,E09000017,2022-05-29,12,227986,36,213195,20,153288
ltla,Hillingdon,E09000017,2022-05-28,18,227974,65,213159,67,153268
ltla,Hillingdon,E09000017,2022-05-27,20,227956,47,213094,56,153201
ltla,Hillingdon,E09000017,2022-05-26,5,227936,11,213047,17,153145
ltla,Hillingdon,E09000017,2022-05-25,5,227931,18,213036,37,153128
ltla,Hillingdon,E09000017,2022-05-24,12,227926,22,213018,44,153091
ltla,Hillingdon,E09000017,2022-05-23,10,227914,9,212996,39,153047
ltla,Hillingdon,E09000017,2022-05-22,13,227904,25,212987,20,153008
ltla,Hillingdon,E09000017,2022-05-21,19,227891,45,212962,56,152988
ltla,Hillingdon,E09000017,2022-05-20,18,227872,37,212917,57,152932
ltla,Hillingdon,E09000017,2022-05-19,6,227854,22,212880,40,152875
ltla,Hillingdon,E09000017,2022-05-18,6,227848,24,212858,29,152835
ltla,Hillingdon,E09000017,2022-05-17,11,227842,19,212834,31,152806
ltla,Hillingdon,E09000017,2022-05-16,10,227831,39,212815,59,152775
ltla,Hillingdon,E09000017,2022-05-15,21,227821,36,212776,32,152716
ltla,Hillingdon,E09000017,2022-05-14,19,227800,47,212740,72,152684
ltla,Hillingdon,E09000017,2022-05-13,36,227781,59,212693,50,152612
ltla,Hillingdon,E09000017,2022-05-12,5,227745,32,212634,52,152562
ltla,Hillingdon,E09000017,2022-05-11,14,227740,22,212602,52,152510
ltla,Hillingdon,E09000017,2022-05-10,14,227726,22,212580,34,152458
ltla,Hillingdon,E09000017,2022-05-09,24,227712,41,212558,82,152424
ltla,Hillingdon,E09000017,2022-05-08,22,227688,39,212517,48,152342
ltla,Hillingdon,E09000017,2022-05-07,22,227666,52,212478,70,152294
ltla,Hillingdon,E09000017,2022-05-06,34,227644,53,212426,66,152224
ltla,Hillingdon,E09000017,2022-05-05,26,227610,38,212373,67,152158
ltla,Hillingdon,E09000017,2022-05-04,18,227584,11,212335,52,152091
ltla,Hillingdon,E09000017,2022-05-03,8,227566,28,212324,45,152039
ltla,Hillingdon,E09000017,2022-05-02,4,227558,12,212296,13,151994
ltla,Hillingdon,E09000017,2022-05-01,7,227554,5,212284,8,151981
ltla,Hillingdon,E09000017,2022-04-30,67,227547,86,212279,94,151973
ltla,Hillingdon,E09000017,2022-04-29,17,227480,40,212193,56,151879
ltla,Hillingdon,E09000017,2022-04-28,13,227463,20,212153,38,151823
ltla,Hillingdon,E09000017,2022-04-27,17,227450,23,212133,53,151785
ltla,Hillingdon,E09000017,2022-04-26,16,227433,25,212110,55,151732
ltla,Hillingdon,E09000017,2022-04-25,23,227417,54,212085,58,151677
ltla,Hillingdon,E09000017,2022-04-24,11,227394,22,212031,33,151619
ltla,Hillingdon,E09000017,2022-04-23,56,227383,102,212009,103,151586
ltla,Hillingdon,E09000017,2022-04-22,35,227327,57,211907,59,151483
ltla,Hillingdon,E09000017,2022-04-21,23,227292,29,211850,50,151424
ltla,Hillingdon,E09000017,2022-04-20,26,227269,32,211821,70,151374
ltla,Hillingdon,E09000017,2022-04-19,25,227243,34,211789,63,151304
ltla,Hillingdon,E09000017,2022-04-18,7,227218,44,211755,28,151241
ltla,Hillingdon,E09000017,2022-04-17,4,227211,5,211711,12,151213
ltla,Hillingdon,E09000017,2022-04-16,35,227207,102,211706,86,151201
ltla,Hillingdon,E09000017,2022-04-15,6,227172,6,211604,16,151115
ltla,Hillingdon,E09000017,2022-04-14,36,227166,40,211598,59,151099
ltla,Hillingdon,E09000017,2022-04-13,59,227130,63,211558,82,151040
ltla,Hillingdon,E09000017,2022-04-12,31,227071,45,211495,50,150958
ltla,Hillingdon,E09000017,2022-04-11,59,227040,95,211450,83,150908
ltla,Hillingdon,E09000017,2022-04-10,19,226981,31,211355,36,150825
ltla,Hillingdon,E09000017,2022-04-09,37,226962,104,211324,85,150789
ltla,Hillingdon,E09000017,2022-04-08,37,226925,90,211220,81,150704
ltla,Hillingdon,E09000017,2022-04-07,30,226888,33,211130,62,150623
ltla,Hillingdon,E09000017,2022-04-06,25,226858,30,211097,60,150561
ltla,Hillingdon,E09000017,2022-04-05,14,226833,25,211067,57,150501
ltla,Hillingdon,E09000017,2022-04-04,30,226819,67,211042,85,150444
ltla,Hillingdon,E09000017,2022-04-03,15,226789,35,210975,38,150359
ltla,Hillingdon,E09000017,2022-04-02,45,226774,112,210940,93,150321
ltla,Hillingdon,E09000017,2022-04-01,14,226729,52,210828,51,150228
ltla,Hillingdon,E09000017,2022-03-31,24,226715,78,210776,76,150177
ltla,Hillingdon,E09000017,2022-03-30,15,226691,29,210698,59,150101
ltla,Hillingdon,E09000017,2022-03-29,18,226676,30,210669,69,150042
ltla,Hillingdon,E09000017,2022-03-28,19,226658,53,210639,61,149973
ltla,Hillingdon,E09000017,2022-03-27,6,226639,19,210586,35,149912
ltla,Hillingdon,E09000017,2022-03-26,30,226633,122,210567,132,149877
ltla,Hillingdon,E09000017,2022-03-25,20,226603,96,210445,89,149745
ltla,Hillingdon,E09000017,2022-03-24,8,226583,23,210349,28,149656
ltla,Hillingdon,E09000017,2022-03-23,21,226575,67,210326,107,149628
ltla,Hillingdon,E09000017,2022-03-22,14,226554,48,210259,76,149521
ltla,Hillingdon,E09000017,2022-03-21,33,226540,90,210211,81,149445
ltla,Hillingdon,E09000017,2022-03-20,11,226507,24,210121,30,149364
