areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Hounslow,E09000018,2022-08-30,13,216284,14,202339,18,141022
ltla,Hounslow,E09000018,2022-08-29,1,216271,2,202325,2,141004
ltla,Hounslow,E09000018,2022-08-28,2,216270,4,202323,1,141002
ltla,Hounslow,E09000018,2022-08-27,6,216268,14,202319,31,141001
ltla,Hounslow,E09000018,2022-08-26,21,216262,14,202305,21,140970
ltla,Hounslow,E09000018,2022-08-25,7,216241,7,202291,13,140949
ltla,Hounslow,E09000018,2022-08-24,6,216234,5,202284,13,140936
ltla,Hounslow,E09000018,2022-08-23,12,216228,11,202279,15,140923
ltla,Hounslow,E09000018,2022-08-22,5,216216,12,202268,16,140908
ltla,Hounslow,E09000018,2022-08-21,5,216211,7,202256,10,140892
ltla,Hounslow,E09000018,2022-08-20,5,216206,18,202249,15,140882
ltla,Hounslow,E09000018,2022-08-19,11,216201,19,202231,24,140867
ltla,Hounslow,E09000018,2022-08-18,5,216190,12,202212,13,140843
ltla,Hounslow,E09000018,2022-08-17,8,216185,10,202200,17,140830
ltla,Hounslow,E09000018,2022-08-16,11,216177,16,202190,15,140813
ltla,Hounslow,E09000018,2022-08-15,9,216166,12,202174,23,140798
ltla,Hounslow,E09000018,2022-08-14,3,216157,4,202162,8,140775
ltla,Hounslow,E09000018,2022-08-13,5,216154,10,202158,15,140767
ltla,Hounslow,E09000018,2022-08-12,4,216149,14,202148,24,140752
ltla,Hounslow,E09000018,2022-08-11,6,216145,7,202134,10,140728
ltla,Hounslow,E09000018,2022-08-10,4,216139,12,202127,11,140718
ltla,Hounslow,E09000018,2022-08-09,11,216135,20,202115,19,140707
ltla,Hounslow,E09000018,2022-08-08,4,216124,17,202095,21,140688
ltla,Hounslow,E09000018,2022-08-07,2,216120,5,202078,4,140667
ltla,Hounslow,E09000018,2022-08-06,11,216118,25,202073,16,140663
ltla,Hounslow,E09000018,2022-08-05,7,216107,18,202048,32,140647
ltla,Hounslow,E09000018,2022-08-04,7,216100,19,202030,17,140615
ltla,Hounslow,E09000018,2022-08-03,7,216093,10,202011,19,140598
ltla,Hounslow,E09000018,2022-08-02,6,216086,26,202001,24,140579
ltla,Hounslow,E09000018,2022-08-01,9,216080,21,201975,34,140555
ltla,Hounslow,E09000018,2022-07-31,2,216071,11,201954,8,140521
ltla,Hounslow,E09000018,2022-07-30,16,216069,34,201943,19,140513
ltla,Hounslow,E09000018,2022-07-29,13,216053,29,201909,22,140494
ltla,Hounslow,E09000018,2022-07-28,12,216040,24,201880,23,140472
ltla,Hounslow,E09000018,2022-07-27,5,216028,29,201856,21,140449
ltla,Hounslow,E09000018,2022-07-26,17,216023,25,201827,31,140428
ltla,Hounslow,E09000018,2022-07-25,11,216006,33,201802,43,140397
ltla,Hounslow,E09000018,2022-07-24,3,215995,11,201769,14,140354
ltla,Hounslow,E09000018,2022-07-23,16,215992,35,201758,33,140340
ltla,Hounslow,E09000018,2022-07-22,20,215976,32,201723,37,140307
ltla,Hounslow,E09000018,2022-07-21,3,215956,18,201691,31,140270
ltla,Hounslow,E09000018,2022-07-20,15,215953,28,201673,39,140239
ltla,Hounslow,E09000018,2022-07-19,8,215938,21,201645,17,140200
ltla,Hounslow,E09000018,2022-07-18,7,215930,28,201624,39,140183
ltla,Hounslow,E09000018,2022-07-17,3,215923,9,201596,12,140144
ltla,Hounslow,E09000018,2022-07-16,5,215920,51,201587,36,140132
ltla,Hounslow,E09000018,2022-07-15,24,215915,44,201536,42,140096
ltla,Hounslow,E09000018,2022-07-14,6,215891,21,201492,31,140054
ltla,Hounslow,E09000018,2022-07-13,20,215885,25,201471,46,140023
ltla,Hounslow,E09000018,2022-07-12,20,215865,35,201446,43,139977
ltla,Hounslow,E09000018,2022-07-11,16,215845,40,201411,54,139934
ltla,Hounslow,E09000018,2022-07-10,4,215829,21,201371,16,139880
ltla,Hounslow,E09000018,2022-07-09,11,215825,69,201350,40,139864
ltla,Hounslow,E09000018,2022-07-08,20,215814,62,201281,40,139824
ltla,Hounslow,E09000018,2022-07-07,7,215794,25,201219,21,139784
ltla,Hounslow,E09000018,2022-07-06,8,215787,49,201194,31,139763
ltla,Hounslow,E09000018,2022-07-05,15,215779,42,201145,44,139732
ltla,Hounslow,E09000018,2022-07-04,17,215764,39,201103,44,139688
ltla,Hounslow,E09000018,2022-07-03,3,215747,18,201064,16,139644
ltla,Hounslow,E09000018,2022-07-02,12,215744,76,201046,41,139628
ltla,Hounslow,E09000018,2022-07-01,19,215732,56,200970,50,139587
ltla,Hounslow,E09000018,2022-06-30,6,215713,15,200914,23,139537
ltla,Hounslow,E09000018,2022-06-29,8,215707,26,200899,24,139514
ltla,Hounslow,E09000018,2022-06-28,15,215699,30,200873,34,139490
ltla,Hounslow,E09000018,2022-06-27,11,215684,32,200843,46,139456
ltla,Hounslow,E09000018,2022-06-26,4,215673,17,200811,16,139410
ltla,Hounslow,E09000018,2022-06-25,19,215669,54,200794,50,139394
ltla,Hounslow,E09000018,2022-06-24,17,215650,46,200740,49,139344
ltla,Hounslow,E09000018,2022-06-23,7,215633,18,200694,21,139295
ltla,Hounslow,E09000018,2022-06-22,8,215626,17,200676,22,139274
ltla,Hounslow,E09000018,2022-06-21,10,215618,23,200659,26,139252
ltla,Hounslow,E09000018,2022-06-20,3,215608,31,200636,36,139226
ltla,Hounslow,E09000018,2022-06-19,0,215605,4,200605,9,139190
ltla,Hounslow,E09000018,2022-06-18,18,215605,45,200601,40,139181
ltla,Hounslow,E09000018,2022-06-17,7,215587,41,200556,27,139141
ltla,Hounslow,E09000018,2022-06-16,8,215580,14,200515,31,139114
ltla,Hounslow,E09000018,2022-06-15,10,215572,15,200501,31,139083
ltla,Hounslow,E09000018,2022-06-14,6,215562,17,200486,22,139052
ltla,Hounslow,E09000018,2022-06-13,14,215556,19,200469,34,139030
ltla,Hounslow,E09000018,2022-06-12,7,215542,18,200450,12,138996
ltla,Hounslow,E09000018,2022-06-11,20,215535,86,200432,56,138984
ltla,Hounslow,E09000018,2022-06-10,15,215515,28,200346,51,138928
ltla,Hounslow,E09000018,2022-06-09,6,215500,13,200318,22,138877
ltla,Hounslow,E09000018,2022-06-08,12,215494,21,200305,35,138855
ltla,Hounslow,E09000018,2022-06-07,4,215482,19,200284,36,138820
ltla,Hounslow,E09000018,2022-06-06,12,215478,27,200265,47,138784
ltla,Hounslow,E09000018,2022-06-05,3,215466,7,200238,7,138737
ltla,Hounslow,E09000018,2022-06-04,11,215463,27,200231,32,138730
ltla,Hounslow,E09000018,2022-06-03,6,215452,5,200204,2,138698
ltla,Hounslow,E09000018,2022-06-02,0,215446,1,200199,9,138696
ltla,Hounslow,E09000018,2022-06-01,24,215446,39,200198,47,138687
ltla,Hounslow,E09000018,2022-05-31,27,215422,48,200159,42,138640
