areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Islington,E09000019,2022-08-30,2,169450,5,157060,13,117637
ltla,Islington,E09000019,2022-08-29,0,169448,0,157055,2,117624
ltla,Islington,E09000019,2022-08-28,0,169448,3,157055,2,117622
ltla,Islington,E09000019,2022-08-27,2,169448,3,157052,9,117620
ltla,Islington,E09000019,2022-08-26,4,169446,3,157049,16,117611
ltla,Islington,E09000019,2022-08-25,2,169442,6,157046,7,117595
ltla,Islington,E09000019,2022-08-24,1,169440,5,157040,12,117588
ltla,Islington,E09000019,2022-08-23,1,169439,5,157035,5,117576
ltla,Islington,E09000019,2022-08-22,5,169438,5,157030,15,117571
ltla,Islington,E09000019,2022-08-21,2,169433,2,157025,5,117556
ltla,Islington,E09000019,2022-08-20,5,169431,5,157023,7,117551
ltla,Islington,E09000019,2022-08-19,24,169426,6,157018,17,117544
ltla,Islington,E09000019,2022-08-18,2,169402,8,157012,11,117527
ltla,Islington,E09000019,2022-08-17,5,169400,14,157004,17,117516
ltla,Islington,E09000019,2022-08-16,5,169395,6,156990,12,117499
ltla,Islington,E09000019,2022-08-15,8,169390,8,156984,17,117487
ltla,Islington,E09000019,2022-08-14,2,169382,3,156976,3,117470
ltla,Islington,E09000019,2022-08-13,1,169380,5,156973,15,117467
ltla,Islington,E09000019,2022-08-12,4,169379,6,156968,16,117452
ltla,Islington,E09000019,2022-08-11,3,169375,5,156962,7,117436
ltla,Islington,E09000019,2022-08-10,2,169372,6,156957,15,117429
ltla,Islington,E09000019,2022-08-09,3,169370,5,156951,13,117414
ltla,Islington,E09000019,2022-08-08,2,169367,5,156946,28,117401
ltla,Islington,E09000019,2022-08-07,2,169365,1,156941,6,117373
ltla,Islington,E09000019,2022-08-06,5,169363,3,156940,9,117367
ltla,Islington,E09000019,2022-08-05,4,169358,9,156937,25,117358
ltla,Islington,E09000019,2022-08-04,3,169354,9,156928,11,117333
ltla,Islington,E09000019,2022-08-03,5,169351,8,156919,26,117322
ltla,Islington,E09000019,2022-08-02,3,169346,8,156911,18,117296
ltla,Islington,E09000019,2022-08-01,5,169343,6,156903,22,117278
ltla,Islington,E09000019,2022-07-31,1,169338,7,156897,8,117256
ltla,Islington,E09000019,2022-07-30,3,169337,14,156890,20,117248
ltla,Islington,E09000019,2022-07-29,24,169334,15,156876,41,117228
ltla,Islington,E09000019,2022-07-28,4,169310,15,156861,21,117187
ltla,Islington,E09000019,2022-07-27,12,169306,21,156846,29,117166
ltla,Islington,E09000019,2022-07-26,7,169294,14,156825,16,117137
ltla,Islington,E09000019,2022-07-25,10,169287,9,156811,39,117121
ltla,Islington,E09000019,2022-07-24,3,169277,10,156802,3,117082
ltla,Islington,E09000019,2022-07-23,2,169274,14,156792,16,117079
ltla,Islington,E09000019,2022-07-22,4,169272,24,156778,34,117063
ltla,Islington,E09000019,2022-07-21,3,169268,16,156754,29,117029
ltla,Islington,E09000019,2022-07-20,6,169265,27,156738,26,117000
ltla,Islington,E09000019,2022-07-19,3,169259,2,156711,7,116974
ltla,Islington,E09000019,2022-07-18,7,169256,12,156709,24,116967
ltla,Islington,E09000019,2022-07-17,5,169249,5,156697,12,116943
ltla,Islington,E09000019,2022-07-16,5,169244,14,156692,23,116931
ltla,Islington,E09000019,2022-07-15,10,169239,19,156678,34,116908
ltla,Islington,E09000019,2022-07-14,3,169229,17,156659,20,116874
ltla,Islington,E09000019,2022-07-13,4,169226,18,156642,36,116854
ltla,Islington,E09000019,2022-07-12,3,169222,12,156624,27,116818
ltla,Islington,E09000019,2022-07-11,4,169219,13,156612,37,116791
ltla,Islington,E09000019,2022-07-10,3,169215,11,156599,6,116754
ltla,Islington,E09000019,2022-07-09,6,169212,17,156588,18,116748
ltla,Islington,E09000019,2022-07-08,9,169206,31,156571,47,116730
ltla,Islington,E09000019,2022-07-07,8,169197,19,156540,25,116683
ltla,Islington,E09000019,2022-07-06,7,169189,17,156521,37,116658
ltla,Islington,E09000019,2022-07-05,3,169182,22,156504,29,116621
ltla,Islington,E09000019,2022-07-04,4,169179,22,156482,39,116592
ltla,Islington,E09000019,2022-07-03,4,169175,19,156460,11,116553
ltla,Islington,E09000019,2022-07-02,5,169171,28,156441,29,116542
ltla,Islington,E09000019,2022-07-01,6,169166,19,156413,39,116513
ltla,Islington,E09000019,2022-06-30,2,169160,9,156394,22,116474
ltla,Islington,E09000019,2022-06-29,9,169158,24,156385,41,116452
ltla,Islington,E09000019,2022-06-28,2,169149,18,156361,30,116411
ltla,Islington,E09000019,2022-06-27,15,169147,20,156343,42,116381
ltla,Islington,E09000019,2022-06-26,1,169132,13,156323,14,116339
ltla,Islington,E09000019,2022-06-25,8,169131,16,156310,18,116325
ltla,Islington,E09000019,2022-06-24,10,169123,27,156294,31,116307
ltla,Islington,E09000019,2022-06-23,7,169113,10,156267,26,116276
ltla,Islington,E09000019,2022-06-22,7,169106,13,156257,36,116250
ltla,Islington,E09000019,2022-06-21,15,169099,18,156244,37,116214
ltla,Islington,E09000019,2022-06-20,9,169084,14,156226,25,116177
ltla,Islington,E09000019,2022-06-19,10,169075,5,156212,7,116152
ltla,Islington,E09000019,2022-06-18,5,169065,20,156207,23,116145
ltla,Islington,E09000019,2022-06-17,15,169060,20,156187,23,116122
ltla,Islington,E09000019,2022-06-16,6,169045,15,156167,16,116099
ltla,Islington,E09000019,2022-06-15,10,169039,17,156152,41,116083
ltla,Islington,E09000019,2022-06-14,10,169029,14,156135,28,116042
ltla,Islington,E09000019,2022-06-13,7,169019,11,156121,31,116014
ltla,Islington,E09000019,2022-06-12,8,169012,13,156110,10,115983
ltla,Islington,E09000019,2022-06-11,7,169004,19,156097,31,115973
ltla,Islington,E09000019,2022-06-10,8,168997,18,156078,22,115942
ltla,Islington,E09000019,2022-06-09,8,168989,14,156060,36,115920
ltla,Islington,E09000019,2022-06-08,13,168981,17,156046,43,115884
ltla,Islington,E09000019,2022-06-07,5,168968,8,156029,39,115841
ltla,Islington,E09000019,2022-06-06,10,168963,32,156021,66,115802
