areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Kensington and Chelsea,E09000020,2022-08-30,4,117352,3,108003,9,79670
ltla,Kensington and Chelsea,E09000020,2022-08-29,0,117348,0,108000,1,79661
ltla,Kensington and Chelsea,E09000020,2022-08-28,2,117348,0,108000,2,79660
ltla,Kensington and Chelsea,E09000020,2022-08-27,1,117346,2,108000,5,79658
ltla,Kensington and Chelsea,E09000020,2022-08-26,0,117345,4,107998,6,79653
ltla,Kensington and Chelsea,E09000020,2022-08-25,4,117345,2,107994,4,79647
ltla,Kensington and Chelsea,E09000020,2022-08-24,8,117341,4,107992,9,79643
ltla,Kensington and Chelsea,E09000020,2022-08-23,4,117333,5,107988,9,79634
ltla,Kensington and Chelsea,E09000020,2022-08-22,2,117329,2,107983,6,79625
ltla,Kensington and Chelsea,E09000020,2022-08-21,0,117327,0,107981,0,79619
ltla,Kensington and Chelsea,E09000020,2022-08-20,1,117327,2,107981,11,79619
ltla,Kensington and Chelsea,E09000020,2022-08-19,2,117326,4,107979,2,79608
ltla,Kensington and Chelsea,E09000020,2022-08-18,1,117324,5,107975,11,79606
ltla,Kensington and Chelsea,E09000020,2022-08-17,7,117323,0,107970,12,79595
ltla,Kensington and Chelsea,E09000020,2022-08-16,2,117316,6,107970,9,79583
ltla,Kensington and Chelsea,E09000020,2022-08-15,2,117314,6,107964,5,79574
ltla,Kensington and Chelsea,E09000020,2022-08-14,1,117312,0,107958,1,79569
ltla,Kensington and Chelsea,E09000020,2022-08-13,1,117311,8,107958,12,79568
ltla,Kensington and Chelsea,E09000020,2022-08-12,6,117310,2,107950,5,79556
ltla,Kensington and Chelsea,E09000020,2022-08-11,2,117304,3,107948,9,79551
ltla,Kensington and Chelsea,E09000020,2022-08-10,2,117302,1,107945,6,79542
ltla,Kensington and Chelsea,E09000020,2022-08-09,1,117300,0,107944,13,79536
ltla,Kensington and Chelsea,E09000020,2022-08-08,1,117299,3,107944,11,79523
ltla,Kensington and Chelsea,E09000020,2022-08-07,0,117298,1,107941,4,79512
ltla,Kensington and Chelsea,E09000020,2022-08-06,1,117298,5,107940,8,79508
ltla,Kensington and Chelsea,E09000020,2022-08-05,2,117297,3,107935,12,79500
ltla,Kensington and Chelsea,E09000020,2022-08-04,0,117295,7,107932,16,79488
ltla,Kensington and Chelsea,E09000020,2022-08-03,1,117295,8,107925,11,79472
ltla,Kensington and Chelsea,E09000020,2022-08-02,6,117294,8,107917,20,79461
ltla,Kensington and Chelsea,E09000020,2022-08-01,5,117288,11,107909,8,79441
ltla,Kensington and Chelsea,E09000020,2022-07-31,2,117283,2,107898,3,79433
ltla,Kensington and Chelsea,E09000020,2022-07-30,1,117281,4,107896,16,79430
ltla,Kensington and Chelsea,E09000020,2022-07-29,1,117280,10,107892,14,79414
ltla,Kensington and Chelsea,E09000020,2022-07-28,6,117279,4,107882,8,79400
ltla,Kensington and Chelsea,E09000020,2022-07-27,1,117273,2,107878,17,79392
ltla,Kensington and Chelsea,E09000020,2022-07-26,5,117272,12,107876,26,79375
ltla,Kensington and Chelsea,E09000020,2022-07-25,2,117267,11,107864,13,79349
ltla,Kensington and Chelsea,E09000020,2022-07-24,1,117265,2,107853,4,79336
ltla,Kensington and Chelsea,E09000020,2022-07-23,3,117264,12,107851,15,79332
ltla,Kensington and Chelsea,E09000020,2022-07-22,4,117261,9,107839,14,79317
ltla,Kensington and Chelsea,E09000020,2022-07-21,0,117257,8,107830,15,79303
ltla,Kensington and Chelsea,E09000020,2022-07-20,2,117257,4,107822,19,79288
ltla,Kensington and Chelsea,E09000020,2022-07-19,1,117255,6,107818,14,79269
ltla,Kensington and Chelsea,E09000020,2022-07-18,1,117254,6,107812,12,79255
ltla,Kensington and Chelsea,E09000020,2022-07-17,0,117253,2,107806,2,79243
ltla,Kensington and Chelsea,E09000020,2022-07-16,9,117253,10,107804,21,79241
ltla,Kensington and Chelsea,E09000020,2022-07-15,4,117244,7,107794,18,79220
ltla,Kensington and Chelsea,E09000020,2022-07-14,5,117240,9,107787,16,79202
ltla,Kensington and Chelsea,E09000020,2022-07-13,7,117235,7,107778,27,79186
ltla,Kensington and Chelsea,E09000020,2022-07-12,5,117228,14,107771,23,79159
ltla,Kensington and Chelsea,E09000020,2022-07-11,2,117223,10,107757,10,79136
ltla,Kensington and Chelsea,E09000020,2022-07-10,5,117221,7,107747,6,79126
ltla,Kensington and Chelsea,E09000020,2022-07-09,3,117216,9,107740,18,79120
ltla,Kensington and Chelsea,E09000020,2022-07-08,7,117213,25,107731,25,79102
ltla,Kensington and Chelsea,E09000020,2022-07-07,5,117206,8,107706,19,79077
ltla,Kensington and Chelsea,E09000020,2022-07-06,2,117201,17,107698,13,79058
ltla,Kensington and Chelsea,E09000020,2022-07-05,5,117199,17,107681,25,79045
ltla,Kensington and Chelsea,E09000020,2022-07-04,3,117194,16,107664,16,79020
ltla,Kensington and Chelsea,E09000020,2022-07-03,2,117191,11,107648,13,79004
ltla,Kensington and Chelsea,E09000020,2022-07-02,2,117189,12,107637,25,78991
ltla,Kensington and Chelsea,E09000020,2022-07-01,8,117187,14,107625,32,78966
ltla,Kensington and Chelsea,E09000020,2022-06-30,14,117179,13,107611,23,78934
ltla,Kensington and Chelsea,E09000020,2022-06-29,4,117165,7,107598,20,78911
ltla,Kensington and Chelsea,E09000020,2022-06-28,6,117161,21,107591,38,78891
ltla,Kensington and Chelsea,E09000020,2022-06-27,3,117155,6,107570,12,78853
ltla,Kensington and Chelsea,E09000020,2022-06-26,4,117152,5,107564,0,78841
ltla,Kensington and Chelsea,E09000020,2022-06-25,10,117148,21,107559,26,78841
ltla,Kensington and Chelsea,E09000020,2022-06-24,3,117138,17,107538,26,78815
ltla,Kensington and Chelsea,E09000020,2022-06-23,8,117135,8,107521,22,78789
ltla,Kensington and Chelsea,E09000020,2022-06-22,4,117127,8,107513,12,78767
ltla,Kensington and Chelsea,E09000020,2022-06-21,7,117123,10,107505,33,78755
ltla,Kensington and Chelsea,E09000020,2022-06-20,5,117116,5,107495,9,78722
ltla,Kensington and Chelsea,E09000020,2022-06-19,1,117111,4,107490,4,78713
ltla,Kensington and Chelsea,E09000020,2022-06-18,2,117110,13,107486,13,78709
ltla,Kensington and Chelsea,E09000020,2022-06-17,6,117108,11,107473,23,78696
ltla,Kensington and Chelsea,E09000020,2022-06-16,2,117102,11,107462,17,78673
ltla,Kensington and Chelsea,E09000020,2022-06-15,5,117100,9,107451,14,78656
ltla,Kensington and Chelsea,E09000020,2022-06-14,6,117095,12,107442,18,78642
ltla,Kensington and Chelsea,E09000020,2022-06-13,3,117089,5,107430,17,78624
ltla,Kensington and Chelsea,E09000020,2022-06-12,2,117086,8,107425,3,78607
ltla,Kensington and Chelsea,E09000020,2022-06-11,5,117084,24,107417,17,78604
ltla,Kensington and Chelsea,E09000020,2022-06-10,9,117079,13,107393,17,78587
ltla,Kensington and Chelsea,E09000020,2022-06-09,3,117070,9,107380,16,78570
ltla,Kensington and Chelsea,E09000020,2022-06-08,7,117067,8,107371,25,78554
ltla,Kensington and Chelsea,E09000020,2022-06-07,8,117060,8,107363,34,78529
ltla,Kensington and Chelsea,E09000020,2022-06-06,2,117052,4,107355,11,78495
ltla,Kensington and Chelsea,E09000020,2022-06-05,1,117050,2,107351,11,78484
ltla,Kensington and Chelsea,E09000020,2022-06-04,5,117049,9,107349,17,78473
ltla,Kensington and Chelsea,E09000020,2022-06-03,0,117044,1,107340,16,78456
ltla,Kensington and Chelsea,E09000020,2022-06-02,3,117044,9,107339,16,78440
ltla,Kensington and Chelsea,E09000020,2022-06-01,5,117041,12,107330,20,78424
ltla,Kensington and Chelsea,E09000020,2022-05-31,14,117036,20,107318,37,78404
ltla,Kensington and Chelsea,E09000020,2022-05-30,11,117022,8,107298,16,78367
ltla,Kensington and Chelsea,E09000020,2022-05-29,7,117011,20,107290,15,78351
ltla,Kensington and Chelsea,E09000020,2022-05-28,3,117004,15,107270,19,78336
ltla,Kensington and Chelsea,E09000020,2022-05-27,13,117001,22,107255,39,78317
ltla,Kensington and Chelsea,E09000020,2022-05-26,6,116988,6,107233,11,78278
ltla,Kensington and Chelsea,E09000020,2022-05-25,1,116982,8,107227,24,78267
ltla,Kensington and Chelsea,E09000020,2022-05-24,14,116981,11,107219,39,78243
ltla,Kensington and Chelsea,E09000020,2022-05-23,9,116967,11,107208,17,78204
ltla,Kensington and Chelsea,E09000020,2022-05-22,3,116958,7,107197,6,78187
ltla,Kensington and Chelsea,E09000020,2022-05-21,5,116955,9,107190,37,78181
ltla,Kensington and Chelsea,E09000020,2022-05-20,7,116950,16,107181,48,78144
ltla,Kensington and Chelsea,E09000020,2022-05-19,9,116943,6,107165,23,78096
ltla,Kensington and Chelsea,E09000020,2022-05-18,3,116934,11,107159,14,78073
ltla,Kensington and Chelsea,E09000020,2022-05-17,5,116931,20,107148,36,78059
ltla,Kensington and Chelsea,E09000020,2022-05-16,4,116926,5,107128,33,78023
ltla,Kensington and Chelsea,E09000020,2022-05-15,3,116922,4,107123,11,77990
ltla,Kensington and Chelsea,E09000020,2022-05-14,20,116919,31,107119,45,77979
ltla,Kensington and Chelsea,E09000020,2022-05-13,4,116899,20,107088,37,77934
ltla,Kensington and Chelsea,E09000020,2022-05-12,7,116895,10,107068,26,77897
ltla,Kensington and Chelsea,E09000020,2022-05-11,3,116888,13,107058,14,77871
ltla,Kensington and Chelsea,E09000020,2022-05-10,7,116885,22,107045,37,77857
ltla,Kensington and Chelsea,E09000020,2022-05-09,5,116878,9,107023,27,77820
ltla,Kensington and Chelsea,E09000020,2022-05-08,7,116873,14,107014,23,77793
ltla,Kensington and Chelsea,E09000020,2022-05-07,4,116866,22,107000,17,77770
ltla,Kensington and Chelsea,E09000020,2022-05-06,9,116862,25,106978,51,77753
ltla,Kensington and Chelsea,E09000020,2022-05-05,8,116853,10,106953,35,77702
ltla,Kensington and Chelsea,E09000020,2022-05-04,6,116845,10,106943,31,77667
ltla,Kensington and Chelsea,E09000020,2022-05-03,9,116839,33,106933,55,77636
ltla,Kensington and Chelsea,E09000020,2022-05-02,3,116830,3,106900,7,77581
ltla,Kensington and Chelsea,E09000020,2022-05-01,2,116827,4,106897,11,77574
ltla,Kensington and Chelsea,E09000020,2022-04-30,7,116825,10,106893,24,77563
ltla,Kensington and Chelsea,E09000020,2022-04-29,15,116818,28,106883,45,77539
ltla,Kensington and Chelsea,E09000020,2022-04-28,8,116803,14,106855,27,77494
ltla,Kensington and Chelsea,E09000020,2022-04-27,5,116795,10,106841,23,77467
ltla,Kensington and Chelsea,E09000020,2022-04-26,9,116790,23,106831,60,77444
