areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Kingston upon Thames,E09000021,2022-08-30,1,132947,8,126699,7,101027
ltla,Kingston upon Thames,E09000021,2022-08-29,0,132946,1,126691,2,101020
ltla,Kingston upon Thames,E09000021,2022-08-28,0,132946,0,126690,0,101018
ltla,Kingston upon Thames,E09000021,2022-08-27,11,132946,14,126690,16,101018
ltla,Kingston upon Thames,E09000021,2022-08-26,1,132935,5,126676,7,101002
ltla,Kingston upon Thames,E09000021,2022-08-25,3,132934,7,126671,6,100995
ltla,Kingston upon Thames,E09000021,2022-08-24,1,132931,11,126664,6,100989
ltla,Kingston upon Thames,E09000021,2022-08-23,0,132930,2,126653,5,100983
ltla,Kingston upon Thames,E09000021,2022-08-22,3,132930,3,126651,4,100978
ltla,Kingston upon Thames,E09000021,2022-08-21,0,132927,0,126648,2,100974
ltla,Kingston upon Thames,E09000021,2022-08-20,4,132927,19,126648,19,100972
ltla,Kingston upon Thames,E09000021,2022-08-19,0,132923,5,126629,5,100953
ltla,Kingston upon Thames,E09000021,2022-08-18,2,132923,2,126624,5,100948
ltla,Kingston upon Thames,E09000021,2022-08-17,3,132921,10,126622,8,100943
ltla,Kingston upon Thames,E09000021,2022-08-16,1,132918,4,126612,6,100935
ltla,Kingston upon Thames,E09000021,2022-08-15,2,132917,9,126608,13,100929
ltla,Kingston upon Thames,E09000021,2022-08-14,0,132915,0,126599,0,100916
ltla,Kingston upon Thames,E09000021,2022-08-13,8,132915,15,126599,21,100916
ltla,Kingston upon Thames,E09000021,2022-08-12,1,132907,5,126584,12,100895
ltla,Kingston upon Thames,E09000021,2022-08-11,1,132906,4,126579,5,100883
ltla,Kingston upon Thames,E09000021,2022-08-10,4,132905,5,126575,11,100878
ltla,Kingston upon Thames,E09000021,2022-08-09,1,132901,3,126570,6,100867
ltla,Kingston upon Thames,E09000021,2022-08-08,0,132900,6,126567,12,100861
ltla,Kingston upon Thames,E09000021,2022-08-07,0,132900,0,126561,0,100849
ltla,Kingston upon Thames,E09000021,2022-08-06,13,132900,32,126561,25,100849
ltla,Kingston upon Thames,E09000021,2022-08-05,3,132887,6,126529,12,100824
ltla,Kingston upon Thames,E09000021,2022-08-04,1,132884,8,126523,8,100812
ltla,Kingston upon Thames,E09000021,2022-08-03,4,132883,19,126515,11,100804
ltla,Kingston upon Thames,E09000021,2022-08-02,3,132879,11,126496,20,100793
