areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Lambeth,E09000022,2022-08-30,8,243227,6,228993,9,172809
ltla,Lambeth,E09000022,2022-08-29,1,243219,1,228987,5,172800
ltla,Lambeth,E09000022,2022-08-28,1,243218,2,228986,1,172795
ltla,Lambeth,E09000022,2022-08-27,2,243217,7,228984,15,172794
ltla,Lambeth,E09000022,2022-08-26,8,243215,9,228977,9,172779
ltla,Lambeth,E09000022,2022-08-25,3,243207,2,228968,8,172770
ltla,Lambeth,E09000022,2022-08-24,10,243204,22,228966,38,172762
ltla,Lambeth,E09000022,2022-08-23,5,243194,10,228944,11,172724
ltla,Lambeth,E09000022,2022-08-22,6,243189,6,228934,23,172713
ltla,Lambeth,E09000022,2022-08-21,1,243183,1,228928,2,172690
ltla,Lambeth,E09000022,2022-08-20,5,243182,9,228927,40,172688
ltla,Lambeth,E09000022,2022-08-19,1,243177,6,228918,8,172648
ltla,Lambeth,E09000022,2022-08-18,5,243176,7,228912,16,172640
ltla,Lambeth,E09000022,2022-08-17,15,243171,23,228905,47,172624
ltla,Lambeth,E09000022,2022-08-16,3,243156,7,228882,14,172577
ltla,Lambeth,E09000022,2022-08-15,3,243153,5,228875,16,172563
ltla,Lambeth,E09000022,2022-08-14,1,243150,0,228870,1,172547
ltla,Lambeth,E09000022,2022-08-13,12,243149,9,228870,20,172546
ltla,Lambeth,E09000022,2022-08-12,5,243137,6,228861,17,172526
ltla,Lambeth,E09000022,2022-08-11,6,243132,16,228855,12,172509
ltla,Lambeth,E09000022,2022-08-10,10,243126,14,228839,33,172497
ltla,Lambeth,E09000022,2022-08-09,1,243116,10,228825,21,172464
ltla,Lambeth,E09000022,2022-08-08,5,243115,20,228815,15,172443
ltla,Lambeth,E09000022,2022-08-07,0,243110,2,228795,1,172428
ltla,Lambeth,E09000022,2022-08-06,7,243110,14,228793,27,172427
ltla,Lambeth,E09000022,2022-08-05,6,243103,20,228779,18,172400
ltla,Lambeth,E09000022,2022-08-04,1,243097,7,228759,16,172382
ltla,Lambeth,E09000022,2022-08-03,11,243096,28,228752,51,172366
ltla,Lambeth,E09000022,2022-08-02,10,243085,11,228724,37,172315
