areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Lewisham,E09000023,2022-08-30,1,205668,13,193424,8,140978
ltla,Lewisham,E09000023,2022-08-29,0,205667,0,193411,4,140970
ltla,Lewisham,E09000023,2022-08-28,1,205667,2,193411,1,140966
ltla,Lewisham,E09000023,2022-08-27,2,205666,18,193409,25,140965
ltla,Lewisham,E09000023,2022-08-26,6,205664,11,193391,14,140940
ltla,Lewisham,E09000023,2022-08-25,0,205658,3,193380,7,140926
ltla,Lewisham,E09000023,2022-08-24,4,205658,5,193377,13,140919
ltla,Lewisham,E09000023,2022-08-23,2,205654,4,193372,15,140906
ltla,Lewisham,E09000023,2022-08-22,9,205652,15,193368,19,140891
ltla,Lewisham,E09000023,2022-08-21,4,205643,5,193353,2,140872
ltla,Lewisham,E09000023,2022-08-20,5,205639,16,193348,16,140870
ltla,Lewisham,E09000023,2022-08-19,11,205634,19,193332,28,140854
ltla,Lewisham,E09000023,2022-08-18,3,205623,4,193313,10,140826
ltla,Lewisham,E09000023,2022-08-17,3,205620,10,193309,12,140816
ltla,Lewisham,E09000023,2022-08-16,3,205617,6,193299,10,140804
ltla,Lewisham,E09000023,2022-08-15,5,205614,25,193293,31,140794
ltla,Lewisham,E09000023,2022-08-14,0,205609,3,193268,0,140763
ltla,Lewisham,E09000023,2022-08-13,10,205609,17,193265,18,140763
ltla,Lewisham,E09000023,2022-08-12,7,205599,14,193248,16,140745
ltla,Lewisham,E09000023,2022-08-11,4,205592,8,193234,17,140729
ltla,Lewisham,E09000023,2022-08-10,5,205588,15,193226,32,140712
ltla,Lewisham,E09000023,2022-08-09,2,205583,5,193211,17,140680
ltla,Lewisham,E09000023,2022-08-08,6,205581,23,193206,28,140663
ltla,Lewisham,E09000023,2022-08-07,0,205575,0,193183,0,140635
ltla,Lewisham,E09000023,2022-08-06,12,205575,24,193183,18,140635
ltla,Lewisham,E09000023,2022-08-05,8,205563,16,193159,25,140617
ltla,Lewisham,E09000023,2022-08-04,2,205555,10,193143,15,140592
ltla,Lewisham,E09000023,2022-08-03,9,205553,21,193133,28,140577
ltla,Lewisham,E09000023,2022-08-02,9,205544,5,193112,10,140549
ltla,Lewisham,E09000023,2022-08-01,8,205535,22,193107,47,140539
ltla,Lewisham,E09000023,2022-07-31,0,205527,0,193085,7,140492
ltla,Lewisham,E09000023,2022-07-30,11,205527,48,193085,48,140485
ltla,Lewisham,E09000023,2022-07-29,6,205516,24,193037,28,140437
ltla,Lewisham,E09000023,2022-07-28,3,205510,16,193013,26,140409
ltla,Lewisham,E09000023,2022-07-27,6,205507,13,192997,24,140383
ltla,Lewisham,E09000023,2022-07-26,0,205501,10,192984,26,140359
ltla,Lewisham,E09000023,2022-07-25,13,205501,57,192974,60,140333
ltla,Lewisham,E09000023,2022-07-24,1,205488,0,192917,0,140273
ltla,Lewisham,E09000023,2022-07-23,22,205487,54,192917,42,140273
ltla,Lewisham,E09000023,2022-07-22,5,205465,30,192863,23,140231
ltla,Lewisham,E09000023,2022-07-21,6,205460,21,192833,30,140208
ltla,Lewisham,E09000023,2022-07-20,5,205454,11,192812,12,140178
ltla,Lewisham,E09000023,2022-07-19,4,205449,8,192801,6,140166
ltla,Lewisham,E09000023,2022-07-18,15,205445,25,192793,33,140160
ltla,Lewisham,E09000023,2022-07-17,4,205430,5,192768,6,140127
ltla,Lewisham,E09000023,2022-07-16,13,205426,75,192763,40,140121
ltla,Lewisham,E09000023,2022-07-15,2,205413,36,192688,37,140081
ltla,Lewisham,E09000023,2022-07-14,10,205411,13,192652,23,140044
ltla,Lewisham,E09000023,2022-07-13,11,205401,22,192639,30,140021
ltla,Lewisham,E09000023,2022-07-12,8,205390,22,192617,25,139991
ltla,Lewisham,E09000023,2022-07-11,10,205382,42,192595,50,139966
ltla,Lewisham,E09000023,2022-07-10,0,205372,7,192553,14,139916
ltla,Lewisham,E09000023,2022-07-09,17,205372,75,192546,43,139902
ltla,Lewisham,E09000023,2022-07-08,7,205355,26,192471,20,139859
ltla,Lewisham,E09000023,2022-07-07,2,205348,14,192445,23,139839
ltla,Lewisham,E09000023,2022-07-06,6,205346,29,192431,33,139816
ltla,Lewisham,E09000023,2022-07-05,4,205340,15,192402,18,139783
ltla,Lewisham,E09000023,2022-07-04,13,205336,46,192387,49,139765
ltla,Lewisham,E09000023,2022-07-03,1,205323,2,192341,2,139716
ltla,Lewisham,E09000023,2022-07-02,12,205322,52,192339,58,139714
ltla,Lewisham,E09000023,2022-07-01,9,205310,15,192287,17,139656
ltla,Lewisham,E09000023,2022-06-30,12,205301,26,192272,64,139639
ltla,Lewisham,E09000023,2022-06-29,1,205289,20,192246,27,139575
ltla,Lewisham,E09000023,2022-06-28,2,205288,23,192226,25,139548
ltla,Lewisham,E09000023,2022-06-27,9,205286,39,192203,42,139523
ltla,Lewisham,E09000023,2022-06-26,1,205277,1,192164,0,139481
ltla,Lewisham,E09000023,2022-06-25,25,205276,60,192163,77,139481
ltla,Lewisham,E09000023,2022-06-24,8,205251,29,192103,32,139404
ltla,Lewisham,E09000023,2022-06-23,8,205243,18,192074,30,139372
ltla,Lewisham,E09000023,2022-06-22,6,205235,19,192056,31,139342
ltla,Lewisham,E09000023,2022-06-21,6,205229,14,192037,32,139311
ltla,Lewisham,E09000023,2022-06-20,8,205223,19,192023,55,139279
ltla,Lewisham,E09000023,2022-06-19,2,205215,4,192004,1,139224
ltla,Lewisham,E09000023,2022-06-18,24,205213,58,192000,56,139223
ltla,Lewisham,E09000023,2022-06-17,9,205189,25,191942,32,139167
ltla,Lewisham,E09000023,2022-06-16,5,205180,16,191917,28,139135
ltla,Lewisham,E09000023,2022-06-15,4,205175,15,191901,26,139107
ltla,Lewisham,E09000023,2022-06-14,9,205171,8,191886,25,139081
ltla,Lewisham,E09000023,2022-06-13,8,205162,22,191878,35,139056
ltla,Lewisham,E09000023,2022-06-12,2,205154,3,191856,5,139021
ltla,Lewisham,E09000023,2022-06-11,27,205152,45,191853,81,139016
ltla,Lewisham,E09000023,2022-06-10,7,205125,38,191808,43,138935
ltla,Lewisham,E09000023,2022-06-09,3,205118,18,191770,44,138892
ltla,Lewisham,E09000023,2022-06-08,6,205115,16,191752,29,138848
ltla,Lewisham,E09000023,2022-06-07,4,205109,16,191736,24,138819
ltla,Lewisham,E09000023,2022-06-06,11,205105,27,191720,44,138795
ltla,Lewisham,E09000023,2022-06-05,2,205094,2,191693,3,138751
ltla,Lewisham,E09000023,2022-06-04,10,205092,28,191691,27,138748
ltla,Lewisham,E09000023,2022-06-03,0,205082,1,191663,0,138721
ltla,Lewisham,E09000023,2022-06-02,0,205082,0,191662,5,138721
ltla,Lewisham,E09000023,2022-06-01,11,205082,51,191662,65,138716
ltla,Lewisham,E09000023,2022-05-31,20,205071,24,191611,37,138651
ltla,Lewisham,E09000023,2022-05-30,18,205051,49,191587,74,138614
ltla,Lewisham,E09000023,2022-05-29,1,205033,1,191538,4,138540
ltla,Lewisham,E09000023,2022-05-28,17,205032,37,191537,53,138536
ltla,Lewisham,E09000023,2022-05-27,17,205015,18,191500,49,138483
ltla,Lewisham,E09000023,2022-05-26,10,204998,22,191482,36,138434
ltla,Lewisham,E09000023,2022-05-25,7,204988,8,191460,35,138398
ltla,Lewisham,E09000023,2022-05-24,11,204981,10,191452,24,138363
ltla,Lewisham,E09000023,2022-05-23,13,204970,32,191442,47,138339
ltla,Lewisham,E09000023,2022-05-22,1,204957,4,191410,5,138292
ltla,Lewisham,E09000023,2022-05-21,33,204956,69,191406,54,138287
ltla,Lewisham,E09000023,2022-05-20,16,204923,32,191337,43,138233
ltla,Lewisham,E09000023,2022-05-19,13,204907,18,191305,55,138190
ltla,Lewisham,E09000023,2022-05-18,9,204894,19,191287,38,138135
ltla,Lewisham,E09000023,2022-05-17,2,204885,15,191268,32,138097
ltla,Lewisham,E09000023,2022-05-16,7,204883,35,191253,61,138065
ltla,Lewisham,E09000023,2022-05-15,1,204876,8,191218,4,138004
ltla,Lewisham,E09000023,2022-05-14,30,204875,74,191210,77,138000
ltla,Lewisham,E09000023,2022-05-13,13,204845,45,191136,36,137923
ltla,Lewisham,E09000023,2022-05-12,12,204832,22,191091,53,137887
ltla,Lewisham,E09000023,2022-05-11,23,204820,27,191069,56,137834
ltla,Lewisham,E09000023,2022-05-10,3,204797,19,191042,34,137778
ltla,Lewisham,E09000023,2022-05-09,11,204794,40,191023,55,137744
ltla,Lewisham,E09000023,2022-05-08,1,204783,2,190983,8,137689
ltla,Lewisham,E09000023,2022-05-07,43,204782,80,190981,79,137681
ltla,Lewisham,E09000023,2022-05-06,21,204739,40,190901,62,137602
ltla,Lewisham,E09000023,2022-05-05,21,204718,37,190861,62,137540
ltla,Lewisham,E09000023,2022-05-04,14,204697,25,190824,42,137478
ltla,Lewisham,E09000023,2022-05-03,17,204683,37,190799,58,137436
ltla,Lewisham,E09000023,2022-05-02,3,204666,5,190762,6,137378
ltla,Lewisham,E09000023,2022-05-01,1,204663,0,190757,3,137372
ltla,Lewisham,E09000023,2022-04-30,48,204662,81,190757,79,137369
