areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Merton,E09000024,2022-08-30,,161950,1,153743,4,116330
ltla,Merton,E09000024,2022-08-29,,161950,2,153742,4,116326
ltla,Merton,E09000024,2022-08-28,,161950,0,153740,0,116322
ltla,Merton,E09000024,2022-08-27,6,161950,13,153740,11,116322
ltla,Merton,E09000024,2022-08-26,4,161944,14,153727,7,116311
ltla,Merton,E09000024,2022-08-25,4,161940,4,153713,14,116304
ltla,Merton,E09000024,2022-08-24,5,161936,20,153709,20,116290
ltla,Merton,E09000024,2022-08-23,0,161931,0,153689,8,116270
ltla,Merton,E09000024,2022-08-22,3,161931,7,153689,10,116262
ltla,Merton,E09000024,2022-08-21,0,161928,1,153682,0,116252
ltla,Merton,E09000024,2022-08-20,5,161928,12,153681,14,116252
ltla,Merton,E09000024,2022-08-19,4,161923,3,153669,7,116238
ltla,Merton,E09000024,2022-08-18,3,161919,6,153666,12,116231
ltla,Merton,E09000024,2022-08-17,5,161916,18,153660,18,116219
ltla,Merton,E09000024,2022-08-16,3,161911,1,153642,4,116201
ltla,Merton,E09000024,2022-08-15,3,161908,10,153641,11,116197
ltla,Merton,E09000024,2022-08-14,1,161905,1,153631,0,116186
ltla,Merton,E09000024,2022-08-13,7,161904,13,153630,19,116186
ltla,Merton,E09000024,2022-08-12,5,161897,14,153617,24,116167
ltla,Merton,E09000024,2022-08-11,2,161892,10,153603,19,116143
ltla,Merton,E09000024,2022-08-10,5,161890,20,153593,20,116124
ltla,Merton,E09000024,2022-08-09,1,161885,6,153573,2,116104
ltla,Merton,E09000024,2022-08-08,3,161884,8,153567,16,116102
ltla,Merton,E09000024,2022-08-07,0,161881,1,153559,2,116086
ltla,Merton,E09000024,2022-08-06,5,161881,19,153558,25,116084
ltla,Merton,E09000024,2022-08-05,3,161876,9,153539,10,116059
ltla,Merton,E09000024,2022-08-04,6,161873,17,153530,13,116049
ltla,Merton,E09000024,2022-08-03,10,161867,36,153513,27,116036
ltla,Merton,E09000024,2022-08-02,2,161857,1,153477,2,116009
ltla,Merton,E09000024,2022-08-01,3,161855,12,153476,9,116007
ltla,Merton,E09000024,2022-07-31,0,161852,5,153464,3,115998
ltla,Merton,E09000024,2022-07-30,8,161852,19,153459,40,115995
ltla,Merton,E09000024,2022-07-29,8,161844,20,153440,22,115955
ltla,Merton,E09000024,2022-07-28,7,161836,21,153420,25,115933
ltla,Merton,E09000024,2022-07-27,7,161829,40,153399,34,115908
ltla,Merton,E09000024,2022-07-26,9,161822,5,153359,19,115874
ltla,Merton,E09000024,2022-07-25,5,161813,24,153354,21,115855
ltla,Merton,E09000024,2022-07-24,0,161808,1,153330,1,115834
ltla,Merton,E09000024,2022-07-23,8,161808,46,153329,49,115833
ltla,Merton,E09000024,2022-07-22,5,161800,20,153283,30,115784
ltla,Merton,E09000024,2022-07-21,3,161795,38,153263,31,115754
ltla,Merton,E09000024,2022-07-20,9,161792,32,153225,34,115723
ltla,Merton,E09000024,2022-07-19,1,161783,2,153193,9,115689
ltla,Merton,E09000024,2022-07-18,2,161782,10,153191,15,115680
ltla,Merton,E09000024,2022-07-17,0,161780,1,153181,2,115665
ltla,Merton,E09000024,2022-07-16,15,161780,41,153180,51,115663
ltla,Merton,E09000024,2022-07-15,3,161765,35,153139,27,115612
ltla,Merton,E09000024,2022-07-14,4,161762,25,153104,24,115585
ltla,Merton,E09000024,2022-07-13,6,161758,53,153079,40,115561
ltla,Merton,E09000024,2022-07-12,2,161752,15,153026,17,115521
ltla,Merton,E09000024,2022-07-11,2,161750,18,153011,24,115504
ltla,Merton,E09000024,2022-07-10,0,161748,2,152993,1,115480
ltla,Merton,E09000024,2022-07-09,8,161748,43,152991,47,115479
ltla,Merton,E09000024,2022-07-08,1,161740,22,152948,21,115432
ltla,Merton,E09000024,2022-07-07,5,161739,22,152926,50,115411
ltla,Merton,E09000024,2022-07-06,8,161734,55,152904,44,115361
ltla,Merton,E09000024,2022-07-05,2,161726,7,152849,14,115317
