areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Newham,E09000025,2022-08-30,14,246148,35,226178,28,136729
ltla,Newham,E09000025,2022-08-29,0,246134,0,226143,0,136701
ltla,Newham,E09000025,2022-08-28,0,246134,4,226143,1,136701
ltla,Newham,E09000025,2022-08-27,12,246134,17,226139,22,136700
ltla,Newham,E09000025,2022-08-26,18,246122,19,226122,24,136678
ltla,Newham,E09000025,2022-08-25,10,246104,23,226103,16,136654
ltla,Newham,E09000025,2022-08-24,13,246094,29,226080,31,136638
ltla,Newham,E09000025,2022-08-23,4,246081,18,226051,18,136607
ltla,Newham,E09000025,2022-08-22,15,246077,39,226033,27,136589
ltla,Newham,E09000025,2022-08-21,4,246062,3,225994,2,136562
ltla,Newham,E09000025,2022-08-20,7,246058,15,225991,22,136560
ltla,Newham,E09000025,2022-08-19,9,246051,11,225976,25,136538
ltla,Newham,E09000025,2022-08-18,12,246042,19,225965,22,136513
ltla,Newham,E09000025,2022-08-17,12,246030,44,225946,25,136491
ltla,Newham,E09000025,2022-08-16,10,246018,17,225902,23,136466
ltla,Newham,E09000025,2022-08-15,12,246008,31,225885,34,136443
ltla,Newham,E09000025,2022-08-14,0,245996,0,225854,2,136409
ltla,Newham,E09000025,2022-08-13,12,245996,19,225854,28,136407
ltla,Newham,E09000025,2022-08-12,12,245984,26,225835,27,136379
ltla,Newham,E09000025,2022-08-11,12,245972,19,225809,22,136352
ltla,Newham,E09000025,2022-08-10,19,245960,28,225790,19,136330
ltla,Newham,E09000025,2022-08-09,8,245941,20,225762,27,136311
ltla,Newham,E09000025,2022-08-08,14,245933,17,225742,45,136284
ltla,Newham,E09000025,2022-08-07,3,245919,3,225725,6,136239
ltla,Newham,E09000025,2022-08-06,18,245916,37,225722,23,136233
ltla,Newham,E09000025,2022-08-05,16,245898,34,225685,27,136210
ltla,Newham,E09000025,2022-08-04,10,245882,25,225651,20,136183
ltla,Newham,E09000025,2022-08-03,11,245872,39,225626,40,136163
ltla,Newham,E09000025,2022-08-02,22,245861,28,225587,37,136123
ltla,Newham,E09000025,2022-08-01,22,245839,41,225559,40,136086
ltla,Newham,E09000025,2022-07-31,3,245817,3,225518,6,136046
ltla,Newham,E09000025,2022-07-30,8,245814,20,225515,32,136040
ltla,Newham,E09000025,2022-07-29,28,245806,35,225495,45,136008
ltla,Newham,E09000025,2022-07-28,11,245778,35,225460,29,135963
ltla,Newham,E09000025,2022-07-27,18,245767,39,225425,67,135934
ltla,Newham,E09000025,2022-07-26,15,245749,49,225386,45,135867
ltla,Newham,E09000025,2022-07-25,18,245734,51,225337,58,135822
ltla,Newham,E09000025,2022-07-24,1,245716,13,225286,19,135764
ltla,Newham,E09000025,2022-07-23,21,245715,51,225273,34,135745
ltla,Newham,E09000025,2022-07-22,15,245694,52,225222,53,135711
ltla,Newham,E09000025,2022-07-21,9,245679,46,225170,37,135658
ltla,Newham,E09000025,2022-07-20,12,245670,56,225124,61,135621
ltla,Newham,E09000025,2022-07-19,12,245658,35,225068,18,135560
ltla,Newham,E09000025,2022-07-18,9,245646,29,225033,27,135542
ltla,Newham,E09000025,2022-07-17,1,245637,1,225004,10,135515
ltla,Newham,E09000025,2022-07-16,15,245636,67,225003,40,135505
ltla,Newham,E09000025,2022-07-15,14,245621,43,224936,40,135465
ltla,Newham,E09000025,2022-07-14,10,245607,42,224893,31,135425
ltla,Newham,E09000025,2022-07-13,23,245597,44,224851,46,135394
ltla,Newham,E09000025,2022-07-12,13,245574,79,224807,63,135348
ltla,Newham,E09000025,2022-07-11,26,245561,54,224728,51,135285
ltla,Newham,E09000025,2022-07-10,4,245535,2,224674,7,135234
ltla,Newham,E09000025,2022-07-09,15,245531,57,224672,38,135227
ltla,Newham,E09000025,2022-07-08,24,245516,56,224615,49,135189
ltla,Newham,E09000025,2022-07-07,10,245492,19,224559,39,135140
ltla,Newham,E09000025,2022-07-06,11,245482,49,224540,55,135101
ltla,Newham,E09000025,2022-07-05,9,245471,57,224491,56,135046
ltla,Newham,E09000025,2022-07-04,11,245462,64,224434,63,134990
ltla,Newham,E09000025,2022-07-03,7,245451,14,224370,12,134927
ltla,Newham,E09000025,2022-07-02,18,245444,102,224356,54,134915
ltla,Newham,E09000025,2022-07-01,22,245426,84,224254,61,134861
ltla,Newham,E09000025,2022-06-30,14,245404,40,224170,32,134800
ltla,Newham,E09000025,2022-06-29,20,245390,57,224130,43,134768
ltla,Newham,E09000025,2022-06-28,14,245370,54,224073,50,134725
ltla,Newham,E09000025,2022-06-27,10,245356,39,224019,59,134675
ltla,Newham,E09000025,2022-06-26,4,245346,11,223980,22,134616
ltla,Newham,E09000025,2022-06-25,17,245342,61,223969,71,134594
ltla,Newham,E09000025,2022-06-24,16,245325,43,223908,48,134523
ltla,Newham,E09000025,2022-06-23,10,245309,24,223865,33,134475
ltla,Newham,E09000025,2022-06-22,18,245299,44,223841,37,134442
ltla,Newham,E09000025,2022-06-21,17,245281,44,223797,50,134405
ltla,Newham,E09000025,2022-06-20,12,245264,63,223753,49,134355
ltla,Newham,E09000025,2022-06-19,5,245252,5,223690,12,134306
ltla,Newham,E09000025,2022-06-18,19,245247,85,223685,53,134294
ltla,Newham,E09000025,2022-06-17,16,245228,54,223600,43,134241
ltla,Newham,E09000025,2022-06-16,13,245212,38,223546,47,134198
ltla,Newham,E09000025,2022-06-15,22,245199,51,223508,44,134151
ltla,Newham,E09000025,2022-06-14,24,245177,31,223457,39,134107
ltla,Newham,E09000025,2022-06-13,15,245153,36,223426,63,134068
ltla,Newham,E09000025,2022-06-12,4,245138,17,223390,14,134005
ltla,Newham,E09000025,2022-06-11,19,245134,85,223373,72,133991
ltla,Newham,E09000025,2022-06-10,19,245115,81,223288,57,133919
ltla,Newham,E09000025,2022-06-09,11,245096,30,223207,59,133862
ltla,Newham,E09000025,2022-06-08,30,245085,50,223177,70,133803
ltla,Newham,E09000025,2022-06-07,17,245055,36,223127,60,133733
ltla,Newham,E09000025,2022-06-06,27,245038,48,223091,70,133673
ltla,Newham,E09000025,2022-06-05,3,245011,6,223043,15,133603
ltla,Newham,E09000025,2022-06-04,12,245008,48,223037,47,133588
ltla,Newham,E09000025,2022-06-03,1,244996,16,222989,9,133541
ltla,Newham,E09000025,2022-06-02,6,244995,10,222973,10,133532
ltla,Newham,E09000025,2022-06-01,31,244989,73,222963,93,133522
ltla,Newham,E09000025,2022-05-31,31,244958,69,222890,51,133429
ltla,Newham,E09000025,2022-05-30,37,244927,79,222821,64,133378
ltla,Newham,E09000025,2022-05-29,6,244890,9,222742,17,133314
ltla,Newham,E09000025,2022-05-28,19,244884,61,222733,71,133297
ltla,Newham,E09000025,2022-05-27,18,244865,48,222672,35,133226
ltla,Newham,E09000025,2022-05-26,10,244847,28,222624,38,133191
ltla,Newham,E09000025,2022-05-25,21,244837,40,222596,74,133153
ltla,Newham,E09000025,2022-05-24,20,244816,36,222556,49,133079
ltla,Newham,E09000025,2022-05-23,12,244796,38,222520,51,133030
ltla,Newham,E09000025,2022-05-22,8,244784,13,222482,15,132979
ltla,Newham,E09000025,2022-05-21,29,244776,48,222469,70,132964
ltla,Newham,E09000025,2022-05-20,34,244747,67,222421,74,132894
ltla,Newham,E09000025,2022-05-19,22,244713,33,222354,66,132820
ltla,Newham,E09000025,2022-05-18,23,244691,51,222321,73,132754
ltla,Newham,E09000025,2022-05-17,24,244668,35,222270,54,132681
ltla,Newham,E09000025,2022-05-16,18,244644,46,222235,60,132627
ltla,Newham,E09000025,2022-05-15,5,244626,20,222189,12,132567
ltla,Newham,E09000025,2022-05-14,41,244621,60,222169,67,132555
ltla,Newham,E09000025,2022-05-13,34,244580,54,222109,79,132488
ltla,Newham,E09000025,2022-05-12,33,244546,43,222055,65,132409
ltla,Newham,E09000025,2022-05-11,27,244513,64,222012,85,132344
ltla,Newham,E09000025,2022-05-10,20,244486,36,221948,57,132259
ltla,Newham,E09000025,2022-05-09,38,244466,62,221912,85,132202
ltla,Newham,E09000025,2022-05-08,5,244428,8,221850,13,132117
ltla,Newham,E09000025,2022-05-07,41,244423,64,221842,101,132104
ltla,Newham,E09000025,2022-05-06,43,244382,63,221778,61,132003
ltla,Newham,E09000025,2022-05-05,30,244339,55,221715,78,131942
ltla,Newham,E09000025,2022-05-04,30,244309,55,221660,85,131864
ltla,Newham,E09000025,2022-05-03,26,244279,44,221605,62,131779
ltla,Newham,E09000025,2022-05-02,1,244253,3,221561,4,131717
ltla,Newham,E09000025,2022-05-01,10,244252,8,221558,15,131713
ltla,Newham,E09000025,2022-04-30,31,244242,46,221550,77,131698
ltla,Newham,E09000025,2022-04-29,46,244211,71,221504,71,131621
ltla,Newham,E09000025,2022-04-28,19,244165,38,221433,54,131550
ltla,Newham,E09000025,2022-04-27,39,244146,41,221395,72,131496
ltla,Newham,E09000025,2022-04-26,28,244107,33,221354,49,131424
ltla,Newham,E09000025,2022-04-25,32,244079,58,221321,60,131375
ltla,Newham,E09000025,2022-04-24,12,244047,43,221263,28,131315
ltla,Newham,E09000025,2022-04-23,50,244035,85,221220,62,131287
ltla,Newham,E09000025,2022-04-22,49,243985,78,221135,82,131225
ltla,Newham,E09000025,2022-04-21,26,243936,40,221057,63,131143
ltla,Newham,E09000025,2022-04-20,43,243910,99,221017,77,131080
ltla,Newham,E09000025,2022-04-19,30,243867,75,220918,69,131003
ltla,Newham,E09000025,2022-04-18,19,243837,3,220843,10,130934
ltla,Newham,E09000025,2022-04-17,2,243818,2,220840,5,130924
ltla,Newham,E09000025,2022-04-16,58,243816,103,220838,52,130919
ltla,Newham,E09000025,2022-04-15,19,243758,27,220735,12,130867
ltla,Newham,E09000025,2022-04-14,45,243739,98,220708,73,130855
ltla,Newham,E09000025,2022-04-13,72,243694,94,220610,86,130782
ltla,Newham,E09000025,2022-04-12,51,243622,85,220516,111,130696
ltla,Newham,E09000025,2022-04-11,64,243571,68,220431,82,130585
ltla,Newham,E09000025,2022-04-10,11,243507,15,220363,22,130503
ltla,Newham,E09000025,2022-04-09,33,243496,119,220348,106,130481
ltla,Newham,E09000025,2022-04-08,44,243463,100,220229,113,130375
ltla,Newham,E09000025,2022-04-07,38,243419,62,220129,71,130262
ltla,Newham,E09000025,2022-04-06,40,243381,90,220067,82,130191
ltla,Newham,E09000025,2022-04-05,30,243341,62,219977,84,130109
ltla,Newham,E09000025,2022-04-04,43,243311,84,219915,80,130025
ltla,Newham,E09000025,2022-04-03,9,243268,11,219831,18,129945
ltla,Newham,E09000025,2022-04-02,38,243259,102,219820,105,129927
ltla,Newham,E09000025,2022-04-01,44,243221,122,219718,96,129822
ltla,Newham,E09000025,2022-03-31,21,243177,90,219596,81,129726
ltla,Newham,E09000025,2022-03-30,57,243156,125,219506,124,129645
ltla,Newham,E09000025,2022-03-29,32,243099,89,219381,112,129521
ltla,Newham,E09000025,2022-03-28,42,243067,140,219292,117,129409
ltla,Newham,E09000025,2022-03-27,4,243025,25,219152,31,129292
ltla,Newham,E09000025,2022-03-26,64,243021,143,219127,138,129261
ltla,Newham,E09000025,2022-03-25,62,242957,135,218984,124,129123
ltla,Newham,E09000025,2022-03-24,36,242895,93,218849,90,128999
ltla,Newham,E09000025,2022-03-23,40,242859,90,218756,88,128909
ltla,Newham,E09000025,2022-03-22,70,242819,114,218666,103,128821
ltla,Newham,E09000025,2022-03-21,38,242749,71,218552,104,128718
ltla,Newham,E09000025,2022-03-20,34,242711,60,218481,52,128614
ltla,Newham,E09000025,2022-03-19,36,242677,147,218421,160,128562
ltla,Newham,E09000025,2022-03-18,65,242641,152,218274,124,128402
ltla,Newham,E09000025,2022-03-17,44,242576,134,218122,121,128278
ltla,Newham,E09000025,2022-03-16,57,242532,81,217988,104,128157
ltla,Newham,E09000025,2022-03-15,39,242475,91,217907,142,128053
ltla,Newham,E09000025,2022-03-14,43,242436,102,217816,119,127911
ltla,Newham,E09000025,2022-03-13,23,242393,49,217714,72,127792
ltla,Newham,E09000025,2022-03-12,60,242370,163,217665,162,127720
ltla,Newham,E09000025,2022-03-11,66,242310,145,217502,120,127558
ltla,Newham,E09000025,2022-03-10,30,242244,117,217357,93,127438
ltla,Newham,E09000025,2022-03-09,45,242214,128,217240,114,127345
ltla,Newham,E09000025,2022-03-08,46,242169,110,217112,107,127231
ltla,Newham,E09000025,2022-03-07,47,242123,103,217002,109,127124
ltla,Newham,E09000025,2022-03-06,33,242076,53,216899,66,127015
ltla,Newham,E09000025,2022-03-05,51,242043,157,216846,216,126949
ltla,Newham,E09000025,2022-03-04,50,241992,105,216689,129,126733
ltla,Newham,E09000025,2022-03-03,50,241942,89,216584,101,126604
ltla,Newham,E09000025,2022-03-02,49,241892,77,216495,114,126503
ltla,Newham,E09000025,2022-03-01,45,241843,76,216418,139,126389
ltla,Newham,E09000025,2022-02-28,43,241798,83,216342,147,126250
ltla,Newham,E09000025,2022-02-27,36,241755,74,216259,86,126103
ltla,Newham,E09000025,2022-02-26,88,241719,218,216185,232,126017
ltla,Newham,E09000025,2022-02-25,71,241631,157,215967,193,125785
ltla,Newham,E09000025,2022-02-24,52,241560,89,215810,121,125592
ltla,Newham,E09000025,2022-02-23,56,241508,118,215721,201,125471
ltla,Newham,E09000025,2022-02-22,39,241452,77,215603,128,125270
ltla,Newham,E09000025,2022-02-21,55,241413,65,215526,115,125142
ltla,Newham,E09000025,2022-02-20,42,241358,81,215461,70,125027
ltla,Newham,E09000025,2022-02-19,94,241316,140,215380,245,124957
ltla,Newham,E09000025,2022-02-18,52,241222,109,215240,134,124712
ltla,Newham,E09000025,2022-02-17,87,241170,167,215131,199,124578
ltla,Newham,E09000025,2022-02-16,63,241083,159,214964,222,124379
ltla,Newham,E09000025,2022-02-15,60,241020,135,214805,207,124157
ltla,Newham,E09000025,2022-02-14,62,240960,130,214670,203,123950
ltla,Newham,E09000025,2022-02-13,59,240898,103,214540,121,123747
ltla,Newham,E09000025,2022-02-12,103,240839,222,214437,408,123626
ltla,Newham,E09000025,2022-02-11,60,240736,195,214215,337,123218
ltla,Newham,E09000025,2022-02-10,68,240676,120,214020,208,122881
ltla,Newham,E09000025,2022-02-09,90,240608,216,213900,191,122673
ltla,Newham,E09000025,2022-02-08,72,240518,119,213684,236,122482
ltla,Newham,E09000025,2022-02-07,75,240446,113,213565,244,122246
ltla,Newham,E09000025,2022-02-06,41,240371,68,213452,129,122002
ltla,Newham,E09000025,2022-02-05,112,240330,240,213384,380,121873
ltla,Newham,E09000025,2022-02-04,97,240218,143,213144,283,121493
ltla,Newham,E09000025,2022-02-03,111,240121,141,213001,258,121210
ltla,Newham,E09000025,2022-02-02,97,240010,119,212860,236,120952
ltla,Newham,E09000025,2022-02-01,104,239913,135,212741,261,120716
ltla,Newham,E09000025,2022-01-31,119,239809,111,212606,227,120455
ltla,Newham,E09000025,2022-01-30,84,239690,113,212495,163,120228
ltla,Newham,E09000025,2022-01-29,191,239606,274,212382,539,120065
ltla,Newham,E09000025,2022-01-28,160,239415,209,212108,386,119526
ltla,Newham,E09000025,2022-01-27,120,239255,132,211899,320,119140
ltla,Newham,E09000025,2022-01-26,85,239135,112,211767,314,118820
ltla,Newham,E09000025,2022-01-25,133,239050,143,211655,356,118506
ltla,Newham,E09000025,2022-01-24,110,238917,141,211512,420,118150
ltla,Newham,E09000025,2022-01-23,72,238807,87,211371,172,117730
ltla,Newham,E09000025,2022-01-22,170,238735,322,211284,708,117558
ltla,Newham,E09000025,2022-01-21,178,238565,165,210962,456,116850
ltla,Newham,E09000025,2022-01-20,148,238387,129,210797,363,116394
ltla,Newham,E09000025,2022-01-19,140,238239,111,210668,346,116031
ltla,Newham,E09000025,2022-01-18,140,238099,139,210557,464,115685
ltla,Newham,E09000025,2022-01-17,140,237959,152,210418,476,115221
ltla,Newham,E09000025,2022-01-16,103,237819,116,210266,383,114745
ltla,Newham,E09000025,2022-01-15,241,237716,278,210150,937,114362
ltla,Newham,E09000025,2022-01-14,171,237475,167,209872,693,113425
ltla,Newham,E09000025,2022-01-13,182,237304,133,209705,627,112732
ltla,Newham,E09000025,2022-01-12,179,237122,189,209572,609,112105
ltla,Newham,E09000025,2022-01-11,143,236943,129,209383,689,111496
ltla,Newham,E09000025,2022-01-10,164,236800,151,209254,877,110807
ltla,Newham,E09000025,2022-01-09,169,236636,120,209103,765,109930
