areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Redbridge,E09000026,2022-08-30,5,218318,26,205001,37,137827
ltla,Redbridge,E09000026,2022-08-29,0,218313,0,204975,1,137790
ltla,Redbridge,E09000026,2022-08-28,2,218313,5,204975,0,137789
ltla,Redbridge,E09000026,2022-08-27,4,218311,23,204970,19,137789
ltla,Redbridge,E09000026,2022-08-26,11,218307,26,204947,14,137770
ltla,Redbridge,E09000026,2022-08-25,5,218296,17,204921,7,137756
ltla,Redbridge,E09000026,2022-08-24,5,218291,8,204904,11,137749
ltla,Redbridge,E09000026,2022-08-23,22,218286,13,204896,19,137738
ltla,Redbridge,E09000026,2022-08-22,6,218264,18,204883,23,137719
ltla,Redbridge,E09000026,2022-08-21,3,218258,3,204865,6,137696
ltla,Redbridge,E09000026,2022-08-20,14,218255,23,204862,14,137690
ltla,Redbridge,E09000026,2022-08-19,13,218241,22,204839,17,137676
ltla,Redbridge,E09000026,2022-08-18,4,218228,10,204817,12,137659
ltla,Redbridge,E09000026,2022-08-17,10,218224,18,204807,23,137647
ltla,Redbridge,E09000026,2022-08-16,4,218214,14,204789,14,137624
ltla,Redbridge,E09000026,2022-08-15,6,218210,21,204775,17,137610
ltla,Redbridge,E09000026,2022-08-14,2,218204,2,204754,4,137593
ltla,Redbridge,E09000026,2022-08-13,7,218202,19,204752,28,137589
ltla,Redbridge,E09000026,2022-08-12,25,218195,26,204733,13,137561
ltla,Redbridge,E09000026,2022-08-11,9,218170,9,204707,9,137548
ltla,Redbridge,E09000026,2022-08-10,6,218161,11,204698,19,137539
ltla,Redbridge,E09000026,2022-08-09,3,218155,17,204687,14,137520
ltla,Redbridge,E09000026,2022-08-08,7,218152,12,204670,23,137506
ltla,Redbridge,E09000026,2022-08-07,3,218145,5,204658,6,137483
ltla,Redbridge,E09000026,2022-08-06,11,218142,40,204653,41,137477
ltla,Redbridge,E09000026,2022-08-05,16,218131,36,204613,20,137436
ltla,Redbridge,E09000026,2022-08-04,8,218115,18,204577,21,137416
ltla,Redbridge,E09000026,2022-08-03,11,218107,29,204559,16,137395
ltla,Redbridge,E09000026,2022-08-02,3,218096,21,204530,23,137379
ltla,Redbridge,E09000026,2022-08-01,8,218093,21,204509,25,137356
ltla,Redbridge,E09000026,2022-07-31,2,218085,6,204488,5,137331
ltla,Redbridge,E09000026,2022-07-30,13,218083,35,204482,40,137326
ltla,Redbridge,E09000026,2022-07-29,20,218070,70,204447,35,137286
ltla,Redbridge,E09000026,2022-07-28,13,218050,23,204377,27,137251
