areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Richmond upon Thames,E09000027,2022/8/30,8,157095,13,151038,18,124398
ltla,Richmond upon Thames,E09000027,2022/8/29,0,157087,2,151025,0,124380
ltla,Richmond upon Thames,E09000027,2022/8/28,2,157087,1,151023,2,124380
ltla,Richmond upon Thames,E09000027,2022/8/27,0,157085,5,151022,12,124378
ltla,Richmond upon Thames,E09000027,2022/8/26,0,157085,3,151017,5,124366
ltla,Richmond upon Thames,E09000027,2022/8/25,1,157085,5,151014,4,124361
ltla,Richmond upon Thames,E09000027,2022/8/24,2,157084,10,151009,16,124357
ltla,Richmond upon Thames,E09000027,2022/8/23,3,157082,6,150999,9,124341
ltla,Richmond upon Thames,E09000027,2022/8/22,1,157079,7,150993,8,124332
ltla,Richmond upon Thames,E09000027,2022/8/21,0,157078,3,150986,1,124324
ltla,Richmond upon Thames,E09000027,2022/8/20,6,157078,26,150983,14,124323
ltla,Richmond upon Thames,E09000027,2022/8/19,3,157072,2,150957,10,124309
ltla,Richmond upon Thames,E09000027,2022/8/18,3,157069,7,150955,6,124299
ltla,Richmond upon Thames,E09000027,2022/8/17,6,157066,24,150948,12,124293
ltla,Richmond upon Thames,E09000027,2022/8/16,3,157060,5,150924,16,124281
ltla,Richmond upon Thames,E09000027,2022/8/15,1,157057,1,150919,11,124265
ltla,Richmond upon Thames,E09000027,2022/8/14,2,157056,1,150918,2,124254
ltla,Richmond upon Thames,E09000027,2022/8/13,7,157054,20,150917,17,124252
ltla,Richmond upon Thames,E09000027,2022/8/12,1,157047,7,150897,10,124235
ltla,Richmond upon Thames,E09000027,2022/8/11,0,157046,4,150890,2,124225
ltla,Richmond upon Thames,E09000027,2022/8/10,5,157046,16,150886,10,124223
ltla,Richmond upon Thames,E09000027,2022/8/9,0,157041,5,150870,3,124213
ltla,Richmond upon Thames,E09000027,2022/8/8,2,157041,7,150865,14,124210
ltla,Richmond upon Thames,E09000027,2022/8/7,0,157039,0,150858,3,124196
ltla,Richmond upon Thames,E09000027,2022/8/6,1,157039,25,150858,11,124193
ltla,Richmond upon Thames,E09000027,2022/8/5,2,157038,11,150833,13,124182
ltla,Richmond upon Thames,E09000027,2022/8/4,1,157036,5,150822,7,124169
ltla,Richmond upon Thames,E09000027,2022/8/3,2,157035,17,150817,6,124162
ltla,Richmond upon Thames,E09000027,2022/8/2,3,157033,9,150800,9,124156
ltla,Richmond upon Thames,E09000027,2022/8/1,4,157030,11,150791,17,124147
ltla,Richmond upon Thames,E09000027,2022/7/31,1,157026,5,150780,4,124130
ltla,Richmond upon Thames,E09000027,2022/7/30,11,157025,30,150775,12,124126
ltla,Richmond upon Thames,E09000027,2022/7/29,4,157014,11,150745,20,124114
ltla,Richmond upon Thames,E09000027,2022/7/28,2,157010,13,150734,6,124094
ltla,Richmond upon Thames,E09000027,2022/7/27,3,157008,19,150721,13,124088
ltla,Richmond upon Thames,E09000027,2022/7/26,0,157005,6,150702,30,124075
ltla,Richmond upon Thames,E09000027,2022/7/25,7,157005,13,150696,37,124045
ltla,Richmond upon Thames,E09000027,2022/7/24,1,156998,3,150683,2,124008
ltla,Richmond upon Thames,E09000027,2022/7/23,3,156997,34,150680,17,124006
ltla,Richmond upon Thames,E09000027,2022/7/22,3,156994,30,150646,23,123989
ltla,Richmond upon Thames,E09000027,2022/7/21,1,156991,15,150616,17,123966
ltla,Richmond upon Thames,E09000027,2022/7/20,0,156990,20,150601,7,123949
ltla,Richmond upon Thames,E09000027,2022/7/19,1,156990,6,150581,28,123942
ltla,Richmond upon Thames,E09000027,2022/7/18,5,156989,24,150575,28,123914
ltla,Richmond upon Thames,E09000027,2022/7/17,0,156984,5,150551,7,123886
ltla,Richmond upon Thames,E09000027,2022/7/16,12,156984,59,150546,14,123879
ltla,Richmond upon Thames,E09000027,2022/7/15,5,156972,20,150487,24,123865
ltla,Richmond upon Thames,E09000027,2022/7/14,4,156967,13,150467,18,123841
