areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Southwark,E09000028,2022-08-30,2,234745,12,218701,7,161858
ltla,Southwark,E09000028,2022-08-29,0,234743,3,218689,2,161851
ltla,Southwark,E09000028,2022-08-28,1,234743,3,218686,3,161849
ltla,Southwark,E09000028,2022-08-27,13,234742,20,218683,19,161846
ltla,Southwark,E09000028,2022-08-26,6,234729,8,218663,10,161827
ltla,Southwark,E09000028,2022-08-25,4,234723,7,218655,22,161817
ltla,Southwark,E09000028,2022-08-24,6,234719,9,218648,15,161795
ltla,Southwark,E09000028,2022-08-23,2,234713,11,218639,17,161780
ltla,Southwark,E09000028,2022-08-22,7,234711,13,218628,36,161763
ltla,Southwark,E09000028,2022-08-21,0,234704,0,218615,2,161727
ltla,Southwark,E09000028,2022-08-20,7,234704,23,218615,28,161725
ltla,Southwark,E09000028,2022-08-19,3,234697,7,218592,8,161697
ltla,Southwark,E09000028,2022-08-18,10,234694,9,218585,20,161689
ltla,Southwark,E09000028,2022-08-17,7,234684,12,218576,22,161669
ltla,Southwark,E09000028,2022-08-16,9,234677,6,218564,16,161647
ltla,Southwark,E09000028,2022-08-15,9,234668,13,218558,17,161631
ltla,Southwark,E09000028,2022-08-14,0,234659,1,218545,2,161614
ltla,Southwark,E09000028,2022-08-13,17,234659,16,218544,20,161612
ltla,Southwark,E09000028,2022-08-12,4,234642,6,218528,14,161592
ltla,Southwark,E09000028,2022-08-11,5,234638,9,218522,23,161578
ltla,Southwark,E09000028,2022-08-10,10,234633,14,218513,28,161555
ltla,Southwark,E09000028,2022-08-09,6,234623,11,218499,23,161527
ltla,Southwark,E09000028,2022-08-08,9,234617,17,218488,24,161504
ltla,Southwark,E09000028,2022-08-07,3,234608,9,218471,4,161480
ltla,Southwark,E09000028,2022-08-06,9,234605,27,218462,16,161476
ltla,Southwark,E09000028,2022-08-05,8,234596,14,218435,19,161460
ltla,Southwark,E09000028,2022-08-04,4,234588,10,218421,14,161441
ltla,Southwark,E09000028,2022-08-03,10,234584,17,218411,44,161427
ltla,Southwark,E09000028,2022-08-02,7,234574,19,218394,28,161383
ltla,Southwark,E09000028,2022-08-01,6,234567,14,218375,37,161355
ltla,Southwark,E09000028,2022-07-31,10,234561,16,218361,26,161318
ltla,Southwark,E09000028,2022-07-30,13,234551,37,218345,31,161292
ltla,Southwark,E09000028,2022-07-29,3,234538,8,218308,15,161261
ltla,Southwark,E09000028,2022-07-28,13,234535,18,218300,39,161246
ltla,Southwark,E09000028,2022-07-27,7,234522,20,218282,27,161207
ltla,Southwark,E09000028,2022-07-26,16,234515,19,218262,40,161180
ltla,Southwark,E09000028,2022-07-25,7,234499,13,218243,48,161140
ltla,Southwark,E09000028,2022-07-24,5,234492,16,218230,12,161092
ltla,Southwark,E09000028,2022-07-23,19,234487,28,218214,33,161080
ltla,Southwark,E09000028,2022-07-22,0,234468,11,218186,24,161047
ltla,Southwark,E09000028,2022-07-21,3,234468,12,218175,23,161023
ltla,Southwark,E09000028,2022-07-20,9,234465,24,218163,31,161000
ltla,Southwark,E09000028,2022-07-19,9,234456,24,218139,26,160969
ltla,Southwark,E09000028,2022-07-18,6,234447,11,218115,29,160943
ltla,Southwark,E09000028,2022-07-17,4,234441,19,218104,21,160914
ltla,Southwark,E09000028,2022-07-16,20,234437,62,218085,45,160893
ltla,Southwark,E09000028,2022-07-15,6,234417,15,218023,29,160848
ltla,Southwark,E09000028,2022-07-14,10,234411,16,218008,29,160819
ltla,Southwark,E09000028,2022-07-13,24,234401,27,217992,54,160790
ltla,Southwark,E09000028,2022-07-12,13,234377,29,217965,48,160736
ltla,Southwark,E09000028,2022-07-11,4,234364,15,217936,37,160688
ltla,Southwark,E09000028,2022-07-10,3,234360,35,217921,21,160651
ltla,Southwark,E09000028,2022-07-09,14,234357,74,217886,38,160630
ltla,Southwark,E09000028,2022-07-08,5,234343,16,217812,32,160592
ltla,Southwark,E09000028,2022-07-07,16,234338,41,217796,51,160560
ltla,Southwark,E09000028,2022-07-06,4,234322,30,217755,58,160509
ltla,Southwark,E09000028,2022-07-05,5,234318,22,217725,20,160451
ltla,Southwark,E09000028,2022-07-04,8,234313,24,217703,40,160431
ltla,Southwark,E09000028,2022-07-03,5,234305,15,217679,14,160391
ltla,Southwark,E09000028,2022-07-02,10,234300,51,217664,58,160377
ltla,Southwark,E09000028,2022-07-01,6,234290,24,217613,28,160319
ltla,Southwark,E09000028,2022-06-30,7,234284,42,217589,38,160291
ltla,Southwark,E09000028,2022-06-29,12,234277,28,217547,47,160253
ltla,Southwark,E09000028,2022-06-28,15,234265,22,217519,36,160206
ltla,Southwark,E09000028,2022-06-27,14,234250,16,217497,56,160170
ltla,Southwark,E09000028,2022-06-26,9,234236,28,217481,23,160114
ltla,Southwark,E09000028,2022-06-25,13,234227,47,217453,37,160091
ltla,Southwark,E09000028,2022-06-24,10,234214,20,217406,47,160054
ltla,Southwark,E09000028,2022-06-23,6,234204,22,217386,37,160007
ltla,Southwark,E09000028,2022-06-22,7,234198,21,217364,45,159970
ltla,Southwark,E09000028,2022-06-21,19,234191,30,217343,34,159925
ltla,Southwark,E09000028,2022-06-20,10,234172,21,217313,56,159891
ltla,Southwark,E09000028,2022-06-19,7,234162,16,217292,20,159835
ltla,Southwark,E09000028,2022-06-18,21,234155,54,217276,48,159815
ltla,Southwark,E09000028,2022-06-17,9,234134,17,217222,23,159767
ltla,Southwark,E09000028,2022-06-16,8,234125,31,217205,34,159744
ltla,Southwark,E09000028,2022-06-15,4,234117,20,217174,49,159710
ltla,Southwark,E09000028,2022-06-14,9,234113,12,217154,40,159661
ltla,Southwark,E09000028,2022-06-13,11,234104,10,217142,55,159621
ltla,Southwark,E09000028,2022-06-12,5,234093,14,217132,17,159566
ltla,Southwark,E09000028,2022-06-11,27,234088,51,217118,48,159549
ltla,Southwark,E09000028,2022-06-10,6,234061,19,217067,30,159501
ltla,Southwark,E09000028,2022-06-09,13,234055,28,217048,40,159471
ltla,Southwark,E09000028,2022-06-08,13,234042,20,217020,44,159431
ltla,Southwark,E09000028,2022-06-07,16,234029,31,217000,55,159387
ltla,Southwark,E09000028,2022-06-06,9,234013,28,216969,52,159332
ltla,Southwark,E09000028,2022-06-05,4,234004,16,216941,6,159280
ltla,Southwark,E09000028,2022-06-04,24,234000,50,216925,55,159274
ltla,Southwark,E09000028,2022-06-03,1,233976,5,216875,10,159219
ltla,Southwark,E09000028,2022-06-02,5,233975,9,216870,7,159209
ltla,Southwark,E09000028,2022-06-01,17,233970,41,216861,61,159202
ltla,Southwark,E09000028,2022-05-31,4,233953,24,216820,51,159141
ltla,Southwark,E09000028,2022-05-30,16,233949,30,216796,69,159090
ltla,Southwark,E09000028,2022-05-29,2,233933,8,216766,38,159021
ltla,Southwark,E09000028,2022-05-28,27,233931,61,216758,94,158983
ltla,Southwark,E09000028,2022-05-27,22,233904,24,216697,51,158889
ltla,Southwark,E09000028,2022-05-26,6,233882,12,216673,47,158838
ltla,Southwark,E09000028,2022-05-25,19,233876,32,216661,49,158791
ltla,Southwark,E09000028,2022-05-24,6,233857,8,216629,46,158742
ltla,Southwark,E09000028,2022-05-23,8,233851,34,216621,82,158696
ltla,Southwark,E09000028,2022-05-22,4,233843,3,216587,5,158614
ltla,Southwark,E09000028,2022-05-21,33,233839,42,216584,74,158609
ltla,Southwark,E09000028,2022-05-20,15,233806,23,216542,59,158535
ltla,Southwark,E09000028,2022-05-19,8,233791,21,216519,38,158476
ltla,Southwark,E09000028,2022-05-18,21,233783,25,216498,66,158438
ltla,Southwark,E09000028,2022-05-17,2,233762,9,216473,29,158372
ltla,Southwark,E09000028,2022-05-16,19,233760,42,216464,85,158343
ltla,Southwark,E09000028,2022-05-15,6,233741,18,216422,25,158258
ltla,Southwark,E09000028,2022-05-14,52,233735,66,216404,76,158233
ltla,Southwark,E09000028,2022-05-13,13,233683,28,216338,45,158157
ltla,Southwark,E09000028,2022-05-12,13,233670,25,216310,47,158112
ltla,Southwark,E09000028,2022-05-11,24,233657,29,216285,75,158065
ltla,Southwark,E09000028,2022-05-10,14,233633,15,216256,52,157990
ltla,Southwark,E09000028,2022-05-09,20,233619,31,216241,73,157938
ltla,Southwark,E09000028,2022-05-08,12,233599,22,216210,26,157865
ltla,Southwark,E09000028,2022-05-07,43,233587,73,216188,96,157839
ltla,Southwark,E09000028,2022-05-06,23,233544,32,216115,66,157743
ltla,Southwark,E09000028,2022-05-05,19,233521,34,216083,73,157677
ltla,Southwark,E09000028,2022-05-04,22,233502,32,216049,94,157604
ltla,Southwark,E09000028,2022-05-03,11,233480,24,216017,54,157510
ltla,Southwark,E09000028,2022-05-02,5,233469,12,215993,18,157456
ltla,Southwark,E09000028,2022-05-01,6,233464,6,215981,33,157438
ltla,Southwark,E09000028,2022-04-30,29,233458,68,215975,89,157405
ltla,Southwark,E09000028,2022-04-29,20,233429,71,215907,96,157316
ltla,Southwark,E09000028,2022-04-28,12,233409,33,215836,54,157220
ltla,Southwark,E09000028,2022-04-27,20,233397,33,215803,68,157166
ltla,Southwark,E09000028,2022-04-26,18,233377,26,215770,48,157098
ltla,Southwark,E09000028,2022-04-25,25,233359,52,215744,67,157050
ltla,Southwark,E09000028,2022-04-24,4,233334,19,215692,33,156983
ltla,Southwark,E09000028,2022-04-23,32,233330,76,215673,104,156950
ltla,Southwark,E09000028,2022-04-22,40,233298,88,215597,104,156846
ltla,Southwark,E09000028,2022-04-21,11,233258,36,215509,56,156742
ltla,Southwark,E09000028,2022-04-20,32,233247,67,215473,98,156686
ltla,Southwark,E09000028,2022-04-19,23,233215,51,215406,73,156588
ltla,Southwark,E09000028,2022-04-18,10,233192,11,215355,15,156515
ltla,Southwark,E09000028,2022-04-17,2,233182,3,215344,0,156500
ltla,Southwark,E09000028,2022-04-16,17,233180,34,215341,47,156500
ltla,Southwark,E09000028,2022-04-15,8,233163,7,215307,14,156453
ltla,Southwark,E09000028,2022-04-14,43,233155,74,215300,108,156439
ltla,Southwark,E09000028,2022-04-13,38,233112,52,215226,72,156331
ltla,Southwark,E09000028,2022-04-12,42,233074,41,215174,75,156259
ltla,Southwark,E09000028,2022-04-11,50,233032,80,215133,106,156184
ltla,Southwark,E09000028,2022-04-10,5,232982,8,215053,40,156078
