areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Sutton,E09000029,2022-08-30,,156310,,149472,2,116186
ltla,Sutton,E09000029,2022-08-29,,156310,1,149472,5,116184
ltla,Sutton,E09000029,2022-08-28,,156310,1,149471,0,116179
ltla,Sutton,E09000029,2022-08-27,5,156310,13,149470,23,116179
ltla,Sutton,E09000029,2022-08-26,4,156305,17,149457,8,116156
ltla,Sutton,E09000029,2022-08-25,5,156301,19,149440,19,116148
ltla,Sutton,E09000029,2022-08-24,5,156296,19,149421,19,116129
ltla,Sutton,E09000029,2022-08-23,0,156291,1,149402,7,116110
ltla,Sutton,E09000029,2022-08-22,2,156291,1,149401,7,116103
ltla,Sutton,E09000029,2022-08-21,0,156289,0,149400,0,116096
ltla,Sutton,E09000029,2022-08-20,6,156289,9,149400,28,116096
ltla,Sutton,E09000029,2022-08-19,6,156283,6,149391,12,116068
ltla,Sutton,E09000029,2022-08-18,2,156277,13,149385,12,116056
ltla,Sutton,E09000029,2022-08-17,5,156275,11,149372,20,116044
ltla,Sutton,E09000029,2022-08-16,0,156270,3,149361,6,116024
ltla,Sutton,E09000029,2022-08-15,2,156270,3,149358,5,116018
ltla,Sutton,E09000029,2022-08-14,1,156268,0,149355,0,116013
ltla,Sutton,E09000029,2022-08-13,3,156267,10,149355,27,116013
ltla,Sutton,E09000029,2022-08-12,0,156264,9,149345,15,115986
ltla,Sutton,E09000029,2022-08-11,4,156264,14,149336,16,115971
ltla,Sutton,E09000029,2022-08-10,6,156260,22,149322,23,115955
ltla,Sutton,E09000029,2022-08-09,1,156254,3,149300,10,115932
ltla,Sutton,E09000029,2022-08-08,1,156253,2,149297,2,115922
ltla,Sutton,E09000029,2022-08-07,0,156252,0,149295,0,115920
ltla,Sutton,E09000029,2022-08-06,4,156252,17,149295,22,115920
ltla,Sutton,E09000029,2022-08-05,4,156248,7,149278,13,115898
ltla,Sutton,E09000029,2022-08-04,6,156244,15,149271,18,115885
ltla,Sutton,E09000029,2022-08-03,8,156238,36,149256,28,115867
ltla,Sutton,E09000029,2022-08-02,0,156230,2,149220,15,115839
ltla,Sutton,E09000029,2022-08-01,1,156230,5,149218,12,115824
