areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Tower Hamlets,E09000030,2022-08-30,10,240549,18,220152,24,146450
ltla,Tower Hamlets,E09000030,2022-08-29,5,240539,6,220134,13,146426
ltla,Tower Hamlets,E09000030,2022-08-28,1,240534,3,220128,5,146413
ltla,Tower Hamlets,E09000030,2022-08-27,9,240533,15,220125,16,146408
ltla,Tower Hamlets,E09000030,2022-08-26,20,240524,21,220110,29,146392
ltla,Tower Hamlets,E09000030,2022-08-25,6,240504,9,220089,16,146363
ltla,Tower Hamlets,E09000030,2022-08-24,11,240498,21,220080,21,146347
ltla,Tower Hamlets,E09000030,2022-08-23,16,240487,15,220059,28,146326
ltla,Tower Hamlets,E09000030,2022-08-22,14,240471,17,220044,31,146298
ltla,Tower Hamlets,E09000030,2022-08-21,1,240457,3,220027,5,146267
ltla,Tower Hamlets,E09000030,2022-08-20,10,240456,14,220024,20,146262
ltla,Tower Hamlets,E09000030,2022-08-19,21,240446,25,220010,24,146242
ltla,Tower Hamlets,E09000030,2022-08-18,10,240425,9,219985,34,146218
ltla,Tower Hamlets,E09000030,2022-08-17,19,240415,24,219976,27,146184
ltla,Tower Hamlets,E09000030,2022-08-16,20,240396,18,219952,25,146157
ltla,Tower Hamlets,E09000030,2022-08-15,14,240376,22,219934,37,146132
ltla,Tower Hamlets,E09000030,2022-08-14,0,240362,0,219912,2,146095
ltla,Tower Hamlets,E09000030,2022-08-13,1,240362,9,219912,18,146093
ltla,Tower Hamlets,E09000030,2022-08-12,6,240361,9,219903,19,146075
ltla,Tower Hamlets,E09000030,2022-08-11,6,240355,4,219894,27,146056
ltla,Tower Hamlets,E09000030,2022-08-10,12,240349,26,219890,28,146029
ltla,Tower Hamlets,E09000030,2022-08-09,15,240337,21,219864,31,146001
ltla,Tower Hamlets,E09000030,2022-08-08,13,240322,26,219843,31,145970
ltla,Tower Hamlets,E09000030,2022-08-07,4,240309,7,219817,8,145939
ltla,Tower Hamlets,E09000030,2022-08-06,5,240305,21,219810,17,145931
ltla,Tower Hamlets,E09000030,2022-08-05,15,240300,12,219789,32,145914
ltla,Tower Hamlets,E09000030,2022-08-04,17,240285,19,219777,37,145882
ltla,Tower Hamlets,E09000030,2022-08-03,13,240268,37,219758,46,145845
ltla,Tower Hamlets,E09000030,2022-08-02,17,240255,38,219721,24,145799
ltla,Tower Hamlets,E09000030,2022-08-01,17,240238,29,219683,44,145775
ltla,Tower Hamlets,E09000030,2022-07-31,2,240221,6,219654,14,145731
ltla,Tower Hamlets,E09000030,2022-07-30,5,240219,20,219648,22,145717
ltla,Tower Hamlets,E09000030,2022-07-29,24,240214,23,219628,41,145695
ltla,Tower Hamlets,E09000030,2022-07-28,15,240190,34,219605,27,145654
ltla,Tower Hamlets,E09000030,2022-07-27,23,240175,37,219571,49,145627
ltla,Tower Hamlets,E09000030,2022-07-26,22,240152,39,219534,51,145578
ltla,Tower Hamlets,E09000030,2022-07-25,14,240130,43,219495,66,145527
ltla,Tower Hamlets,E09000030,2022-07-24,3,240116,7,219452,20,145461
ltla,Tower Hamlets,E09000030,2022-07-23,12,240113,31,219445,31,145441
ltla,Tower Hamlets,E09000030,2022-07-22,12,240101,31,219414,52,145410
ltla,Tower Hamlets,E09000030,2022-07-21,5,240089,25,219383,54,145358
ltla,Tower Hamlets,E09000030,2022-07-20,13,240084,49,219358,51,145304
ltla,Tower Hamlets,E09000030,2022-07-19,3,240071,8,219309,21,145253
ltla,Tower Hamlets,E09000030,2022-07-18,9,240068,13,219301,38,145232
ltla,Tower Hamlets,E09000030,2022-07-17,1,240059,5,219288,10,145194
ltla,Tower Hamlets,E09000030,2022-07-16,7,240058,45,219283,42,145184
ltla,Tower Hamlets,E09000030,2022-07-15,16,240051,39,219238,52,145142
ltla,Tower Hamlets,E09000030,2022-07-14,14,240035,21,219199,41,145090
ltla,Tower Hamlets,E09000030,2022-07-13,12,240021,36,219178,66,145049
ltla,Tower Hamlets,E09000030,2022-07-12,19,240009,39,219142,67,144983
ltla,Tower Hamlets,E09000030,2022-07-11,30,239990,41,219103,76,144916
ltla,Tower Hamlets,E09000030,2022-07-10,1,239960,1,219062,13,144840
ltla,Tower Hamlets,E09000030,2022-07-09,9,239959,25,219061,30,144827
ltla,Tower Hamlets,E09000030,2022-07-08,17,239950,40,219036,48,144797
ltla,Tower Hamlets,E09000030,2022-07-07,15,239933,25,218996,37,144749
ltla,Tower Hamlets,E09000030,2022-07-06,24,239918,65,218971,50,144712
ltla,Tower Hamlets,E09000030,2022-07-05,20,239894,32,218906,66,144662
ltla,Tower Hamlets,E09000030,2022-07-04,19,239874,41,218874,72,144596
ltla,Tower Hamlets,E09000030,2022-07-03,0,239855,3,218833,9,144524
ltla,Tower Hamlets,E09000030,2022-07-02,12,239855,72,218830,43,144515
ltla,Tower Hamlets,E09000030,2022-07-01,13,239843,50,218758,62,144472
ltla,Tower Hamlets,E09000030,2022-06-30,19,239830,49,218708,55,144410
ltla,Tower Hamlets,E09000030,2022-06-29,20,239811,43,218659,66,144355
ltla,Tower Hamlets,E09000030,2022-06-28,25,239791,27,218616,51,144289
ltla,Tower Hamlets,E09000030,2022-06-27,21,239766,29,218589,62,144238
ltla,Tower Hamlets,E09000030,2022-06-26,2,239745,1,218560,11,144176
ltla,Tower Hamlets,E09000030,2022-06-25,17,239743,52,218559,42,144165
ltla,Tower Hamlets,E09000030,2022-06-24,27,239726,52,218507,46,144123
ltla,Tower Hamlets,E09000030,2022-06-23,18,239699,31,218455,69,144077
ltla,Tower Hamlets,E09000030,2022-06-22,22,239681,32,218424,48,144008
ltla,Tower Hamlets,E09000030,2022-06-21,21,239659,33,218392,57,143960
ltla,Tower Hamlets,E09000030,2022-06-20,26,239638,44,218359,51,143903
ltla,Tower Hamlets,E09000030,2022-06-19,3,239612,8,218315,11,143852
ltla,Tower Hamlets,E09000030,2022-06-18,34,239609,51,218307,71,143841
ltla,Tower Hamlets,E09000030,2022-06-17,18,239575,27,218256,49,143770
ltla,Tower Hamlets,E09000030,2022-06-16,13,239557,31,218229,60,143721
ltla,Tower Hamlets,E09000030,2022-06-15,21,239544,43,218198,70,143661
ltla,Tower Hamlets,E09000030,2022-06-14,12,239523,27,218155,44,143591
ltla,Tower Hamlets,E09000030,2022-06-13,20,239511,33,218128,76,143547
ltla,Tower Hamlets,E09000030,2022-06-12,3,239491,3,218095,9,143471
ltla,Tower Hamlets,E09000030,2022-06-11,18,239488,52,218092,53,143462
ltla,Tower Hamlets,E09000030,2022-06-10,14,239470,34,218040,60,143409
ltla,Tower Hamlets,E09000030,2022-06-09,17,239456,36,218006,68,143349
ltla,Tower Hamlets,E09000030,2022-06-08,21,239439,40,217970,76,143281
ltla,Tower Hamlets,E09000030,2022-06-07,27,239418,39,217930,73,143205
ltla,Tower Hamlets,E09000030,2022-06-06,28,239391,36,217891,84,143132
ltla,Tower Hamlets,E09000030,2022-06-05,4,239363,8,217855,16,143048
ltla,Tower Hamlets,E09000030,2022-06-04,29,239359,55,217847,53,143032
ltla,Tower Hamlets,E09000030,2022-06-03,3,239330,7,217792,24,142979
ltla,Tower Hamlets,E09000030,2022-06-02,5,239327,4,217785,16,142955
ltla,Tower Hamlets,E09000030,2022-06-01,27,239322,83,217781,84,142939
ltla,Tower Hamlets,E09000030,2022-05-31,24,239295,60,217698,96,142855
ltla,Tower Hamlets,E09000030,2022-05-30,27,239271,51,217638,74,142759
ltla,Tower Hamlets,E09000030,2022-05-29,3,239244,9,217587,16,142685
ltla,Tower Hamlets,E09000030,2022-05-28,20,239241,60,217578,70,142669
ltla,Tower Hamlets,E09000030,2022-05-27,20,239221,49,217518,74,142599
ltla,Tower Hamlets,E09000030,2022-05-26,6,239201,50,217469,81,142525
ltla,Tower Hamlets,E09000030,2022-05-25,20,239195,39,217419,74,142444
ltla,Tower Hamlets,E09000030,2022-05-24,22,239175,36,217380,78,142370
