areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Waltham Forest,E09000031,2022-08-30,7,185885,12,175329,12,120256
ltla,Waltham Forest,E09000031,2022-08-29,1,185878,2,175317,1,120244
ltla,Waltham Forest,E09000031,2022-08-28,1,185877,0,175315,5,120243
ltla,Waltham Forest,E09000031,2022-08-27,11,185876,15,175315,24,120238
ltla,Waltham Forest,E09000031,2022-08-26,6,185865,8,175300,10,120214
ltla,Waltham Forest,E09000031,2022-08-25,6,185859,9,175292,12,120204
ltla,Waltham Forest,E09000031,2022-08-24,3,185853,9,175283,18,120192
ltla,Waltham Forest,E09000031,2022-08-23,3,185850,9,175274,7,120174
ltla,Waltham Forest,E09000031,2022-08-22,5,185847,15,175265,20,120167
ltla,Waltham Forest,E09000031,2022-08-21,0,185842,1,175250,3,120147
ltla,Waltham Forest,E09000031,2022-08-20,10,185842,23,175249,34,120144
ltla,Waltham Forest,E09000031,2022-08-19,4,185832,9,175226,9,120110
ltla,Waltham Forest,E09000031,2022-08-18,2,185828,13,175217,11,120101
ltla,Waltham Forest,E09000031,2022-08-17,1,185826,6,175204,13,120090
ltla,Waltham Forest,E09000031,2022-08-16,2,185825,8,175198,17,120077
ltla,Waltham Forest,E09000031,2022-08-15,4,185823,11,175190,18,120060
ltla,Waltham Forest,E09000031,2022-08-14,0,185819,0,175179,2,120042
ltla,Waltham Forest,E09000031,2022-08-13,7,185819,16,175179,15,120040
ltla,Waltham Forest,E09000031,2022-08-12,3,185812,7,175163,12,120025
ltla,Waltham Forest,E09000031,2022-08-11,5,185809,11,175156,10,120013
ltla,Waltham Forest,E09000031,2022-08-10,3,185804,7,175145,10,120003
ltla,Waltham Forest,E09000031,2022-08-09,10,185801,8,175138,21,119993
ltla,Waltham Forest,E09000031,2022-08-08,8,185791,14,175130,17,119972
ltla,Waltham Forest,E09000031,2022-08-07,0,185783,3,175116,0,119955
ltla,Waltham Forest,E09000031,2022-08-06,3,185783,22,175113,27,119955
ltla,Waltham Forest,E09000031,2022-08-05,5,185780,10,175091,11,119928
ltla,Waltham Forest,E09000031,2022-08-04,5,185775,8,175081,15,119917
ltla,Waltham Forest,E09000031,2022-08-03,11,185770,11,175073,26,119902
ltla,Waltham Forest,E09000031,2022-08-02,5,185759,21,175062,14,119876
ltla,Waltham Forest,E09000031,2022-08-01,0,185754,16,175041,29,119862
ltla,Waltham Forest,E09000031,2022-07-31,1,185754,1,175025,5,119833
ltla,Waltham Forest,E09000031,2022-07-30,20,185753,56,175024,37,119828
ltla,Waltham Forest,E09000031,2022-07-29,11,185733,21,174968,18,119791
ltla,Waltham Forest,E09000031,2022-07-28,6,185722,25,174947,24,119773
ltla,Waltham Forest,E09000031,2022-07-27,5,185716,21,174922,13,119749
ltla,Waltham Forest,E09000031,2022-07-26,7,185711,19,174901,19,119736
ltla,Waltham Forest,E09000031,2022-07-25,6,185704,25,174882,33,119717
ltla,Waltham Forest,E09000031,2022-07-24,0,185698,1,174857,0,119684
ltla,Waltham Forest,E09000031,2022-07-23,12,185698,35,174856,33,119684
