areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Wandsworth,E09000032,2022-08-30,4,257444,5,245349,20,193651
ltla,Wandsworth,E09000032,2022-08-29,1,257440,2,245344,3,193631
ltla,Wandsworth,E09000032,2022-08-28,0,257439,1,245342,5,193628
ltla,Wandsworth,E09000032,2022-08-27,7,257439,16,245341,19,193623
ltla,Wandsworth,E09000032,2022-08-26,4,257432,11,245325,28,193604
ltla,Wandsworth,E09000032,2022-08-25,2,257428,8,245314,14,193576
ltla,Wandsworth,E09000032,2022-08-24,7,257426,13,245306,21,193562
ltla,Wandsworth,E09000032,2022-08-23,5,257419,3,245293,17,193541
ltla,Wandsworth,E09000032,2022-08-22,4,257414,12,245290,23,193524
ltla,Wandsworth,E09000032,2022-08-21,0,257410,0,245278,3,193501
ltla,Wandsworth,E09000032,2022-08-20,10,257410,16,245278,13,193498
ltla,Wandsworth,E09000032,2022-08-19,4,257400,11,245262,20,193485
ltla,Wandsworth,E09000032,2022-08-18,5,257396,10,245251,19,193465
ltla,Wandsworth,E09000032,2022-08-17,5,257391,12,245241,28,193446
ltla,Wandsworth,E09000032,2022-08-16,0,257386,7,245229,25,193418
ltla,Wandsworth,E09000032,2022-08-15,6,257386,4,245222,26,193393
ltla,Wandsworth,E09000032,2022-08-14,0,257380,0,245218,1,193367
ltla,Wandsworth,E09000032,2022-08-13,2,257380,12,245218,20,193366
ltla,Wandsworth,E09000032,2022-08-12,1,257378,4,245206,26,193346
ltla,Wandsworth,E09000032,2022-08-11,1,257377,13,245202,12,193320
ltla,Wandsworth,E09000032,2022-08-10,7,257376,19,245189,22,193308
ltla,Wandsworth,E09000032,2022-08-09,3,257369,7,245170,14,193286
ltla,Wandsworth,E09000032,2022-08-08,3,257366,14,245163,23,193272
ltla,Wandsworth,E09000032,2022-08-07,3,257363,0,245149,3,193249
ltla,Wandsworth,E09000032,2022-08-06,9,257360,15,245149,25,193246
ltla,Wandsworth,E09000032,2022-08-05,11,257351,18,245134,26,193221
ltla,Wandsworth,E09000032,2022-08-04,5,257340,18,245116,22,193195
ltla,Wandsworth,E09000032,2022-08-03,6,257335,30,245098,38,193173
ltla,Wandsworth,E09000032,2022-08-02,3,257329,11,245068,23,193135
ltla,Wandsworth,E09000032,2022-08-01,4,257326,13,245057,27,193112
ltla,Wandsworth,E09000032,2022-07-31,3,257322,0,245044,3,193085
ltla,Wandsworth,E09000032,2022-07-30,10,257319,21,245044,39,193082
ltla,Wandsworth,E09000032,2022-07-29,5,257309,27,245023,34,193043
ltla,Wandsworth,E09000032,2022-07-28,8,257304,24,244996,34,193009
ltla,Wandsworth,E09000032,2022-07-27,11,257296,55,244972,39,192975
ltla,Wandsworth,E09000032,2022-07-26,11,257285,15,244917,32,192936
ltla,Wandsworth,E09000032,2022-07-25,9,257274,21,244902,44,192904
ltla,Wandsworth,E09000032,2022-07-24,2,257265,4,244881,5,192860
ltla,Wandsworth,E09000032,2022-07-23,9,257263,38,244877,37,192855
ltla,Wandsworth,E09000032,2022-07-22,7,257254,23,244839,28,192818
ltla,Wandsworth,E09000032,2022-07-21,5,257247,25,244816,39,192790
ltla,Wandsworth,E09000032,2022-07-20,9,257242,35,244791,46,192751
ltla,Wandsworth,E09000032,2022-07-19,8,257233,6,244756,25,192705
ltla,Wandsworth,E09000032,2022-07-18,6,257225,26,244750,40,192680
ltla,Wandsworth,E09000032,2022-07-17,1,257219,0,244724,2,192640
ltla,Wandsworth,E09000032,2022-07-16,9,257218,42,244724,47,192638
ltla,Wandsworth,E09000032,2022-07-15,11,257209,39,244682,50,192591
ltla,Wandsworth,E09000032,2022-07-14,4,257198,23,244643,37,192541
ltla,Wandsworth,E09000032,2022-07-13,20,257194,45,244620,58,192504
ltla,Wandsworth,E09000032,2022-07-12,5,257174,24,244575,38,192446
ltla,Wandsworth,E09000032,2022-07-11,8,257169,25,244551,55,192408
ltla,Wandsworth,E09000032,2022-07-10,0,257161,7,244526,5,192353
ltla,Wandsworth,E09000032,2022-07-09,19,257161,56,244519,50,192348
ltla,Wandsworth,E09000032,2022-07-08,8,257142,23,244463,44,192298
ltla,Wandsworth,E09000032,2022-07-07,9,257134,24,244440,46,192254
ltla,Wandsworth,E09000032,2022-07-06,10,257125,57,244416,63,192208
ltla,Wandsworth,E09000032,2022-07-05,4,257115,23,244359,34,192145
ltla,Wandsworth,E09000032,2022-07-04,11,257111,25,244336,43,192111
ltla,Wandsworth,E09000032,2022-07-03,1,257100,2,244311,19,192068
ltla,Wandsworth,E09000032,2022-07-02,17,257099,64,244309,37,192049
ltla,Wandsworth,E09000032,2022-07-01,11,257082,38,244245,43,192012
ltla,Wandsworth,E09000032,2022-06-30,5,257071,30,244207,49,191969
ltla,Wandsworth,E09000032,2022-06-29,12,257066,27,244177,55,191920
ltla,Wandsworth,E09000032,2022-06-28,13,257054,19,244150,43,191865
ltla,Wandsworth,E09000032,2022-06-27,8,257041,23,244131,63,191822
ltla,Wandsworth,E09000032,2022-06-26,2,257033,0,244108,2,191759
ltla,Wandsworth,E09000032,2022-06-25,24,257031,49,244108,75,191757
ltla,Wandsworth,E09000032,2022-06-24,16,257007,32,244059,52,191682
ltla,Wandsworth,E09000032,2022-06-23,3,256991,23,244027,41,191630
ltla,Wandsworth,E09000032,2022-06-22,7,256988,19,244004,40,191589
ltla,Wandsworth,E09000032,2022-06-21,0,256981,15,243985,50,191549
ltla,Wandsworth,E09000032,2022-06-20,11,256981,34,243970,56,191499
ltla,Wandsworth,E09000032,2022-06-19,0,256970,0,243936,4,191443
