areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla,Westminster,E09000033,2022-08-30,6,173016,9,158127,10,115017
ltla,Westminster,E09000033,2022-08-29,0,173010,1,158118,1,115007
ltla,Westminster,E09000033,2022-08-28,3,173010,4,158117,4,115006
ltla,Westminster,E09000033,2022-08-27,4,173007,2,158113,13,115002
ltla,Westminster,E09000033,2022-08-26,2,173003,6,158111,8,114989
ltla,Westminster,E09000033,2022-08-25,0,173001,1,158105,9,114981
ltla,Westminster,E09000033,2022-08-24,2,173001,3,158104,6,114972
ltla,Westminster,E09000033,2022-08-23,7,172999,8,158101,27,114966
ltla,Westminster,E09000033,2022-08-22,4,172992,4,158093,9,114939
ltla,Westminster,E09000033,2022-08-21,2,172988,3,158089,5,114930
ltla,Westminster,E09000033,2022-08-20,0,172986,2,158086,10,114925
ltla,Westminster,E09000033,2022-08-19,19,172986,15,158084,34,114915
ltla,Westminster,E09000033,2022-08-18,6,172967,1,158069,14,114881
ltla,Westminster,E09000033,2022-08-17,5,172961,7,158068,11,114867
ltla,Westminster,E09000033,2022-08-16,9,172956,5,158061,13,114856
ltla,Westminster,E09000033,2022-08-15,2,172947,5,158056,11,114843
ltla,Westminster,E09000033,2022-08-14,0,172945,0,158051,2,114832
ltla,Westminster,E09000033,2022-08-13,2,172945,2,158051,7,114830
ltla,Westminster,E09000033,2022-08-12,3,172943,5,158049,7,114823
ltla,Westminster,E09000033,2022-08-11,5,172940,3,158044,13,114816
ltla,Westminster,E09000033,2022-08-10,3,172935,6,158041,11,114803
ltla,Westminster,E09000033,2022-08-09,6,172932,18,158035,27,114792
ltla,Westminster,E09000033,2022-08-08,6,172926,8,158017,11,114765
ltla,Westminster,E09000033,2022-08-07,3,172920,4,158009,13,114754
ltla,Westminster,E09000033,2022-08-06,2,172917,7,158005,12,114741
ltla,Westminster,E09000033,2022-08-05,22,172915,27,157998,59,114729
ltla,Westminster,E09000033,2022-08-04,8,172893,2,157971,17,114670
ltla,Westminster,E09000033,2022-08-03,2,172885,7,157969,17,114653
ltla,Westminster,E09000033,2022-08-02,5,172883,5,157962,10,114636
ltla,Westminster,E09000033,2022-08-01,2,172878,4,157957,4,114626
ltla,Westminster,E09000033,2022-07-31,2,172876,6,157953,14,114622
ltla,Westminster,E09000033,2022-07-30,1,172874,17,157947,22,114608
ltla,Westminster,E09000033,2022-07-29,7,172873,5,157930,21,114586
ltla,Westminster,E09000033,2022-07-28,4,172866,6,157925,26,114565
ltla,Westminster,E09000033,2022-07-27,6,172862,12,157919,15,114539
ltla,Westminster,E09000033,2022-07-26,8,172856,22,157907,45,114524
ltla,Westminster,E09000033,2022-07-25,4,172848,8,157885,18,114479
ltla,Westminster,E09000033,2022-07-24,1,172844,4,157877,4,114461
ltla,Westminster,E09000033,2022-07-23,4,172843,3,157873,16,114457
ltla,Westminster,E09000033,2022-07-22,20,172839,42,157870,60,114441
ltla,Westminster,E09000033,2022-07-21,3,172819,2,157828,21,114381
ltla,Westminster,E09000033,2022-07-20,2,172816,4,157826,22,114360
ltla,Westminster,E09000033,2022-07-19,7,172814,9,157822,19,114338
ltla,Westminster,E09000033,2022-07-18,7,172807,12,157813,27,114319
ltla,Westminster,E09000033,2022-07-17,2,172800,4,157801,11,114292
ltla,Westminster,E09000033,2022-07-16,6,172798,11,157797,20,114281
ltla,Westminster,E09000033,2022-07-15,16,172792,43,157786,48,114261
ltla,Westminster,E09000033,2022-07-14,8,172776,12,157743,19,114213
ltla,Westminster,E09000033,2022-07-13,3,172768,6,157731,38,114194
ltla,Westminster,E09000033,2022-07-12,11,172765,26,157725,65,114156
ltla,Westminster,E09000033,2022-07-11,5,172754,4,157699,29,114091
ltla,Westminster,E09000033,2022-07-10,7,172749,5,157695,6,114062
ltla,Westminster,E09000033,2022-07-09,3,172742,15,157690,16,114056
ltla,Westminster,E09000033,2022-07-08,10,172739,62,157675,89,114040
ltla,Westminster,E09000033,2022-07-07,6,172729,10,157613,21,113951
ltla,Westminster,E09000033,2022-07-06,2,172723,9,157603,25,113930
ltla,Westminster,E09000033,2022-07-05,7,172721,13,157594,25,113905
ltla,Westminster,E09000033,2022-07-04,15,172714,11,157581,20,113880
ltla,Westminster,E09000033,2022-07-03,1,172699,16,157570,22,113860
ltla,Westminster,E09000033,2022-07-02,7,172698,15,157554,23,113838
ltla,Westminster,E09000033,2022-07-01,15,172691,76,157539,77,113815
ltla,Westminster,E09000033,2022-06-30,9,172676,7,157463,32,113738
ltla,Westminster,E09000033,2022-06-29,7,172667,12,157456,16,113706
ltla,Westminster,E09000033,2022-06-28,8,172660,38,157444,68,113690
ltla,Westminster,E09000033,2022-06-27,7,172652,6,157406,26,113622
ltla,Westminster,E09000033,2022-06-26,3,172645,10,157400,15,113596
ltla,Westminster,E09000033,2022-06-25,11,172642,11,157390,24,113581
ltla,Westminster,E09000033,2022-06-24,32,172631,60,157379,86,113557
ltla,Westminster,E09000033,2022-06-23,3,172599,5,157319,22,113471
ltla,Westminster,E09000033,2022-06-22,7,172596,8,157314,23,113449
ltla,Westminster,E09000033,2022-06-21,7,172589,8,157306,21,113426
ltla,Westminster,E09000033,2022-06-20,13,172582,7,157298,30,113405
ltla,Westminster,E09000033,2022-06-19,4,172569,8,157291,20,113375
ltla,Westminster,E09000033,2022-06-18,3,172565,6,157283,20,113355
ltla,Westminster,E09000033,2022-06-17,15,172562,31,157277,60,113335
ltla,Westminster,E09000033,2022-06-16,7,172547,4,157246,28,113275
ltla,Westminster,E09000033,2022-06-15,10,172540,14,157242,32,113247
ltla,Westminster,E09000033,2022-06-14,8,172530,26,157228,52,113215
ltla,Westminster,E09000033,2022-06-13,6,172522,8,157202,28,113163
ltla,Westminster,E09000033,2022-06-12,1,172516,5,157194,12,113135
ltla,Westminster,E09000033,2022-06-11,11,172515,15,157189,30,113123
ltla,Westminster,E09000033,2022-06-10,17,172504,44,157174,88,113093
ltla,Westminster,E09000033,2022-06-09,5,172487,12,157130,30,113005
ltla,Westminster,E09000033,2022-06-08,4,172482,11,157118,31,112975
ltla,Westminster,E09000033,2022-06-07,10,172478,17,157107,63,112944
ltla,Westminster,E09000033,2022-06-06,6,172468,9,157090,39,112881
ltla,Westminster,E09000033,2022-06-05,2,172462,1,157081,9,112842
ltla,Westminster,E09000033,2022-06-04,4,172460,11,157080,20,112833
ltla,Westminster,E09000033,2022-06-03,3,172456,4,157069,4,112813
ltla,Westminster,E09000033,2022-06-02,1,172453,2,157065,6,112809
ltla,Westminster,E09000033,2022-06-01,14,172452,20,157063,46,112803
ltla,Westminster,E09000033,2022-05-31,14,172438,50,157043,80,112757
